batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
10,3,1,2,C1V2,Node_1_13_2104_3650,2104,2416.51,1970.3,2992.08
10,3,1,2,C1V2,Node_1_78_1380_1825,1380,1704.08,1386.26,1825
10,3,1,2,C1V2,Node_1_111_86_1825,86,113.178,12.1735,191.963
10,3,1,2,C1V2,Node_1_121_511_3650,511,648.476,371.892,860.03
10,3,1,2,C1V2,Node_1_153_43_3650,43,79.3596,-5.03942,133.474
10,3,1,2,C1V2,Node_1_342_1476_3650,1476,1480.42,1174.67,1896.95
10,3,1,2,C1V2,Node_1_364_842_1825,842,1103.17,703.655,1395.91
10,3,1,2,C1V2,Node_1_382_3042_3650,3042,3103.49,2788.92,3408.68
10,3,1,2,C1V2,Node_1_431_2019_3650,2019,2109.73,1767.29,2618.79
10,3,1,2,C1V2,Node_1_511_353_3650,353,392.144,207.548,554.314
10,3,1,2,C1V2,Node_1_556_2939_3650,2939,2978.18,2735.46,3246.13
10,3,1,2,C1V2,Node_1_647_3456_3650,3456,3650,3231.83,3650
10,3,1,2,C1V2,Node_1_687_1536_1825,1536,1485.6,1043.52,1825
10,3,1,2,C1V2,Node_1_701_1163_1825,1163,736.994,443.075,966.82
10,3,1,2,C1V2,Node_1_791_1872_3650,1872,2111.89,1945.72,2260.84
10,3,1,2,C1V2,Node_1_811_1077_3650,1077,1435.54,1054.53,1714.21
10,3,1,2,C1V2,Node_1_827_585_3650,585,750.708,603.757,909.38
10,3,1,2,C1V2,Node_1_862_724_1825,724,841.351,594.025,1062.42
10,3,1,2,C1V2,Node_1_942_774_3650,774,1484.54,1102.37,1853.31
10,3,1,2,C1V2,Node_1_962_207_3650,207,271.851,116.824,464.222
10,3,1,2,C1V2,Node_1_971_2794_3650,2794,3030.1,2576.87,3520.19
10,3,1,2,C1V2,Node_1_1004_2243_3650,2243,2543.04,2353.26,2742.64
10,3,1,2,C1V2,Node_1_1081_2273_3650,2273,2368.82,2125.46,2581.25
10,3,1,2,C1V2,Node_1_1101_608_1825,608,828.489,487.151,1165.49
10,3,1,2,C1V2,Node_1_1171_964_1825,964,930.722,665.239,1213.32
10,3,1,2,C1V2,Node_1_1186_1758_1825,1758,1616.14,1329.05,1825
10,3,1,2,C1V2,Node_1_1215_2960_3650,2960,2679.14,2343.04,3090.43
10,3,1,2,C1V2,Node_1_1258_1157_1825,1157,1035.37,711.989,1366.56
10,3,1,2,C1V2,Node_1_1267_1817_3650,1817,1796.33,1421.66,2113.88
10,3,1,2,C1V2,Node_1_1277_3639_3650,3639,3650,3453.22,3650
10,3,2,2,C1V2,Node_1_13_2104_3650,2104,2561.85,2094.23,3015.25
10,3,2,2,C1V2,Node_1_78_1380_1825,1380,1578.57,1308.89,1825
10,3,2,2,C1V2,Node_1_111_86_1825,86,171.439,67.2782,274.191
10,3,2,2,C1V2,Node_1_121_511_3650,511,428.9,202.469,646.529
10,3,2,2,C1V2,Node_1_153_43_3650,43,134.796,21.6115,262.566
10,3,2,2,C1V2,Node_1_342_1476_3650,1476,1540.14,1248.75,1831.99
10,3,2,2,C1V2,Node_1_364_842_1825,842,1068.31,853.174,1378.87
10,3,2,2,C1V2,Node_1_382_3042_3650,3042,2828.32,2521.26,3073.61
10,3,2,2,C1V2,Node_1_431_2019_3650,2019,1789.34,1364.99,2112.25
10,3,2,2,C1V2,Node_1_511_353_3650,353,342.458,184.661,475.776
10,3,2,2,C1V2,Node_1_556_2939_3650,2939,2880.06,2705.62,3010.52
10,3,2,2,C1V2,Node_1_647_3456_3650,3456,3650,3174.76,3650
10,3,2,2,C1V2,Node_1_687_1536_1825,1536,1533.41,1200.57,1800.09
10,3,2,2,C1V2,Node_1_701_1163_1825,1163,1742.46,1402.86,1825
10,3,2,2,C1V2,Node_1_791_1872_3650,1872,1731.92,1492.97,2006.58
10,3,2,2,C1V2,Node_1_811_1077_3650,1077,1000.69,710.728,1273.94
10,3,2,2,C1V2,Node_1_827_585_3650,585,699.334,531.831,853.374
10,3,2,2,C1V2,Node_1_862_724_1825,724,733.721,509.263,971.788
10,3,2,2,C1V2,Node_1_942_774_3650,774,774.858,542.261,1011.54
10,3,2,2,C1V2,Node_1_962_207_3650,207,206.097,108.113,318.228
10,3,2,2,C1V2,Node_1_971_2794_3650,2794,2856.97,2433.12,3139.27
10,3,2,2,C1V2,Node_1_1004_2243_3650,2243,2536.69,2287.75,2721.59
10,3,2,2,C1V2,Node_1_1081_2273_3650,2273,2310.55,2122.86,2419.95
10,3,2,2,C1V2,Node_1_1101_608_1825,608,137.229,21.0279,255.859
10,3,2,2,C1V2,Node_1_1171_964_1825,964,1013.16,747.989,1298.76
10,3,2,2,C1V2,Node_1_1186_1758_1825,1758,1825,1498.9,1825
10,3,2,2,C1V2,Node_1_1215_2960_3650,2960,2893.57,2477.86,3191.78
10,3,2,2,C1V2,Node_1_1258_1157_1825,1157,1060.86,809.172,1267.03
10,3,2,2,C1V2,Node_1_1267_1817_3650,1817,1958.87,1601.48,2326.64
10,3,2,2,C1V2,Node_1_1277_3639_3650,3639,3628.83,3451.65,3650
10,3,3,2,C1V2,Node_1_13_2104_3650,2104,2444.29,1867.41,3174.5
10,3,3,2,C1V2,Node_1_78_1380_1825,1380,1825,1331.61,1825
10,3,3,2,C1V2,Node_1_111_86_1825,86,69.4624,-45,232.788
10,3,3,2,C1V2,Node_1_121_511_3650,511,322.842,142.162,546.072
10,3,3,2,C1V2,Node_1_153_43_3650,43,-45,-45,141.109
10,3,3,2,C1V2,Node_1_342_1476_3650,1476,1831.25,1403.37,2194.91
10,3,3,2,C1V2,Node_1_364_842_1825,842,424.02,135.229,637.76
10,3,3,2,C1V2,Node_1_382_3042_3650,3042,3216.06,2725.81,3650
10,3,3,2,C1V2,Node_1_431_2019_3650,2019,2095.08,1690.87,2571.25
10,3,3,2,C1V2,Node_1_511_353_3650,353,232.911,66.6047,472.107
10,3,3,2,C1V2,Node_1_556_2939_3650,2939,3009.88,2711.58,3220.87
10,3,3,2,C1V2,Node_1_647_3456_3650,3456,3650,2993.43,3650
