batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
17,5,1,3,p17,Node_1_17_2263_3650,2263,1789.51,1112.56,2898.23
17,5,1,3,p17,Node_1_97_1963_3650,1963,2204.19,872.654,3328.61
17,5,1,3,p17,Node_1_168_3279_3650,3279,2857.16,2132.95,3477.27
17,5,1,3,p17,Node_1_215_3038_3650,3038,3650,2212.14,3650
17,5,1,3,p17,Node_1_244_3027_3650,3027,1848.28,600.158,3270.1
17,5,1,3,p17,Node_1_313_2759_3650,2759,3650,1771.21,3650
17,5,1,3,p17,Node_1_317_304_1825,304,538.691,-44.2,1356.85
17,5,1,3,p17,Node_1_326_1266_3650,1266,2233.8,1528.14,2920
17,5,1,3,p17,Node_1_364_1033_1825,1033,947.724,102.09,1631.47
17,5,1,3,p17,Node_1_365_717_1825,717,626.116,133.823,1390.51
17,5,1,3,p17,Node_1_400_2324_3650,2324,1837.42,658.587,3466.6
17,5,1,3,p17,Node_1_449_1233_1825,1233,765.755,150.575,1391.56
17,5,1,3,p17,Node_1_468_1300_3650,1300,1324.36,326.702,2421.82
17,5,1,3,p17,Node_1_472_790_3650,790,1048.82,161.514,1695.49
17,5,1,3,p17,Node_1_511_406_3650,406,424.051,44.0681,730
17,5,1,3,p17,Node_1_540_320_1825,320,241.551,-45,365
17,5,1,3,p17,Node_1_663_1168_1825,1168,1825,474.064,1825
17,5,1,3,p17,Node_1_687_837_1825,837,812.328,155.656,1328.48
17,5,1,3,p17,Node_1_698_1461_3650,1461,1440.32,668.543,2198.66
17,5,1,3,p17,Node_1_826_2513_3650,2513,1257.82,371.777,2114.26
17,5,1,3,p17,Node_1_893_2427_3650,2427,2923.81,2015.54,3650
17,5,1,3,p17,Node_1_984_1059_1825,1059,1085.24,171.552,1825
17,5,1,3,p17,Node_1_1001_445_3650,445,421.299,-45,1203.19
17,5,1,3,p17,Node_1_1098_561_1825,561,1044.13,225.046,1825
17,5,1,3,p17,Node_1_1132_1827_3650,1827,3096.84,1622.52,3650
17,5,1,3,p17,Node_1_1178_1076_3650,1076,2154.75,772.442,3644.92
17,5,1,3,p17,Node_1_1223_1799_3650,1799,377.837,-45,1006.87
17,5,1,3,p17,Node_1_1242_2182_3650,2182,3650,1860.76,3650
17,5,1,3,p17,Node_1_1260_3041_3650,3041,2395.83,1126.9,3650
17,5,1,3,p17,Node_1_1290_163_1825,163,251.399,-45,732.996
17,5,2,3,p17,Node_1_17_2263_3650,2263,729.069,220.888,1095
17,5,2,3,p17,Node_1_97_1963_3650,1963,2279.72,951.513,3650
17,5,2,3,p17,Node_1_168_3279_3650,3279,3564.86,2975.83,3650
17,5,2,3,p17,Node_1_215_3038_3650,3038,3650,2425.17,3650
17,5,2,3,p17,Node_1_244_3027_3650,3027,2380.44,894.494,3481.34
17,5,2,3,p17,Node_1_313_2759_3650,2759,2065.78,770.214,3650
17,5,2,3,p17,Node_1_317_304_1825,304,86.4271,-45,199.509
17,5,2,3,p17,Node_1_326_1266_3650,1266,966.135,-0.6225,1831.05
17,5,2,3,p17,Node_1_364_1033_1825,1033,679.863,-19.6753,1407.79
17,5,2,3,p17,Node_1_365_717_1825,717,1825,821.402,1825
17,5,2,3,p17,Node_1_400_2324_3650,2324,2654.06,1531.97,3650
17,5,2,3,p17,Node_1_449_1233_1825,1233,1614.39,549.866,1825
17,5,2,3,p17,Node_1_468_1300_3650,1300,872.027,177.641,1515.58
17,5,2,3,p17,Node_1_472_790_3650,790,872.027,177.641,1515.58
17,5,2,3,p17,Node_1_511_406_3650,406,641.702,-11.8819,1385.41
17,5,2,3,p17,Node_1_540_320_1825,320,628.046,-12.1896,1188.63
17,5,2,3,p17,Node_1_663_1168_1825,1168,409.648,-45,896.893
17,5,2,3,p17,Node_1_687_837_1825,837,730.364,9.60323,1252.73
17,5,2,3,p17,Node_1_698_1461_3650,1461,1385.13,992.979,1460
17,5,2,3,p17,Node_1_826_2513_3650,2513,2205.09,1202.24,3603.13
17,5,2,3,p17,Node_1_893_2427_3650,2427,2037.39,1550.91,2190
17,5,2,3,p17,Node_1_984_1059_1825,1059,558.456,-9.39302,1363.61
17,5,2,3,p17,Node_1_1001_445_3650,445,-45,-45,387.158
17,5,2,3,p17,Node_1_1098_561_1825,561,535.284,-45,1133.44
17,5,2,3,p17,Node_1_1132_1827_3650,1827,1262.93,120.369,2627.84
17,5,2,3,p17,Node_1_1178_1076_3650,1076,501.588,-45,1531.49
17,5,2,3,p17,Node_1_1223_1799_3650,1799,321.203,-45,821.909
17,5,2,3,p17,Node_1_1242_2182_3650,2182,3258.21,1959.25,3650
17,5,2,3,p17,Node_1_1260_3041_3650,3041,2986.41,1507.77,3650
17,5,2,3,p17,Node_1_1290_163_1825,163,361.839,-45,1046.92
17,5,3,3,p17,Node_1_17_2263_3650,2263,559.089,-45,1457.78
17,5,3,3,p17,Node_1_97_1963_3650,1963,1931.59,1034.89,2695.31
17,5,3,3,p17,Node_1_168_3279_3650,3279,3650,2462.82,3650
