batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
2,2,1,3,tat,Node_1_30_1577_1825,1577,-45,-45,1825
2,2,1,3,tat,Node_1_46_2317_3650,2317,2845.53,810.626,3650
2,2,1,3,tat,Node_1_71_2871_3650,2871,3650,-45,3650
2,2,1,3,tat,Node_1_80_1174_1825,1174,1825,-45,1825
2,2,1,3,tat,Node_1_85_2575_3650,2575,-45,-45,2049.66
2,2,1,3,tat,Node_1_93_900_3650,900,-45,-45,1993.25
2,2,1,3,tat,Node_1_149_972_1825,972,-45,-45,1825
2,2,1,3,tat,Node_1_227_1890_3650,1890,-45,-45,2477.78
2,2,1,3,tat,Node_1_228_1277_3650,1277,725.978,-45,3650
2,2,1,3,tat,Node_1_343_3287_3650,3287,3650,1515.08,3650
2,2,1,3,tat,Node_1_382_729_1825,729,-45,-45,1825
2,2,1,3,tat,Node_1_386_1400_3650,1400,-45,-45,2138.3
2,2,1,3,tat,Node_1_491_1416_1825,1416,-45,-45,1396.69
2,2,1,3,tat,Node_1_498_1314_3650,1314,365.185,-45,365.185
2,2,1,3,tat,Node_1_542_921_1825,921,696.473,-45,1825
2,2,1,3,tat,Node_1_632_2632_3650,2632,3650,683.696,3650
2,2,1,3,tat,Node_1_690_2889_3650,2889,3650,460.624,3650
2,2,1,3,tat,Node_1_704_104_1825,104,-45,-45,1050.97
2,2,1,3,tat,Node_1_762_1781_3650,1781,2630.15,-45,3650
2,2,1,3,tat,Node_1_857_78_3650,78,-45,-45,2198.29
2,2,1,3,tat,Node_1_935_1106_3650,1106,137.185,-45,730
2,2,1,3,tat,Node_1_1019_1772_3650,1772,-45,-45,2553.03
2,2,1,3,tat,Node_1_1119_12_1825,12,-42.6734,-45,730
2,2,1,3,tat,Node_1_1151_1503_3650,1503,332.677,-45,2358.58
2,2,1,3,tat,Node_1_1192_515_3650,515,678.341,-45,3650
2,2,1,3,tat,Node_1_1212_942_3650,942,-45,-45,2639.74
2,2,1,3,tat,Node_1_1217_1112_3650,1112,-45,-45,2154.22
2,2,1,3,tat,Node_1_1267_739_3650,739,860.985,-45,1095
2,2,1,3,tat,Node_1_1278_587_1825,587,978.085,72.8513,1095
2,2,1,3,tat,Node_1_1283_1215_1825,1215,1825,-45,1825
2,2,2,3,tat,Node_1_30_1577_1825,1577,1825,840.152,1825
2,2,2,3,tat,Node_1_46_2317_3650,2317,3650,889.491,3650
2,2,2,3,tat,Node_1_71_2871_3650,2871,3650,-45,3650
2,2,2,3,tat,Node_1_80_1174_1825,1174,1825,-45,1825
2,2,2,3,tat,Node_1_85_2575_3650,2575,-45,-45,1864.97
2,2,2,3,tat,Node_1_93_900_3650,900,433.551,-45,730
2,2,2,3,tat,Node_1_149_972_1825,972,1271.09,-45,1825
