batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
2,3,1,1,nef,Node_1_28_2359_3650,2359,2365.2,1554.99,3180.39
2,3,1,1,nef,Node_1_62_2152_3650,2152,3253.16,2111,3650
2,3,1,1,nef,Node_1_101_11_3650,11,116.428,-45,248.399
2,3,1,1,nef,Node_1_120_1085_1825,1085,1311.75,684.955,1825
2,3,1,1,nef,Node_1_158_609_1825,609,718.488,265.364,1203.17
2,3,1,1,nef,Node_1_207_1373_1825,1373,1825,952.301,1825
2,3,1,1,nef,Node_1_224_3117_3650,3117,3413.57,1941.46,3650
2,3,1,1,nef,Node_1_276_1315_1825,1315,1174.9,431.125,1825
2,3,1,1,nef,Node_1_303_795_3650,795,553.304,263.165,1053.24
2,3,1,1,nef,Node_1_324_314_1825,314,395.581,3.93384,879.959
2,3,1,1,nef,Node_1_342_1988_3650,1988,2476.84,1278.7,3242.08
2,3,1,1,nef,Node_1_352_2455_3650,2455,3023.17,1930.27,3650
2,3,1,1,nef,Node_1_375_321_1825,321,735.226,99.6732,1469.77
2,3,1,1,nef,Node_1_381_14_3650,14,194.604,-45,335.163
2,3,1,1,nef,Node_1_534_278_3650,278,1004.27,246.893,1670.68
2,3,1,1,nef,Node_1_611_2906_3650,2906,3650,2227.5,3650
2,3,1,1,nef,Node_1_665_1003_1825,1003,1088.06,422.715,1805.68
2,3,1,1,nef,Node_1_742_1407_1825,1407,979.265,370.738,1743.46
2,3,1,1,nef,Node_1_743_1433_1825,1433,1114.31,428.342,1825
2,3,1,1,nef,Node_1_773_1107_3650,1107,824.843,96.6623,1477.81
2,3,1,1,nef,Node_1_779_2000_3650,2000,1667.44,882.956,2803.99
2,3,1,1,nef,Node_1_816_1637_3650,1637,1983.48,919.916,2707.86
2,3,1,1,nef,Node_1_883_1801_1825,1801,1547.53,786.585,1825
2,3,1,1,nef,Node_1_884_1730_3650,1730,1531.33,873.561,2103.41
2,3,1,1,nef,Node_1_975_15_3650,15,272.78,-45,365
2,3,1,1,nef,Node_1_1085_2737_3650,2737,1761.4,919.496,2710.56
2,3,1,1,nef,Node_1_1124_629_3650,629,425.931,-22.9993,860.423
2,3,1,1,nef,Node_1_1262_689_3650,689,530.835,3.93384,1006.8
2,3,1,1,nef,Node_1_1286_1771_3650,1771,837.994,120.439,1501.6
2,3,1,1,nef,Node_1_1298_1943_3650,1943,2098.66,1136.35,3102.55
2,3,2,1,nef,Node_1_28_2359_3650,2359,3650,2627.09,3650
2,3,2,1,nef,Node_1_62_2152_3650,2152,2054.79,1079.53,3221.53
