batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate
15,1,1,3,tat,Node_1_420_1091_1825,1091,2915.94821317564
15,1,1,3,tat,Node_1_635_1944_3650,1944,2535.41940398813
15,1,1,3,tat,Node_1_1238_2374_3650,2374,3649.99999999
15,1,1,3,tat,Node_1_388_1143_3650,1143,1134.9363839214
15,1,1,3,tat,Node_1_475_1982_3650,1982,2185.94699630867
15,1,1,3,tat,Node_1_657_2794_3650,2794,1549.22740838927
15,1,1,3,tat,Node_1_955_3028_3650,3028,427.627702129934
15,1,1,3,tat,Node_1_1069_504_1825,504,2185.94644303808
15,1,1,3,tat,Node_1_70_2824_3650,2824,1459.90660792068
15,1,1,3,tat,Node_1_333_1500_1825,1500,-431.488881325712
15,1,1,3,tat,Node_1_773_2758_3650,2758,1825.70674105487
15,1,1,3,tat,Node_1_408_2411_3650,2411,2185.94744885103
15,1,1,3,tat,Node_1_874_591_1825,591,1090.96036856871
15,1,1,3,tat,Node_1_1200_257_3650,257,729.966271286618
15,1,1,3,tat,Node_1_20_11_3650,11,-463.975836462019
15,1,1,3,tat,Node_1_487_3331_3650,3331,65.435162319511
15,1,1,3,tat,Node_1_1137_2354_3650,2354,328.557184933899
15,1,1,3,tat,Node_1_1099_1655_1825,1655,-381.645316927578
15,1,1,3,tat,Node_1_692_2625_3650,2625,3649.99999999
15,1,1,3,tat,Node_1_152_1477_1825,1477,-839.17815021772
15,1,1,3,tat,Node_1_903_2840_3650,2840,1459.70446983559
15,1,1,3,tat,Node_1_620_180_1825,180,359.498914471058
15,1,1,3,tat,Node_1_226_680_3650,680,362.680139184656
15,1,1,3,tat,Node_1_621_1225_1825,1225,2561.27642174404
15,1,1,3,tat,Node_1_888_1569_1825,1569,-154.756746326635
15,1,1,3,tat,Node_1_374_2163_3650,2163,1808.23790564727
15,1,1,3,tat,Node_1_168_600_3650,600,-1544.26506958243
15,1,1,3,tat,Node_1_967_201_1825,201,-592.522297238972
15,1,1,3,tat,Node_1_36_795_3650,795,2915.94655327438
15,1,1,3,tat,Node_1_889_1594_3650,1594,-592.961023132766
15,1,2,3,tat,Node_1_692_2625_3650,2625,3649.99999999
15,1,2,3,tat,Node_1_152_1477_1825,1477,-691.778498628317
15,1,2,3,tat,Node_1_1099_1655_1825,1655,1116.83274888602
15,1,2,3,tat,Node_1_1137_2354_3650,2354,1393.89175172364
15,1,2,3,tat,Node_1_475_1982_3650,1982,2122.3381679167
15,1,2,3,tat,Node_1_374_2163_3650,2163,3649.99999999
15,1,2,3,tat,Node_1_888_1569_1825,1569,-1134.86672899155
15,1,2,3,tat,Node_1_657_2794_3650,2794,2744.17865123126
15,1,2,3,tat,Node_1_635_1944_3650,1944,-706.940173264631
15,1,2,3,tat,Node_1_903_2840_3650,2840,1891.27210132215
15,1,2,3,tat,Node_1_388_1143_3650,1143,733.698681283052
15,1,2,3,tat,Node_1_226_680_3650,680,-497.767969745272
15,1,2,3,tat,Node_1_487_3331_3650,3331,2095.46675676466
15,1,2,3,tat,Node_1_874_591_1825,591,1094.83322630385
15,1,2,3,tat,Node_1_168_600_3650,600,730.055103460592
15,1,2,3,tat,Node_1_773_2758_3650,2758,1210.94612929871
15,1,2,3,tat,Node_1_889_1594_3650,1594,-1424.84143984055
15,1,2,3,tat,Node_1_408_2411_3650,2411,2189.99205192567
15,1,2,3,tat,Node_1_420_1091_1825,1091,1274.58992477019
15,1,2,3,tat,Node_1_1069_504_1825,504,-1425.23853875135
15,1,2,3,tat,Node_1_36_795_3650,795,-1213.16056050622
15,1,2,3,tat,Node_1_620_180_1825,180,1455.08125662333
15,1,2,3,tat,Node_1_967_201_1825,201,1820.0792728257
15,1,2,3,tat,Node_1_20_11_3650,11,-1206.64612256201
15,1,2,3,tat,Node_1_1200_257_3650,257,-1206.53010110311
15,1,2,3,tat,Node_1_621_1225_1825,1225,1917.75411846718
15,1,2,3,tat,Node_1_70_2824_3650,2824,3649.99999999
15,1,2,3,tat,Node_1_333_1500_1825,1500,-595.039403806745
15,1,2,3,tat,Node_1_955_3028_3650,3028,3649.94933707367
15,1,2,3,tat,Node_1_1238_2374_3650,2374,1376.24077962526
