batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate
20,4,1,3,nef,Node_1_625_429_3650,429,615.576179029392
20,4,1,3,nef,Node_1_621_3457_3650,3457,3649.99999999
20,4,1,3,nef,Node_1_536_449_1825,449,1882.68592581691
20,4,1,3,nef,Node_1_541_2843_3650,2843,3499.96252794525
20,4,1,3,nef,Node_1_117_3284_3650,3284,2998.91330290587
20,4,1,3,nef,Node_1_457_666_1825,666,468.71978121953
20,4,1,3,nef,Node_1_837_1387_1825,1387,1502.7943785715
20,4,1,3,nef,Node_1_836_1205_3650,1205,1133.94406353683
20,4,1,3,nef,Node_1_660_3314_3650,3314,3397.145434122
20,4,1,3,nef,Node_1_725_49_1825,49,-569.754489599088
20,4,1,3,nef,Node_1_905_896_1825,896,109.047318146227
20,4,1,3,nef,Node_1_886_3056_3650,3056,2751.80645101621
20,4,1,3,nef,Node_1_950_944_3650,944,258.243573878503
20,4,1,3,nef,Node_1_957_1442_3650,1442,807.134271541256
20,4,1,3,nef,Node_1_441_2230_3650,2230,2079.2530298159
20,4,1,3,nef,Node_1_575_1230_1825,1230,461.839825206527
20,4,1,3,nef,Node_1_131_601_1825,601,674.27313340284
20,4,1,3,nef,Node_1_715_1284_1825,1284,1095.38693858233
20,4,1,3,nef,Node_1_911_1108_3650,1108,1122.28086039608
20,4,1,3,nef,Node_1_708_1730_3650,1730,565.864046364901
20,4,1,3,nef,Node_1_703_578_1825,578,-116.733945177915
20,4,1,3,nef,Node_1_356_1747_1825,1747,1276.93075543116
20,4,1,3,nef,Node_1_482_2890_3650,2890,3337.85254292465
20,4,1,3,nef,Node_1_1031_2209_3650,2209,2198.59022495218
20,4,1,3,nef,Node_1_305_1476_3650,1476,1338.57763122428
20,4,1,3,nef,Node_1_1163_2119_3650,2119,2334.39963945212
20,4,1,3,nef,Node_1_520_3345_3650,3345,2024.73101035231
20,4,1,3,nef,Node_1_1282_307_3650,307,-376.319607455683
20,4,1,3,nef,Node_1_680_3544_3650,3544,3039.25148110227
20,4,1,3,nef,Node_1_1106_1021_3650,1021,1094.95859249907
20,4,2,3,nef,Node_1_457_666_1825,666,606.498318837135
20,4,2,3,nef,Node_1_725_49_1825,49,-172.269521382197
