batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate
6,1,1,3,p17,Node_1_208_575_3650,575,-3.34019947764469
6,1,1,3,p17,Node_1_234_869_3650,869,-721.897664408118
6,1,1,3,p17,Node_1_17_216_3650,216,-359.48470635619
6,1,1,3,p17,Node_1_1206_2275_3650,2275,3649.99999999
6,1,1,3,p17,Node_1_688_111_1825,111,-2836.96260167372
6,1,1,3,p17,Node_1_556_131_3650,131,-2836.96260167372
6,1,1,3,p17,Node_1_707_240_1825,240,-2828.9696589898
6,1,1,3,p17,Node_1_564_2204_3650,2204,3157.63852167384
6,1,1,3,p17,Node_1_312_1565_3650,1565,-311.314478388723
6,1,1,3,p17,Node_1_901_1026_1825,1026,2431.96373010068
6,1,1,3,p17,Node_1_280_2828_3650,2828,3338.51302080144
6,1,1,3,p17,Node_1_285_2062_3650,2062,2554.98196017413
6,1,1,3,p17,Node_1_347_655_3650,655,324.692825104994
6,1,1,3,p17,Node_1_791_1505_1825,1505,879.989840198995
6,1,1,3,p17,Node_1_464_3063_3650,3063,990.025281973783
6,1,1,3,p17,Node_1_584_813_3650,813,-1992.23714034947
6,1,1,3,p17,Node_1_1005_1151_1825,1151,2901.13725251972
6,1,1,3,p17,Node_1_1023_2590_3650,2590,2437.71696301198
6,1,1,3,p17,Node_1_1173_15_1825,15,-2836.58376947019
6,1,1,3,p17,Node_1_609_792_1825,792,-1584.86282664708
6,1,1,3,p17,Node_1_1061_686_3650,686,364.984851074824
6,1,1,3,p17,Node_1_450_1876_3650,1876,1689.98003339429
6,1,1,3,p17,Node_1_187_186_1825,186,-2837.37310761472
6,1,1,3,p17,Node_1_292_1637_1825,1637,1305.35658254665
6,1,1,3,p17,Node_1_503_642_1825,642,-64.6708591071723
6,1,1,3,p17,Node_1_308_798_3650,798,-64.6708591071723
6,1,1,3,p17,Node_1_335_154_3650,154,-2837.60616938824
6,1,1,3,p17,Node_1_939_505_3650,505,358.094607944577
6,1,1,3,p17,Node_1_264_1228_3650,1228,770.385939857995
6,1,1,3,p17,Node_1_800_2515_3650,2515,2368.13796019823
6,1,2,3,p17,Node_1_1206_2275_3650,2275,3649.99999999
6,1,2,3,p17,Node_1_564_2204_3650,2204,765.325476447375
6,1,2,3,p17,Node_1_939_505_3650,505,724.039421258299
6,1,2,3,p17,Node_1_1023_2590_3650,2590,2269.95455706974
6,1,2,3,p17,Node_1_1005_1151_1825,1151,398.530525775388
6,1,2,3,p17,Node_1_1061_686_3650,686,814.477147216259
6,1,2,3,p17,Node_1_800_2515_3650,2515,2199.00826185268
6,1,2,3,p17,Node_1_234_869_3650,869,1199.79974937926
6,1,2,3,p17,Node_1_609_792_1825,792,69.7843380936738
6,1,2,3,p17,Node_1_901_1026_1825,1026,-336.008318761305
6,1,2,3,p17,Node_1_187_186_1825,186,-971.917267080293
6,1,2,3,p17,Node_1_1173_15_1825,15,-1820.26252747011
6,1,2,3,p17,Node_1_285_2062_3650,2062,2555.04999045632
6,1,2,3,p17,Node_1_280_2828_3650,2828,2554.73890069388
6,1,2,3,p17,Node_1_292_1637_1825,1637,1530.43329650549
6,1,2,3,p17,Node_1_347_655_3650,655,1057.55741830629
6,1,2,3,p17,Node_1_312_1565_3650,1565,183.944234430217
6,1,2,3,p17,Node_1_308_798_3650,798,-550.892755064446
6,1,2,3,p17,Node_1_584_813_3650,813,-955.14818416417
6,1,2,3,p17,Node_1_791_1505_1825,1505,1476.51852239049
6,1,2,3,p17,Node_1_556_131_3650,131,-1820.49334140883
6,1,2,3,p17,Node_1_688_111_1825,111,359.024565138457
6,1,2,3,p17,Node_1_335_154_3650,154,-1820.74136229193
6,1,2,3,p17,Node_1_503_642_1825,642,375.061179039927
6,1,2,3,p17,Node_1_450_1876_3650,1876,3094.09693552024
6,1,2,3,p17,Node_1_707_240_1825,240,-1821.10482023599
6,1,2,3,p17,Node_1_208_575_3650,575,366.129961627099
6,1,2,3,p17,Node_1_17_216_3650,216,-1.14332080510728
6,1,2,3,p17,Node_1_464_3063_3650,3063,3649.99999999
6,1,2,3,p17,Node_1_264_1228_3650,1228,-142.513923506791
6,1,3,3,p17,Node_1_609_792_1825,792,629.015059381239
6,1,3,3,p17,Node_1_308_798_3650,798,428.528934471602
6,1,3,3,p17,Node_1_1206_2275_3650,2275,1775.08430396374
6,1,3,3,p17,Node_1_464_3063_3650,3063,2084.85840965995
6,1,3,3,p17,Node_1_347_655_3650,655,25.5843108265737
6,1,3,3,p17,Node_1_564_2204_3650,2204,2489.13143391203
6,1,3,3,p17,Node_1_1173_15_1825,15,-546.459287184532
6,1,3,3,p17,Node_1_335_154_3650,154,-1487.00122678606
6,1,3,3,p17,Node_1_264_1228_3650,1228,1205.7482105545
6,1,3,3,p17,Node_1_234_869_3650,869,1180.4974341136
6,1,3,3,p17,Node_1_707_240_1825,240,725.417174459685
6,1,3,3,p17,Node_1_1061_686_3650,686,-228.659723563362
6,1,3,3,p17,Node_1_556_131_3650,131,59.8402120029897
6,1,3,3,p17,Node_1_800_2515_3650,2515,2852.77793744018
6,1,3,3,p17,Node_1_503_642_1825,642,1380.76058341819
6,1,3,3,p17,Node_1_939_505_3650,505,95.8736897586176
6,1,3,3,p17,Node_1_17_216_3650,216,90.5735603754815
6,1,3,3,p17,Node_1_1023_2590_3650,2590,2544.28506858346
6,1,3,3,p17,Node_1_1005_1151_1825,1151,1054.21174834354
6,1,3,3,p17,Node_1_208_575_3650,575,-1328.02076163196
6,1,3,3,p17,Node_1_584_813_3650,813,727.143633332683
6,1,3,3,p17,Node_1_450_1876_3650,1876,2875.06061965596
6,1,3,3,p17,Node_1_901_1026_1825,1026,-24.3529216080113
6,1,3,3,p17,Node_1_312_1565_3650,1565,1307.56742823676
6,1,3,3,p17,Node_1_688_111_1825,111,-488.489957835841
6,1,3,3,p17,Node_1_292_1637_1825,1637,2551.69336225219
6,1,3,3,p17,Node_1_285_2062_3650,2062,2554.9499081122
6,1,3,3,p17,Node_1_280_2828_3650,2828,3130.76319365521
6,1,3,3,p17,Node_1_187_186_1825,186,1086.6352820836
6,1,3,3,p17,Node_1_791_1505_1825,1505,1332.65917452079
6,1,4,3,p17,Node_1_791_1505_1825,1505,1162.07519570192
6,1,4,3,p17,Node_1_312_1565_3650,1565,1972.38757387064
6,1,4,3,p17,Node_1_464_3063_3650,3063,3649.99999999
6,1,4,3,p17,Node_1_308_798_3650,798,572.812723693692
6,1,4,3,p17,Node_1_707_240_1825,240,-14.0750067820492
6,1,4,3,p17,Node_1_584_813_3650,813,497.990741432283
6,1,4,3,p17,Node_1_264_1228_3650,1228,1410.9548325627
6,1,4,3,p17,Node_1_556_131_3650,131,3.3575263429849
6,1,4,3,p17,Node_1_564_2204_3650,2204,3271.40332088109
6,1,4,3,p17,Node_1_609_792_1825,792,-274.804615411848
6,1,4,3,p17,Node_1_901_1026_1825,1026,255.760083318813
6,1,4,3,p17,Node_1_335_154_3650,154,-964.774560164347
6,1,4,3,p17,Node_1_292_1637_1825,1637,2327.84419039636
6,1,4,3,p17,Node_1_280_2828_3650,2828,3202.25816597879
6,1,4,3,p17,Node_1_285_2062_3650,2062,2555.02685733371
6,1,4,3,p17,Node_1_1023_2590_3650,2590,2519.78613164091
6,1,4,3,p17,Node_1_1005_1151_1825,1151,963.948294380783
6,1,4,3,p17,Node_1_688_111_1825,111,71.6435325554214
6,1,4,3,p17,Node_1_1061_686_3650,686,210.386811769515
6,1,4,3,p17,Node_1_187_186_1825,186,210.14843743222
6,1,4,3,p17,Node_1_1173_15_1825,15,-965.287455524043
6,1,4,3,p17,Node_1_208_575_3650,575,-965.400475815141
6,1,4,3,p17,Node_1_234_869_3650,869,412.129731962493
6,1,4,3,p17,Node_1_939_505_3650,505,906.278615574619
6,1,4,3,p17,Node_1_503_642_1825,642,29.4638187491992
6,1,4,3,p17,Node_1_450_1876_3650,1876,2517.16209867678
6,1,4,3,p17,Node_1_1206_2275_3650,2275,2456.46060265003
6,1,4,3,p17,Node_1_347_655_3650,655,-279.675867558306
6,1,4,3,p17,Node_1_800_2515_3650,2515,2693.72973231419
6,1,4,3,p17,Node_1_17_216_3650,216,-290.456119037682
6,1,5,3,p17,Node_1_312_1565_3650,1565,1533.81568499538
6,1,5,3,p17,Node_1_584_813_3650,813,-330.98831656135
6,1,5,3,p17,Node_1_464_3063_3650,3063,1309.12023882075
6,1,5,3,p17,Node_1_450_1876_3650,1876,1832.51863209766
6,1,5,3,p17,Node_1_939_505_3650,505,1607.77685201506
6,1,5,3,p17,Node_1_800_2515_3650,2515,303.008948021258
6,1,5,3,p17,Node_1_1173_15_1825,15,-1244.0424139201
6,1,5,3,p17,Node_1_208_575_3650,575,-152.521417535536
6,1,5,3,p17,Node_1_335_154_3650,154,-471.92576882651
6,1,5,3,p17,Node_1_609_792_1825,792,2240.8105535843
6,1,5,3,p17,Node_1_1061_686_3650,686,628.456776624083
6,1,5,3,p17,Node_1_707_240_1825,240,90.2039026610554
6,1,5,3,p17,Node_1_234_869_3650,869,315.200119388023
6,1,5,3,p17,Node_1_503_642_1825,642,1276.71678697183
6,1,5,3,p17,Node_1_901_1026_1825,1026,734.451309710795
6,1,5,3,p17,Node_1_1005_1151_1825,1151,1512.96299695222
6,1,5,3,p17,Node_1_1023_2590_3650,2590,1499.82869133096
6,1,5,3,p17,Node_1_280_2828_3650,2828,2920.05584137416
