batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate
9,3,1,1,C1V2,Node_1_720_300_1825,300,274.046453235372
9,3,1,1,C1V2,Node_1_956_746_1825,746,908.797184817916
9,3,1,1,C1V2,Node_1_692_450_1825,450,475.695567459547
9,3,1,1,C1V2,Node_1_506_3348_3650,3348,2966.04906007804
9,3,1,1,C1V2,Node_1_805_2515_3650,2515,2489.78877558072
9,3,1,1,C1V2,Node_1_388_2240_3650,2240,2378.1141053842
9,3,1,1,C1V2,Node_1_1017_376_3650,376,467.041104107421
9,3,1,1,C1V2,Node_1_109_2370_3650,2370,2370.96443089811
9,3,1,1,C1V2,Node_1_1055_125_3650,125,-360.968954290802
9,3,1,1,C1V2,Node_1_430_1791_3650,1791,2179.07808986606
9,3,1,1,C1V2,Node_1_434_3396_3650,3396,3605.56596536623
9,3,1,1,C1V2,Node_1_673_3128_3650,3128,2784.23435826852
9,3,1,1,C1V2,Node_1_976_3325_3650,3325,2648.94443131142
9,3,1,1,C1V2,Node_1_729_3252_3650,3252,3040.17577096052
9,3,1,1,C1V2,Node_1_595_770_1825,770,833.249659562441
9,3,1,1,C1V2,Node_1_744_3298_3650,3298,3649.99999999
9,3,1,1,C1V2,Node_1_482_845_1825,845,969.749964993484
9,3,1,1,C1V2,Node_1_50_3365_3650,3365,3239.86340065839
9,3,1,1,C1V2,Node_1_1232_1107_3650,1107,1208.81694498148
9,3,1,1,C1V2,Node_1_514_237_3650,237,309.601224907943
9,3,1,1,C1V2,Node_1_92_900_1825,900,695.290115180686
9,3,1,1,C1V2,Node_1_1094_168_1825,168,-132.264931330086
9,3,1,1,C1V2,Node_1_579_1081_1825,1081,585.695533078521
9,3,1,1,C1V2,Node_1_1254_758_1825,758,424.459759519872
9,3,1,1,C1V2,Node_1_55_664_1825,664,301.434186592987
9,3,1,1,C1V2,Node_1_1266_1237_3650,1237,1131.78797093004
9,3,1,1,C1V2,Node_1_981_2710_3650,2710,3281.13941329956
9,3,1,1,C1V2,Node_1_624_2702_3650,2702,3649.99999999
9,3,1,1,C1V2,Node_1_630_1887_3650,1887,2274.02436363193
9,3,1,1,C1V2,Node_1_53_489_3650,489,113.071087891223
9,3,2,1,C1V2,Node_1_976_3325_3650,3325,3550.40787233879
9,3,2,1,C1V2,Node_1_482_845_1825,845,416.708108552101
9,3,2,1,C1V2,Node_1_50_3365_3650,3365,3426.44583092331
9,3,2,1,C1V2,Node_1_805_2515_3650,2515,2680.82677722104
9,3,2,1,C1V2,Node_1_744_3298_3650,3298,3649.99999999
9,3,2,1,C1V2,Node_1_53_489_3650,489,156.581232714718
9,3,2,1,C1V2,Node_1_514_237_3650,237,229.612642610794
9,3,2,1,C1V2,Node_1_1266_1237_3650,1237,1356.40542695688
9,3,2,1,C1V2,Node_1_1254_758_1825,758,711.994763037971
9,3,2,1,C1V2,Node_1_729_3252_3650,3252,3599.090850834
9,3,2,1,C1V2,Node_1_673_3128_3650,3128,2271.522877182
9,3,2,1,C1V2,Node_1_55_664_1825,664,319.549860026791
9,3,2,1,C1V2,Node_1_1017_376_3650,376,364.962396546594
9,3,2,1,C1V2,Node_1_506_3348_3650,3348,3649.99999999
9,3,2,1,C1V2,Node_1_595_770_1825,770,859.394073189581
9,3,2,1,C1V2,Node_1_630_1887_3650,1887,1907.23368905592
9,3,2,1,C1V2,Node_1_624_2702_3650,2702,2937.08999566728
9,3,2,1,C1V2,Node_1_692_450_1825,450,452.588528634431
9,3,2,1,C1V2,Node_1_388_2240_3650,2240,2668.55103754636
9,3,2,1,C1V2,Node_1_109_2370_3650,2370,2096.90632997608
9,3,2,1,C1V2,Node_1_92_900_1825,900,939.31041377935
9,3,2,1,C1V2,Node_1_1232_1107_3650,1107,1066.6959807103
9,3,2,1,C1V2,Node_1_981_2710_3650,2710,2568.53752949777
9,3,2,1,C1V2,Node_1_1055_125_3650,125,-179.778017010323
9,3,2,1,C1V2,Node_1_720_300_1825,300,50.703500114655
9,3,2,1,C1V2,Node_1_1094_168_1825,168,196.392982170361
9,3,2,1,C1V2,Node_1_579_1081_1825,1081,261.626868315932
9,3,2,1,C1V2,Node_1_956_746_1825,746,477.523612564097
9,3,2,1,C1V2,Node_1_430_1791_3650,1791,1675.88682901605
9,3,2,1,C1V2,Node_1_434_3396_3650,3396,3217.96458794143
9,3,3,1,C1V2,Node_1_109_2370_3650,2370,2597.80430544282
9,3,3,1,C1V2,Node_1_1232_1107_3650,1107,1470.64967512574
9,3,3,1,C1V2,Node_1_805_2515_3650,2515,2555.00010423871
9,3,3,1,C1V2,Node_1_1094_168_1825,168,124.712312027185
9,3,3,1,C1V2,Node_1_720_300_1825,300,-1.70468178797351
9,3,3,1,C1V2,Node_1_53_489_3650,489,-36.1252510162914
9,3,3,1,C1V2,Node_1_744_3298_3650,3298,3649.99999999
9,3,3,1,C1V2,Node_1_55_664_1825,664,368.966784513391
9,3,3,1,C1V2,Node_1_506_3348_3650,3348,3449.95597651216
9,3,3,1,C1V2,Node_1_595_770_1825,770,380.468433158131
9,3,3,1,C1V2,Node_1_976_3325_3650,3325,2904.56583620439
9,3,3,1,C1V2,Node_1_50_3365_3650,3365,3182.94811029614
9,3,3,1,C1V2,Node_1_579_1081_1825,1081,1059.76014309491
9,3,3,1,C1V2,Node_1_956_746_1825,746,640.412412792244
9,3,3,1,C1V2,Node_1_673_3128_3650,3128,3094.23181545709
9,3,3,1,C1V2,Node_1_981_2710_3650,2710,3155.86953658958
9,3,3,1,C1V2,Node_1_1266_1237_3650,1237,1214.76815028048
9,3,3,1,C1V2,Node_1_1254_758_1825,758,733.494222842808
9,3,3,1,C1V2,Node_1_729_3252_3650,3252,3056.35984504055
9,3,3,1,C1V2,Node_1_388_2240_3650,2240,1963.90130318945
9,3,3,1,C1V2,Node_1_92_900_1825,900,1245.90697445306
9,3,3,1,C1V2,Node_1_1017_376_3650,376,48.579575675806
9,3,3,1,C1V2,Node_1_514_237_3650,237,-425.277876379829
9,3,3,1,C1V2,Node_1_630_1887_3650,1887,1924.10456168603
9,3,3,1,C1V2,Node_1_624_2702_3650,2702,2359.04094556501
9,3,3,1,C1V2,Node_1_482_845_1825,845,699.729393052696
9,3,3,1,C1V2,Node_1_1055_125_3650,125,-129.508781906565
9,3,3,1,C1V2,Node_1_692_450_1825,450,-106.093017816075
9,3,3,1,C1V2,Node_1_434_3396_3650,3396,3641.23997624367
9,3,3,1,C1V2,Node_1_430_1791_3650,1791,1584.75903076418
9,3,4,1,C1V2,Node_1_595_770_1825,770,709.145823412288
9,3,4,1,C1V2,Node_1_1254_758_1825,758,623.910430436541
9,3,4,1,C1V2,Node_1_92_900_1825,900,224.448373479271
9,3,4,1,C1V2,Node_1_976_3325_3650,3325,3649.99999999
9,3,4,1,C1V2,Node_1_109_2370_3650,2370,2716.25627849067
9,3,4,1,C1V2,Node_1_53_489_3650,489,581.626214106092
9,3,4,1,C1V2,Node_1_744_3298_3650,3298,3649.99999999
9,3,4,1,C1V2,Node_1_506_3348_3650,3348,3379.17254317934
9,3,4,1,C1V2,Node_1_482_845_1825,845,430.384376052925
9,3,4,1,C1V2,Node_1_805_2515_3650,2515,2691.67055641289
9,3,4,1,C1V2,Node_1_673_3128_3650,3128,2791.17546450171
9,3,4,1,C1V2,Node_1_729_3252_3650,3252,3267.89474890882
9,3,4,1,C1V2,Node_1_1232_1107_3650,1107,1345.17288972876
9,3,4,1,C1V2,Node_1_956_746_1825,746,781.317092108749
9,3,4,1,C1V2,Node_1_981_2710_3650,2710,2052.97054109479
9,3,4,1,C1V2,Node_1_579_1081_1825,1081,825.636017261558
9,3,4,1,C1V2,Node_1_434_3396_3650,3396,3649.99999999
9,3,4,1,C1V2,Node_1_430_1791_3650,1791,1863.98501686747
9,3,4,1,C1V2,Node_1_630_1887_3650,1887,1870.15169880915
9,3,4,1,C1V2,Node_1_624_2702_3650,2702,2920.29061619542
9,3,4,1,C1V2,Node_1_388_2240_3650,2240,2525.24788210099
9,3,4,1,C1V2,Node_1_1094_168_1825,168,-246.705956653316
9,3,4,1,C1V2,Node_1_720_300_1825,300,-155.630698878638
9,3,4,1,C1V2,Node_1_692_450_1825,450,35.1289674757489
9,3,4,1,C1V2,Node_1_50_3365_3650,3365,3649.99999999
9,3,4,1,C1V2,Node_1_1266_1237_3650,1237,1111.89712810931
9,3,4,1,C1V2,Node_1_1055_125_3650,125,-591.817142624019
9,3,4,1,C1V2,Node_1_1017_376_3650,376,-225.406413047534
9,3,4,1,C1V2,Node_1_55_664_1825,664,146.186502735326
9,3,4,1,C1V2,Node_1_514_237_3650,237,-624.987983057675
9,3,5,1,C1V2,Node_1_981_2710_3650,2710,2972.16379770719
9,3,5,1,C1V2,Node_1_53_489_3650,489,249.237583990422
9,3,5,1,C1V2,Node_1_595_770_1825,770,618.713678519409
9,3,5,1,C1V2,Node_1_630_1887_3650,1887,2308.27029543919
9,3,5,1,C1V2,Node_1_624_2702_3650,2702,3078.51509774977
9,3,5,1,C1V2,Node_1_744_3298_3650,3298,2621.94819822141
9,3,5,1,C1V2,Node_1_673_3128_3650,3128,2395.73775462839
9,3,5,1,C1V2,Node_1_50_3365_3650,3365,3621.68120171648
9,3,5,1,C1V2,Node_1_92_900_1825,900,967.094986634813
9,3,5,1,C1V2,Node_1_109_2370_3650,2370,2091.28994315255
9,3,5,1,C1V2,Node_1_430_1791_3650,1791,1820.30766029821
9,3,5,1,C1V2,Node_1_434_3396_3650,3396,3580.7163996258
9,3,5,1,C1V2,Node_1_55_664_1825,664,329.86631425064
9,3,5,1,C1V2,Node_1_1055_125_3650,125,-102.504166995901
9,3,5,1,C1V2,Node_1_1254_758_1825,758,914.741149321369
9,3,5,1,C1V2,Node_1_1232_1107_3650,1107,1326.49135130303
9,3,5,1,C1V2,Node_1_1094_168_1825,168,-28.0938115977202
9,3,5,1,C1V2,Node_1_1017_376_3650,376,-85.9206589590059
9,3,5,1,C1V2,Node_1_956_746_1825,746,304.810327996845
9,3,5,1,C1V2,Node_1_692_450_1825,450,118.721123982679
9,3,5,1,C1V2,Node_1_388_2240_3650,2240,1379.91438449533
9,3,5,1,C1V2,Node_1_579_1081_1825,1081,556.229381714254
9,3,5,1,C1V2,Node_1_720_300_1825,300,-202.83011910417
9,3,5,1,C1V2,Node_1_729_3252_3650,3252,3649.99999999
9,3,5,1,C1V2,Node_1_482_845_1825,845,1818.80480573539
9,3,5,1,C1V2,Node_1_976_3325_3650,3325,3413.21625705768
