batch,rep,ali,sub,gene,run,nodeName,trueDate,nodeDate,lowCI,highCI
15,5,1,2,nef,1,Node_1_38_1453_1825,1453,1474.589,1030.669,1824.998
15,5,1,2,nef,1,Node_1_102_11_3650,11,94.381,-45.000,373.479
15,5,1,2,nef,1,Node_1_133_1876_3650,1876,1820.673,1151.867,2509.443
15,5,1,2,nef,1,Node_1_173_452_3650,452,1154.407,417.574,1928.620
15,5,1,2,nef,1,Node_1_188_3588_3650,3588,2804.631,1926.701,3649.499
15,5,1,2,nef,1,Node_1_196_308_1825,308,140.439,-44.966,459.017
15,5,1,2,nef,1,Node_1_275_268_1825,268,363.226,-44.058,867.267
15,5,1,2,nef,1,Node_1_299_490_1825,490,490.829,24.819,1029.867
15,5,1,2,nef,1,Node_1_331_767_1825,767,535.219,134.111,1019.267
15,5,1,2,nef,1,Node_1_373_2822_3650,2822,2839.155,2074.025,3647.706
15,5,1,2,nef,1,Node_1_386_3188_3650,3188,3293.455,2739.244,3649.990
15,5,1,2,nef,1,Node_1_406_1236_3650,1236,1207.354,468.282,1992.635
15,5,1,2,nef,1,Node_1_414_733_1825,733,688.917,34.265,1347.135
15,5,1,2,nef,1,Node_1_448_1685_3650,1685,1940.471,947.976,3044.702
15,5,1,2,nef,1,Node_1_459_1055_1825,1055,1009.897,385.355,1702.914
15,5,1,2,nef,1,Node_1_504_1382_1825,1382,1664.123,1393.440,1824.991
15,5,1,2,nef,1,Node_1_521_1067_3650,1067,2008.469,948.715,3108.948
15,5,1,2,nef,1,Node_1_569_3621_3650,3621,3396.444,2961.094,3649.992
15,5,1,2,nef,1,Node_1_606_831_3650,831,816.015,184.211,1610.261
15,5,1,2,nef,1,Node_1_689_2159_3650,2159,2809.508,2063.425,3649.734
15,5,1,2,nef,1,Node_1_739_3160_3650,3160,3135.034,2593.106,3649.694
15,5,1,2,nef,1,Node_1_886_1200_1825,1200,1201.153,670.698,1804.030
15,5,1,2,nef,1,Node_1_921_352_3650,352,459.710,-38.769,989.679
15,5,1,2,nef,1,Node_1_923_715_3650,715,980.368,252.531,1763.084
15,5,1,2,nef,1,Node_1_969_1374_1825,1374,1007.480,373.722,1701.084
15,5,1,2,nef,1,Node_1_1070_1834_3650,1834,855.827,166.724,1571.647
15,5,1,2,nef,1,Node_1_1173_2667_3650,2667,2870.950,2333.705,3435.373
15,5,1,2,nef,1,Node_1_1228_3279_3650,3279,3314.638,2789.582,3649.938
15,5,1,2,nef,1,Node_1_1269_726_3650,726,1054.369,349.120,1799.020
15,5,1,2,nef,1,Node_1_1291_1053_3650,1053,1544.401,677.787,2508.406
15,5,2,2,nef,1,Node_1_38_1453_1825,1453,710.332,97.097,1347.589
15,5,2,2,nef,1,Node_1_102_11_3650,11,203.678,-44.430,580.682
15,5,2,2,nef,1,Node_1_133_1876_3650,1876,1853.592,1244.007,2498.140
15,5,2,2,nef,1,Node_1_173_452_3650,452,648.664,129.711,1239.261
15,5,2,2,nef,1,Node_1_188_3588_3650,3588,3156.670,2470.418,3649.960
15,5,2,2,nef,1,Node_1_196_308_1825,308,87.429,-44.986,353.571
15,5,2,2,nef,1,Node_1_275_268_1825,268,194.837,-44.926,540.677
15,5,2,2,nef,1,Node_1_299_490_1825,490,744.926,221.890,1336.907
15,5,2,2,nef,1,Node_1_331_767_1825,767,677.354,149.250,1259.664
15,5,2,2,nef,1,Node_1_373_2822_3650,2822,3343.557,2856.345,3649.933
15,5,2,2,nef,1,Node_1_386_3188_3650,3188,3220.150,2628.140,3650.000
15,5,2,2,nef,1,Node_1_406_1236_3650,1236,1572.458,776.803,2450.769
15,5,2,2,nef,1,Node_1_414_733_1825,733,1242.960,710.216,1824.918
15,5,2,2,nef,1,Node_1_448_1685_3650,1685,2475.114,1531.920,3635.219
15,5,2,2,nef,1,Node_1_459_1055_1825,1055,1245.774,707.287,1823.786
15,5,2,2,nef,1,Node_1_504_1382_1825,1382,1395.741,899.681,1824.989
15,5,2,2,nef,1,Node_1_521_1067_3650,1067,1248.502,528.069,1994.966
15,5,2,2,nef,1,Node_1_569_3621_3650,3621,3316.193,2802.607,3649.894
15,5,2,2,nef,1,Node_1_606_831_3650,831,812.949,113.674,1557.905
15,5,2,2,nef,1,Node_1_689_2159_3650,2159,1713.391,923.071,2617.357
15,5,2,2,nef,1,Node_1_739_3160_3650,3160,3180.549,2714.967,3649.844
15,5,2,2,nef,1,Node_1_886_1200_1825,1200,1438.441,1032.967,1824.970
15,5,2,2,nef,1,Node_1_921_352_3650,352,532.330,-19.587,1132.087
15,5,2,2,nef,1,Node_1_923_715_3650,715,865.081,166.766,1685.413
15,5,2,2,nef,1,Node_1_969_1374_1825,1374,1581.099,1210.024,1824.984
15,5,2,2,nef,1,Node_1_1070_1834_3650,1834,1635.597,990.704,2321.665
15,5,2,2,nef,1,Node_1_1173_2667_3650,2667,2362.487,1839.464,2924.342
15,5,2,2,nef,1,Node_1_1228_3279_3650,3279,2315.331,1544.760,3125.920
15,5,2,2,nef,1,Node_1_1269_726_3650,726,756.481,143.726,1419.007
15,5,2,2,nef,1,Node_1_1291_1053_3650,1053,1460.829,697.656,2339.137
15,5,3,2,nef,1,Node_1_38_1453_1825,1453,1389.703,879.497,1824.968
15,5,3,2,nef,1,Node_1_102_11_3650,11,106.012,-44.983,404.491
15,5,3,2,nef,1,Node_1_133_1876_3650,1876,2530.538,1736.267,3323.151
15,5,3,2,nef,1,Node_1_173_452_3650,452,743.814,173.266,1342.915
15,5,3,2,nef,1,Node_1_188_3588_3650,3588,3154.557,2439.329,3649.992
15,5,3,2,nef,1,Node_1_196_308_1825,308,700.963,135.916,1343.596
15,5,3,2,nef,1,Node_1_275_268_1825,268,285.268,-44.987,709.599
15,5,3,2,nef,1,Node_1_299_490_1825,490,1008.695,420.177,1669.601
15,5,3,2,nef,1,Node_1_331_767_1825,767,986.934,450.698,1607.120
15,5,3,2,nef,1,Node_1_373_2822_3650,2822,2901.003,2205.940,3649.689
15,5,3,2,nef,1,Node_1_386_3188_3650,3188,3127.878,2438.715,3649.916
15,5,3,2,nef,1,Node_1_406_1236_3650,1236,1897.963,969.655,2979.968
15,5,3,2,nef,1,Node_1_414_733_1825,733,854.978,284.343,1499.936
15,5,3,2,nef,1,Node_1_448_1685_3650,1685,1871.496,926.124,2901.870
15,5,3,2,nef,1,Node_1_459_1055_1825,1055,1350.745,818.293,1824.982
15,5,3,2,nef,1,Node_1_504_1382_1825,1382,1642.930,1337.707,1824.964
15,5,3,2,nef,1,Node_1_521_1067_3650,1067,881.584,266.084,1611.557
15,5,3,2,nef,1,Node_1_569_3621_3650,3621,3301.036,2759.888,3649.992
15,5,3,2,nef,1,Node_1_606_831_3650,831,882.414,237.373,1595.504
15,5,3,2,nef,1,Node_1_689_2159_3650,2159,2551.360,1621.107,3534.400
15,5,3,2,nef,1,Node_1_739_3160_3650,3160,3322.074,2834.693,3649.978
15,5,3,2,nef,1,Node_1_886_1200_1825,1200,1383.344,927.507,1824.999
15,5,3,2,nef,1,Node_1_921_352_3650,352,101.279,-44.955,390.989
15,5,3,2,nef,1,Node_1_923_715_3650,715,476.025,-3.010,1045.759
15,5,3,2,nef,1,Node_1_969_1374_1825,1374,1331.030,832.755,1824.996
15,5,3,2,nef,1,Node_1_1070_1834_3650,1834,1618.774,770.229,2442.295
15,5,3,2,nef,1,Node_1_1173_2667_3650,2667,2732.934,2127.690,3448.377
15,5,3,2,nef,1,Node_1_1228_3279_3650,3279,2855.100,2171.476,3647.098
15,5,3,2,nef,1,Node_1_1269_726_3650,726,987.276,352.954,1725.080
15,5,3,2,nef,1,Node_1_1291_1053_3650,1053,1083.986,361.625,1892.935
15,5,4,2,nef,1,Node_1_38_1453_1825,1453,1521.446,1059.614,1824.984
15,5,4,2,nef,1,Node_1_102_11_3650,11,179.177,-44.958,525.518
15,5,4,2,nef,1,Node_1_133_1876_3650,1876,1840.973,1103.936,2657.747
15,5,4,2,nef,1,Node_1_173_452_3650,452,813.839,58.683,1669.038
15,5,4,2,nef,1,Node_1_188_3588_3650,3588,2828.687,1938.033,3649.596
15,5,4,2,nef,1,Node_1_196_308_1825,308,342.924,-44.438,864.975
15,5,4,2,nef,1,Node_1_275_268_1825,268,273.709,-44.929,766.763
15,5,4,2,nef,1,Node_1_299_490_1825,490,316.946,-44.930,782.781
15,5,4,2,nef,1,Node_1_331_767_1825,767,963.330,377.171,1611.932
15,5,4,2,nef,1,Node_1_373_2822_3650,2822,2513.039,1582.327,3547.291
15,5,4,2,nef,1,Node_1_386_3188_3650,3188,2896.481,2022.480,3649.998
15,5,4,2,nef,1,Node_1_406_1236_3650,1236,1081.026,369.564,1899.648
15,5,4,2,nef,1,Node_1_414_733_1825,733,1033.788,444.203,1742.105
15,5,4,2,nef,1,Node_1_448_1685_3650,1685,2253.244,1195.970,3484.616
15,5,4,2,nef,1,Node_1_459_1055_1825,1055,987.805,364.903,1689.140
15,5,4,2,nef,1,Node_1_504_1382_1825,1382,1171.460,596.311,1821.836
15,5,4,2,nef,1,Node_1_521_1067_3650,1067,1124.189,235.505,2100.204
15,5,4,2,nef,1,Node_1_569_3621_3650,3621,3159.956,2484.234,3649.919
15,5,4,2,nef,1,Node_1_606_831_3650,831,1060.511,258.935,1977.468
15,5,4,2,nef,1,Node_1_689_2159_3650,2159,2372.332,1451.709,3436.967
15,5,4,2,nef,1,Node_1_739_3160_3650,3160,2842.088,2158.004,3647.977
15,5,4,2,nef,1,Node_1_886_1200_1825,1200,1548.166,1145.158,1824.999
15,5,4,2,nef,1,Node_1_921_352_3650,352,355.069,-44.928,949.325
15,5,4,2,nef,1,Node_1_923_715_3650,715,559.731,-42.926,1173.819
15,5,4,2,nef,1,Node_1_969_1374_1825,1374,1504.514,1050.388,1824.933
15,5,4,2,nef,1,Node_1_1070_1834_3650,1834,1539.392,624.707,2462.997
15,5,4,2,nef,1,Node_1_1173_2667_3650,2667,2895.116,2375.905,3500.289
15,5,4,2,nef,1,Node_1_1228_3279_3650,3279,2908.842,2240.964,3608.664
15,5,4,2,nef,1,Node_1_1269_726_3650,726,679.717,32.764,1378.904
15,5,4,2,nef,1,Node_1_1291_1053_3650,1053,1489.742,610.394,2489.291
15,5,5,2,nef,1,Node_1_38_1453_1825,1453,1333.360,801.536,1824.982
15,5,5,2,nef,1,Node_1_102_11_3650,11,100.770,-44.956,395.702
15,5,5,2,nef,1,Node_1_133_1876_3650,1876,1960.540,1203.150,2764.327
15,5,5,2,nef,1,Node_1_173_452_3650,452,980.830,270.589,1795.343
15,5,5,2,nef,1,Node_1_188_3588_3650,3588,3330.953,2794.702,3649.824
15,5,5,2,nef,1,Node_1_196_308_1825,308,484.905,23.196,953.617
15,5,5,2,nef,1,Node_1_275_268_1825,268,646.858,122.553,1253.160
15,5,5,2,nef,1,Node_1_299_490_1825,490,335.779,-42.953,752.434
15,5,5,2,nef,1,Node_1_331_767_1825,767,967.798,492.228,1522.062
15,5,5,2,nef,1,Node_1_373_2822_3650,2822,3055.848,2341.534,3649.974
15,5,5,2,nef,1,Node_1_386_3188_3650,3188,2541.808,1629.304,3532.741
15,5,5,2,nef,1,Node_1_406_1236_3650,1236,2056.054,1111.126,3041.757
15,5,5,2,nef,1,Node_1_414_733_1825,733,922.740,362.349,1562.994
15,5,5,2,nef,1,Node_1_448_1685_3650,1685,1750.570,809.987,2803.250
15,5,5,2,nef,1,Node_1_459_1055_1825,1055,1132.804,594.098,1812.707
15,5,5,2,nef,1,Node_1_504_1382_1825,1382,1516.440,1061.235,1824.974
15,5,5,2,nef,1,Node_1_521_1067_3650,1067,560.098,67.849,1074.095
15,5,5,2,nef,1,Node_1_569_3621_3650,3621,3427.606,3037.586,3649.993
15,5,5,2,nef,1,Node_1_606_831_3650,831,1308.795,584.256,2138.178
15,5,5,2,nef,1,Node_1_689_2159_3650,2159,2536.586,1689.325,3503.372
15,5,5,2,nef,1,Node_1_739_3160_3650,3160,3022.301,2403.244,3649.764
15,5,5,2,nef,1,Node_1_886_1200_1825,1200,1580.304,1233.783,1824.939
15,5,5,2,nef,1,Node_1_921_352_3650,352,443.425,-25.479,970.935
15,5,5,2,nef,1,Node_1_923_715_3650,715,990.943,395.059,1631.975
15,5,5,2,nef,1,Node_1_969_1374_1825,1374,1393.617,891.338,1824.940
15,5,5,2,nef,1,Node_1_1070_1834_3650,1834,2048.214,1179.736,3034.198
15,5,5,2,nef,1,Node_1_1173_2667_3650,2667,2929.981,2381.054,3621.929
15,5,5,2,nef,1,Node_1_1228_3279_3650,3279,2604.373,1852.208,3539.958
15,5,5,2,nef,1,Node_1_1269_726_3650,726,957.621,300.299,1704.076
15,5,5,2,nef,1,Node_1_1291_1053_3650,1053,2069.063,1114.347,3162.313
15,5,6,2,nef,1,Node_1_38_1453_1825,1453,1548.221,1136.903,1824.952
15,5,6,2,nef,1,Node_1_102_11_3650,11,110.114,-44.990,390.920
15,5,6,2,nef,1,Node_1_133_1876_3650,1876,2226.081,1503.083,3069.617
15,5,6,2,nef,1,Node_1_173_452_3650,452,367.169,-39.104,822.709
15,5,6,2,nef,1,Node_1_188_3588_3650,3588,3320.984,2784.869,3649.942
15,5,6,2,nef,1,Node_1_196_308_1825,308,190.852,-44.903,605.523
15,5,6,2,nef,1,Node_1_275_268_1825,268,521.913,-29.518,1093.768
15,5,6,2,nef,1,Node_1_299_490_1825,490,426.133,-7.226,891.153
15,5,6,2,nef,1,Node_1_331_767_1825,767,1033.711,389.110,1732.639
15,5,6,2,nef,1,Node_1_373_2822_3650,2822,2275.906,1422.394,3128.983
15,5,6,2,nef,1,Node_1_386_3188_3650,3188,2870.425,2112.599,3649.782
15,5,6,2,nef,1,Node_1_406_1236_3650,1236,1637.695,719.375,2626.778
15,5,6,2,nef,1,Node_1_414_733_1825,733,544.959,8.804,1070.823
15,5,6,2,nef,1,Node_1_448_1685_3650,1685,1475.999,504.891,2557.819
15,5,6,2,nef,1,Node_1_459_1055_1825,1055,1261.114,722.267,1824.899
15,5,6,2,nef,1,Node_1_504_1382_1825,1382,1366.295,830.777,1824.990
15,5,6,2,nef,1,Node_1_521_1067_3650,1067,1371.136,627.155,2251.740
15,5,6,2,nef,1,Node_1_569_3621_3650,3621,2848.174,1952.694,3649.450
15,5,6,2,nef,1,Node_1_606_831_3650,831,780.831,128.278,1557.400
15,5,6,2,nef,1,Node_1_689_2159_3650,2159,2825.241,2007.739,3649.703
15,5,6,2,nef,1,Node_1_739_3160_3650,3160,2843.447,2143.113,3578.146
15,5,6,2,nef,1,Node_1_886_1200_1825,1200,1119.223,555.356,1765.784
15,5,6,2,nef,1,Node_1_921_352_3650,352,368.382,-40.449,851.895
15,5,6,2,nef,1,Node_1_923_715_3650,715,553.312,-41.590,1256.382
15,5,6,2,nef,1,Node_1_969_1374_1825,1374,1297.308,785.311,1824.974
15,5,6,2,nef,1,Node_1_1070_1834_3650,1834,2518.835,1722.959,3295.827
15,5,6,2,nef,1,Node_1_1173_2667_3650,2667,2808.367,2310.673,3381.099
15,5,6,2,nef,1,Node_1_1228_3279_3650,3279,3185.158,2607.940,3649.969
15,5,6,2,nef,1,Node_1_1269_726_3650,726,628.119,130.039,1233.604
15,5,6,2,nef,1,Node_1_1291_1053_3650,1053,1577.531,767.412,2511.981
15,5,7,2,nef,1,Node_1_38_1453_1825,1453,1218.813,648.856,1824.619
15,5,7,2,nef,1,Node_1_102_11_3650,11,116.747,-44.989,434.858
15,5,7,2,nef,1,Node_1_133_1876_3650,1876,2264.132,1472.407,3127.178
15,5,7,2,nef,1,Node_1_173_452_3650,452,277.849,-44.986,701.525
15,5,7,2,nef,1,Node_1_188_3588_3650,3588,2632.686,1718.848,3649.821
15,5,7,2,nef,1,Node_1_196_308_1825,308,698.231,17.433,1368.016
15,5,7,2,nef,1,Node_1_275_268_1825,268,930.903,327.806,1634.431
15,5,7,2,nef,1,Node_1_299_490_1825,490,199.075,-44.999,558.757
15,5,7,2,nef,1,Node_1_331_767_1825,767,1481.791,1034.166,1824.929
15,5,7,2,nef,1,Node_1_373_2822_3650,2822,2876.272,2126.162,3649.072
15,5,7,2,nef,1,Node_1_386_3188_3650,3188,2074.021,1121.946,3074.632
15,5,7,2,nef,1,Node_1_406_1236_3650,1236,1280.230,484.059,2165.246
15,5,7,2,nef,1,Node_1_414_733_1825,733,824.705,257.468,1470.728
15,5,7,2,nef,1,Node_1_448_1685_3650,1685,1837.847,882.031,2914.601
15,5,7,2,nef,1,Node_1_459_1055_1825,1055,1050.826,463.772,1788.791
15,5,7,2,nef,1,Node_1_504_1382_1825,1382,1223.515,648.644,1824.715
15,5,7,2,nef,1,Node_1_521_1067_3650,1067,2582.465,1655.498,3648.197
15,5,7,2,nef,1,Node_1_569_3621_3650,3621,2754.214,1909.553,3649.381
15,5,7,2,nef,1,Node_1_606_831_3650,831,1724.617,722.307,2868.893
15,5,7,2,nef,1,Node_1_689_2159_3650,2159,3041.102,2318.214,3649.838
15,5,7,2,nef,1,Node_1_739_3160_3650,3160,3453.576,3151.740,3649.931
15,5,7,2,nef,1,Node_1_886_1200_1825,1200,1144.566,713.256,1608.602
15,5,7,2,nef,1,Node_1_921_352_3650,352,119.137,-44.940,450.559
15,5,7,2,nef,1,Node_1_923_715_3650,715,259.673,-44.981,713.664
15,5,7,2,nef,1,Node_1_969_1374_1825,1374,1056.089,432.200,1704.002
15,5,7,2,nef,1,Node_1_1070_1834_3650,1834,2703.140,1901.071,3584.821
15,5,7,2,nef,1,Node_1_1173_2667_3650,2667,2602.576,1942.595,3250.934
15,5,7,2,nef,1,Node_1_1228_3279_3650,3279,2695.131,1911.362,3600.875
15,5,7,2,nef,1,Node_1_1269_726_3650,726,878.503,169.507,1633.426
15,5,7,2,nef,1,Node_1_1291_1053_3650,1053,1308.853,528.795,2159.178
15,5,8,2,nef,1,Node_1_38_1453_1825,1453,1479.565,1026.726,1824.941
15,5,8,2,nef,1,Node_1_102_11_3650,11,106.764,-44.992,400.484
15,5,8,2,nef,1,Node_1_133_1876_3650,1876,1821.695,1131.189,2606.644
15,5,8,2,nef,1,Node_1_173_452_3650,452,155.953,-44.980,531.340
15,5,8,2,nef,1,Node_1_188_3588_3650,3588,3039.070,2275.543,3649.951
15,5,8,2,nef,1,Node_1_196_308_1825,308,162.948,-44.945,538.985
15,5,8,2,nef,1,Node_1_275_268_1825,268,104.579,-44.945,402.474
15,5,8,2,nef,1,Node_1_299_490_1825,490,1223.548,719.260,1823.453
15,5,8,2,nef,1,Node_1_331_767_1825,767,1040.283,432.757,1730.438
15,5,8,2,nef,1,Node_1_373_2822_3650,2822,2849.224,2093.035,3648.454
15,5,8,2,nef,1,Node_1_386_3188_3650,3188,3081.193,2360.651,3649.889
15,5,8,2,nef,1,Node_1_406_1236_3650,1236,1736.326,831.297,2659.101
15,5,8,2,nef,1,Node_1_414_733_1825,733,524.775,164.295,987.144
15,5,8,2,nef,1,Node_1_448_1685_3650,1685,2166.668,1179.807,3300.771
15,5,8,2,nef,1,Node_1_459_1055_1825,1055,748.325,126.384,1414.123
15,5,8,2,nef,1,Node_1_504_1382_1825,1382,1241.982,729.118,1818.383
15,5,8,2,nef,1,Node_1_521_1067_3650,1067,2466.033,1519.115,3512.795
15,5,8,2,nef,1,Node_1_569_3621_3650,3621,3249.118,2682.568,3649.908
15,5,8,2,nef,1,Node_1_606_831_3650,831,547.505,-44.082,1192.914
15,5,8,2,nef,1,Node_1_689_2159_3650,2159,2413.648,1470.615,3430.928
15,5,8,2,nef,1,Node_1_739_3160_3650,3160,3340.571,2868.802,3649.879
15,5,8,2,nef,1,Node_1_886_1200_1825,1200,1494.490,1102.296,1824.863
15,5,8,2,nef,1,Node_1_921_352_3650,352,765.690,93.093,1506.302
15,5,8,2,nef,1,Node_1_923_715_3650,715,1408.460,565.501,2306.476
15,5,8,2,nef,1,Node_1_969_1374_1825,1374,1614.386,1266.716,1824.923
15,5,8,2,nef,1,Node_1_1070_1834_3650,1834,2241.514,1481.898,3161.543
15,5,8,2,nef,1,Node_1_1173_2667_3650,2667,3113.180,2675.876,3632.695
15,5,8,2,nef,1,Node_1_1228_3279_3650,3279,3386.096,2973.564,3649.989
15,5,8,2,nef,1,Node_1_1269_726_3650,726,623.899,161.198,1134.085
15,5,8,2,nef,1,Node_1_1291_1053_3650,1053,1691.408,819.064,2640.400
15,5,9,2,nef,1,Node_1_38_1453_1825,1453,1608.807,1251.053,1824.992
15,5,9,2,nef,1,Node_1_102_11_3650,11,162.219,-44.937,498.644
15,5,9,2,nef,1,Node_1_133_1876_3650,1876,1803.027,919.779,2786.640
15,5,9,2,nef,1,Node_1_173_452_3650,452,325.579,-44.033,808.701
15,5,9,2,nef,1,Node_1_188_3588_3650,3588,3036.009,2227.144,3649.991
15,5,9,2,nef,1,Node_1_196_308_1825,308,165.398,-44.948,555.255
15,5,9,2,nef,1,Node_1_275_268_1825,268,226.841,-44.991,669.805
15,5,9,2,nef,1,Node_1_299_490_1825,490,880.014,255.087,1590.756
15,5,9,2,nef,1,Node_1_331_767_1825,767,928.911,351.808,1577.752
15,5,9,2,nef,1,Node_1_373_2822_3650,2822,3333.604,2820.603,3649.992
15,5,9,2,nef,1,Node_1_386_3188_3650,3188,3291.155,2720.945,3649.985
15,5,9,2,nef,1,Node_1_406_1236_3650,1236,1591.871,821.000,2526.777
15,5,9,2,nef,1,Node_1_414_733_1825,733,1054.780,422.055,1743.799
15,5,9,2,nef,1,Node_1_448_1685_3650,1685,2120.182,1081.174,3285.782
15,5,9,2,nef,1,Node_1_459_1055_1825,1055,919.110,273.736,1700.764
15,5,9,2,nef,1,Node_1_504_1382_1825,1382,1429.959,964.733,1824.998
15,5,9,2,nef,1,Node_1_521_1067_3650,1067,2012.347,965.817,3098.773
15,5,9,2,nef,1,Node_1_569_3621_3650,3621,3373.419,2920.946,3649.988
15,5,9,2,nef,1,Node_1_606_831_3650,831,1144.054,393.387,1998.699
15,5,9,2,nef,1,Node_1_689_2159_3650,2159,2834.758,2022.132,3647.973
15,5,9,2,nef,1,Node_1_739_3160_3650,3160,3171.460,2636.510,3649.928
15,5,9,2,nef,1,Node_1_886_1200_1825,1200,1225.721,751.630,1774.528
15,5,9,2,nef,1,Node_1_921_352_3650,352,631.557,-36.476,1240.602
15,5,9,2,nef,1,Node_1_923_715_3650,715,759.043,95.477,1470.024
15,5,9,2,nef,1,Node_1_969_1374_1825,1374,789.512,203.786,1469.202
15,5,9,2,nef,1,Node_1_1070_1834_3650,1834,1789.701,1095.733,2573.161
15,5,9,2,nef,1,Node_1_1173_2667_3650,2667,2728.770,2246.858,3222.777
15,5,9,2,nef,1,Node_1_1228_3279_3650,3279,3174.263,2497.256,3649.859
15,5,9,2,nef,1,Node_1_1269_726_3650,726,1187.824,315.629,2130.468
15,5,9,2,nef,1,Node_1_1291_1053_3650,1053,1262.555,402.539,2204.652
15,5,10,2,nef,1,Node_1_38_1453_1825,1453,1389.167,873.391,1824.985
15,5,10,2,nef,1,Node_1_102_11_3650,11,85.315,-44.994,343.049
15,5,10,2,nef,1,Node_1_133_1876_3650,1876,1858.042,1137.711,2625.530
15,5,10,2,nef,1,Node_1_173_452_3650,452,579.012,109.866,1127.470
15,5,10,2,nef,1,Node_1_188_3588_3650,3588,3272.106,2688.880,3649.964
15,5,10,2,nef,1,Node_1_196_308_1825,308,132.211,-44.956,431.499
15,5,10,2,nef,1,Node_1_275_268_1825,268,572.188,27.855,1167.879
15,5,10,2,nef,1,Node_1_299_490_1825,490,855.313,341.136,1447.318
15,5,10,2,nef,1,Node_1_331_767_1825,767,940.475,402.866,1535.670
15,5,10,2,nef,1,Node_1_373_2822_3650,2822,2819.017,2090.516,3649.941
15,5,10,2,nef,1,Node_1_386_3188_3650,3188,3078.297,2371.913,3649.940
15,5,10,2,nef,1,Node_1_406_1236_3650,1236,1503.364,695.273,2451.186
15,5,10,2,nef,1,Node_1_414_733_1825,733,257.152,-44.942,733.782
15,5,10,2,nef,1,Node_1_448_1685_3650,1685,1837.899,935.367,2827.323
15,5,10,2,nef,1,Node_1_459_1055_1825,1055,900.667,212.973,1661.669
15,5,10,2,nef,1,Node_1_504_1382_1825,1382,1446.633,997.135,1824.966
15,5,10,2,nef,1,Node_1_521_1067_3650,1067,1355.166,470.433,2319.643
15,5,10,2,nef,1,Node_1_569_3621_3650,3621,3123.887,2437.773,3649.737
15,5,10,2,nef,1,Node_1_606_831_3650,831,964.896,293.408,1738.413
15,5,10,2,nef,1,Node_1_689_2159_3650,2159,2932.691,2171.588,3649.498
15,5,10,2,nef,1,Node_1_739_3160_3650,3160,2850.404,2251.416,3506.458
