batch,rep,ali,sub,gene,run,nodeName,trueDate,nodeDate,lowCI,highCI
4,3,1,2,p17,1,Node_1_14_888_3650,888,1649.433,324.535,3102.823
4,3,1,2,p17,1,Node_1_22_2218_3650,2218,2978.231,2039.244,3649.863
4,3,1,2,p17,1,Node_1_31_3115_3650,3115,3025.621,2139.776,3649.771
4,3,1,2,p17,1,Node_1_40_2672_3650,2672,2511.166,1727.578,3522.335
4,3,1,2,p17,1,Node_1_90_133_1825,133,313.948,-44.994,969.453
4,3,1,2,p17,1,Node_1_117_477_3650,477,432.273,-44.993,1312.160
4,3,1,2,p17,1,Node_1_176_131_3650,131,294.931,-44.872,965.026
4,3,1,2,p17,1,Node_1_192_312_3650,312,832.668,-44.782,1963.834
4,3,1,2,p17,1,Node_1_259_465_1825,465,573.672,-44.952,1392.658
4,3,1,2,p17,1,Node_1_291_3093_3650,3093,3114.760,2423.399,3649.856
4,3,1,2,p17,1,Node_1_508_424_1825,424,1196.294,512.116,1824.835
4,3,1,2,p17,1,Node_1_572_2940_3650,2940,3260.991,2697.794,3649.288
4,3,1,2,p17,1,Node_1_657_1258_1825,1258,1048.290,408.901,1817.984
4,3,1,2,p17,1,Node_1_666_1402_1825,1402,1432.810,871.458,1824.982
4,3,1,2,p17,1,Node_1_813_3053_3650,3053,2868.706,1892.866,3649.551
4,3,1,2,p17,1,Node_1_851_3421_3650,3421,2200.306,1050.962,3345.376
4,3,1,2,p17,1,Node_1_853_2904_3650,2904,2726.026,1716.842,3648.379
4,3,1,2,p17,1,Node_1_889_1505_1825,1505,1119.921,601.968,1738.301
4,3,1,2,p17,1,Node_1_902_1731_1825,1731,1493.845,1036.068,1824.967
4,3,1,2,p17,1,Node_1_911_182_1825,182,764.609,-15.333,1600.733
4,3,1,2,p17,1,Node_1_917_322_1825,322,629.691,-39.242,1436.649
4,3,1,2,p17,1,Node_1_1015_3278_3650,3278,3250.465,2566.112,3649.994
4,3,1,2,p17,1,Node_1_1044_3253_3650,3253,3143.432,2400.806,3649.971
4,3,1,2,p17,1,Node_1_1097_1325_1825,1325,1346.845,705.373,1824.921
4,3,1,2,p17,1,Node_1_1116_2009_3650,2009,2801.614,1896.936,3649.952
4,3,1,2,p17,1,Node_1_1219_3485_3650,3485,3038.811,2244.482,3649.762
4,3,1,2,p17,1,Node_1_1220_2245_3650,2245,2516.770,1557.447,3552.097
4,3,1,2,p17,1,Node_1_1245_2365_3650,2365,1040.714,31.655,2216.801
4,3,1,2,p17,1,Node_1_1269_636_3650,636,1053.551,-44.438,2314.773
4,3,1,2,p17,1,Node_1_1279_2567_3650,2567,2957.537,2058.102,3649.972
4,3,2,2,p17,1,Node_1_14_888_3650,888,1654.035,471.029,3091.753
4,3,2,2,p17,1,Node_1_22_2218_3650,2218,1789.504,549.476,3156.426
4,3,2,2,p17,1,Node_1_31_3115_3650,3115,3220.727,2501.653,3649.834
4,3,2,2,p17,1,Node_1_40_2672_3650,2672,2298.162,1575.082,3065.620
4,3,2,2,p17,1,Node_1_90_133_1825,133,295.012,-44.957,956.948
4,3,2,2,p17,1,Node_1_117_477_3650,477,1040.560,290.382,1858.392
4,3,2,2,p17,1,Node_1_176_131_3650,131,294.246,-44.921,976.550
4,3,2,2,p17,1,Node_1_192_312_3650,312,1057.988,75.698,2271.624
4,3,2,2,p17,1,Node_1_259_465_1825,465,699.378,-42.085,1505.990
4,3,2,2,p17,1,Node_1_291_3093_3650,3093,3219.370,2618.855,3649.997
4,3,2,2,p17,1,Node_1_508_424_1825,424,385.794,-44.993,1077.879
4,3,2,2,p17,1,Node_1_572_2940_3650,2940,2615.616,1805.631,3648.512
4,3,2,2,p17,1,Node_1_657_1258_1825,1258,1509.097,1010.040,1824.989
4,3,2,2,p17,1,Node_1_666_1402_1825,1402,1138.812,479.100,1824.842
4,3,2,2,p17,1,Node_1_813_3053_3650,3053,2854.772,1858.448,3649.961
4,3,2,2,p17,1,Node_1_851_3421_3650,3421,2654.478,1622.531,3649.046
4,3,2,2,p17,1,Node_1_853_2904_3650,2904,2392.345,1257.667,3507.257
4,3,2,2,p17,1,Node_1_889_1505_1825,1505,1525.694,1076.428,1825.000
4,3,2,2,p17,1,Node_1_902_1731_1825,1731,1531.024,1141.775,1824.897
4,3,2,2,p17,1,Node_1_911_182_1825,182,311.421,-44.952,985.070
4,3,2,2,p17,1,Node_1_917_322_1825,322,565.205,32.852,1253.327
4,3,2,2,p17,1,Node_1_1015_3278_3650,3278,2520.730,1610.362,3465.058
4,3,2,2,p17,1,Node_1_1044_3253_3650,3253,3181.490,2514.113,3649.918
4,3,2,2,p17,1,Node_1_1097_1325_1825,1325,1394.844,812.538,1824.946
4,3,2,2,p17,1,Node_1_1116_2009_3650,2009,2628.206,1733.729,3649.530
