batch,rep,ali,sub,gene,run,nodeName,trueDate,nodeDate,lowCI,highCI
4,4,1,1,tat,1,Node_1_44_2421_3650,2421,2467.028,1224.339,3649.862
4,4,1,1,tat,1,Node_1_273_3294_3650,3294,2724.652,1583.374,3649.136
4,4,1,1,tat,1,Node_1_276_3244_3650,3244,2960.015,1945.476,3649.992
4,4,1,1,tat,1,Node_1_364_580_1825,580,1092.507,339.814,1825.000
4,4,1,1,tat,1,Node_1_421_1829_3650,1829,2229.910,1101.132,3633.541
4,4,1,1,tat,1,Node_1_435_349_3650,349,1006.944,-40.541,2631.907
4,4,1,1,tat,1,Node_1_521_1510_3650,1510,1917.950,428.269,3585.291
4,4,1,1,tat,1,Node_1_556_1195_3650,1195,1620.558,273.323,3143.447
4,4,1,1,tat,1,Node_1_568_2794_3650,2794,2090.908,786.271,3483.226
4,4,1,1,tat,1,Node_1_638_1122_3650,1122,843.831,-44.594,2537.157
4,4,1,1,tat,1,Node_1_658_1389_1825,1389,699.273,-38.693,1616.167
4,4,1,1,tat,1,Node_1_764_821_1825,821,592.181,-44.865,1566.866
4,4,1,1,tat,1,Node_1_789_450_3650,450,1080.543,34.572,2749.610
4,4,1,1,tat,1,Node_1_791_1449_1825,1449,1000.416,206.111,1824.929
4,4,1,1,tat,1,Node_1_793_698_3650,698,1298.180,-27.414,3031.258
4,4,1,1,tat,1,Node_1_866_3170_3650,3170,2672.782,1555.121,3649.489
4,4,1,1,tat,1,Node_1_896_2907_3650,2907,2127.159,932.703,3620.507
4,4,1,1,tat,1,Node_1_912_1715_3650,1715,2335.551,1351.892,3582.336
4,4,1,1,tat,1,Node_1_916_2638_3650,2638,2974.163,2101.712,3649.807
4,4,1,1,tat,1,Node_1_975_1653_1825,1653,1463.704,921.830,1824.955
4,4,1,1,tat,1,Node_1_1031_555_3650,555,2055.616,623.715,3648.602
4,4,1,1,tat,1,Node_1_1056_2686_3650,2686,2364.292,1345.256,3616.727
4,4,1,1,tat,1,Node_1_1146_571_3650,571,1262.963,-27.074,2900.700
4,4,1,1,tat,1,Node_1_1148_1433_1825,1433,1358.495,743.778,1824.903
4,4,1,1,tat,1,Node_1_1159_2495_3650,2495,2534.314,1142.580,3649.990
4,4,1,1,tat,1,Node_1_1170_2098_3650,2098,951.525,-44.408,2609.454
4,4,1,1,tat,1,Node_1_1184_1394_1825,1394,1319.852,680.303,1824.959
4,4,1,1,tat,1,Node_1_1213_1590_1825,1590,1245.132,469.842,1824.925
4,4,1,1,tat,1,Node_1_1223_43_1825,43,607.074,-44.929,1571.345
4,4,1,1,tat,1,Node_1_1242_11_1825,11,1170.764,521.282,1824.841
4,4,2,1,tat,1,Node_1_44_2421_3650,2421,2350.267,926.183,3649.972
4,4,2,1,tat,1,Node_1_273_3294_3650,3294,2447.946,1202.560,3642.955
4,4,2,1,tat,1,Node_1_276_3244_3650,3244,2806.794,1637.420,3649.870
4,4,2,1,tat,1,Node_1_364_580_1825,580,1104.263,251.576,1824.886
4,4,2,1,tat,1,Node_1_421_1829_3650,1829,1606.813,154.361,3302.203
