batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
12,2,1,1,C1V2,Node_1_112_514_3650,514,447.778,251.722,606.139
12,2,1,1,C1V2,Node_1_242_579_3650,579,462.549,56.1277,730.802
12,2,1,1,C1V2,Node_1_243_2905_3650,2905,3404.29,2764.72,3650
12,2,1,1,C1V2,Node_1_321_149_3650,149,102.591,-45,269.507
12,2,1,1,C1V2,Node_1_326_672_3650,672,784.635,451.543,1079.13
12,2,1,1,C1V2,Node_1_337_2322_3650,2322,2763.22,2341.36,3350.89
12,2,1,1,C1V2,Node_1_405_903_3650,903,782.845,479.874,1089.34
12,2,1,1,C1V2,Node_1_449_1319_3650,1319,661.421,325.276,1041.43
12,2,1,1,C1V2,Node_1_455_611_3650,611,578.52,434.707,751.93
12,2,1,1,C1V2,Node_1_493_2418_3650,2418,1953.5,1468.37,2453.4
12,2,1,1,C1V2,Node_1_521_3128_3650,3128,3253.36,2860.6,3628.54
12,2,1,1,C1V2,Node_1_540_1991_3650,1991,1858.47,1332.27,2385.24
12,2,1,1,C1V2,Node_1_611_2354_3650,2354,2000.27,1523.08,2577.53
12,2,1,1,C1V2,Node_1_668_2321_3650,2321,2292.83,2020.75,2616.1
12,2,1,1,C1V2,Node_1_724_903_3650,903,675.68,468.909,849.924
12,2,1,1,C1V2,Node_1_837_1353_3650,1353,2338.47,1844.48,2773.72
12,2,1,1,C1V2,Node_1_907_3072_3650,3072,2334.25,1924.44,2878.22
12,2,1,1,C1V2,Node_1_1001_2478_3650,2478,3206.17,2671.46,3650
12,2,1,1,C1V2,Node_1_1057_397_3650,397,333.853,38.5374,565.37
12,2,1,1,C1V2,Node_1_1093_3039_3650,3039,2880.56,2371.31,3471.06
12,2,2,1,C1V2,Node_1_112_514_3650,514,595.734,430.776,799.295
12,2,2,1,C1V2,Node_1_242_579_3650,579,362.087,155.501,561.58
12,2,2,1,C1V2,Node_1_243_2905_3650,2905,2733.38,2261.23,3471.75
12,2,2,1,C1V2,Node_1_321_149_3650,149,112.247,-45,307.41
12,2,2,1,C1V2,Node_1_326_672_3650,672,539.226,273.403,921.79
12,2,2,1,C1V2,Node_1_337_2322_3650,2322,2128.62,1538.73,2621.22
12,2,2,1,C1V2,Node_1_405_903_3650,903,1135.98,864.863,1385.48
12,2,2,1,C1V2,Node_1_449_1319_3650,1319,917.669,616.555,1324.73
12,2,2,1,C1V2,Node_1_455_611_3650,611,795.188,634.373,880.685
12,2,2,1,C1V2,Node_1_493_2418_3650,2418,2395.94,1985.69,2800.24
12,2,2,1,C1V2,Node_1_521_3128_3650,3128,2961,2633.28,3250.99
12,2,2,1,C1V2,Node_1_540_1991_3650,1991,2078.29,1453.44,2623.33
12,2,2,1,C1V2,Node_1_611_2354_3650,2354,1941.35,1426.75,2494.31
12,2,2,1,C1V2,Node_1_668_2321_3650,2321,2358.38,2034.9,2678.69
12,2,2,1,C1V2,Node_1_724_903_3650,903,817.114,601.68,1038.31
12,2,2,1,C1V2,Node_1_837_1353_3650,1353,1115.89,746.068,1517.72
12,2,2,1,C1V2,Node_1_907_3072_3650,3072,2249.01,1605.95,2937.89
12,2,2,1,C1V2,Node_1_1001_2478_3650,2478,3332.16,2657.06,3650
12,2,2,1,C1V2,Node_1_1057_397_3650,397,241.368,36.2345,405.664
12,2,2,1,C1V2,Node_1_1093_3039_3650,3039,3202.36,2643.86,3650
12,2,3,1,C1V2,Node_1_112_514_3650,514,516.649,340.114,714.714
12,2,3,1,C1V2,Node_1_242_579_3650,579,779.924,476.148,1018.74
12,2,3,1,C1V2,Node_1_243_2905_3650,2905,2361.11,1880.82,2827.07
12,2,3,1,C1V2,Node_1_321_149_3650,149,323.236,136.706,539.72
12,2,3,1,C1V2,Node_1_326_672_3650,672,614.914,335.072,885.649
12,2,3,1,C1V2,Node_1_337_2322_3650,2322,2406.26,1958.21,2992.46
12,2,3,1,C1V2,Node_1_405_903_3650,903,797.988,545.887,986.908
12,2,3,1,C1V2,Node_1_449_1319_3650,1319,1543.39,1122.95,1953.46
12,2,3,1,C1V2,Node_1_455_611_3650,611,634.394,521.796,730
12,2,3,1,C1V2,Node_1_493_2418_3650,2418,2055.42,1619.53,2451.31
12,2,3,1,C1V2,Node_1_521_3128_3650,3128,3051.75,2799.02,3285.76
12,2,3,1,C1V2,Node_1_540_1991_3650,1991,2141.74,1739.82,2747.95
12,2,3,1,C1V2,Node_1_611_2354_3650,2354,2173.23,1784.62,2604.96
12,2,3,1,C1V2,Node_1_668_2321_3650,2321,2571.48,2379.53,2790.89
12,2,3,1,C1V2,Node_1_724_903_3650,903,1033.31,918.709,1247.65
12,2,3,1,C1V2,Node_1_837_1353_3650,1353,1467.78,1029.04,1897
12,2,3,1,C1V2,Node_1_907_3072_3650,3072,3025.88,2489.49,3619.31
12,2,3,1,C1V2,Node_1_1001_2478_3650,2478,2537.23,2085.13,3092.45
12,2,3,1,C1V2,Node_1_1057_397_3650,397,285.711,89.8183,421.891
12,2,3,1,C1V2,Node_1_1093_3039_3650,3039,2930.62,2373.12,3548.86
12,2,4,1,C1V2,Node_1_112_514_3650,514,297.787,86.4657,541.109
12,2,4,1,C1V2,Node_1_242_579_3650,579,255.088,80.468,540.995
12,2,4,1,C1V2,Node_1_243_2905_3650,2905,2450.67,1989.48,3072.51
12,2,4,1,C1V2,Node_1_321_149_3650,149,-25.0019,-45,91.6309
12,2,4,1,C1V2,Node_1_326_672_3650,672,457.898,262.525,775.37
12,2,4,1,C1V2,Node_1_337_2322_3650,2322,2803.31,2288.88,3490.89
12,2,4,1,C1V2,Node_1_405_903_3650,903,907.833,643.742,1173.4
12,2,4,1,C1V2,Node_1_449_1319_3650,1319,1491.19,1100.87,2116.5
12,2,4,1,C1V2,Node_1_455_611_3650,611,614.235,450.271,730
12,2,4,1,C1V2,Node_1_493_2418_3650,2418,2402.96,1911.41,2931.45
12,2,4,1,C1V2,Node_1_521_3128_3650,3128,2706.5,2349.54,3100.02
12,2,4,1,C1V2,Node_1_540_1991_3650,1991,1611.2,1229.03,2069.94
12,2,4,1,C1V2,Node_1_611_2354_3650,2354,2628.6,2164.87,3254.74
12,2,4,1,C1V2,Node_1_668_2321_3650,2321,2183.31,1958.35,2417.41
12,2,4,1,C1V2,Node_1_724_903_3650,903,741.753,549.683,886.786
12,2,4,1,C1V2,Node_1_837_1353_3650,1353,1865.17,1393.08,2358.5
12,2,4,1,C1V2,Node_1_907_3072_3650,3072,3343.94,2821.38,3650
12,2,4,1,C1V2,Node_1_1001_2478_3650,2478,2610.59,2096.16,3169.96
12,2,4,1,C1V2,Node_1_1057_397_3650,397,114.212,-45,323.684
12,2,4,1,C1V2,Node_1_1093_3039_3650,3039,2759,2231.9,3342.21
12,2,5,1,C1V2,Node_1_112_514_3650,514,634.376,428.895,861.864
12,2,5,1,C1V2,Node_1_242_579_3650,579,865.83,503.334,1270.53
12,2,5,1,C1V2,Node_1_243_2905_3650,2905,3148.59,2473.93,3650
12,2,5,1,C1V2,Node_1_321_149_3650,149,132.026,-17.0216,259.982
12,2,5,1,C1V2,Node_1_326_672_3650,672,628.965,362.498,880.153
12,2,5,1,C1V2,Node_1_337_2322_3650,2322,2433.42,1866.08,2976.31
12,2,5,1,C1V2,Node_1_405_903_3650,903,823.912,512.767,1150.81
12,2,5,1,C1V2,Node_1_449_1319_3650,1319,2238.18,1722.82,2896.08
12,2,5,1,C1V2,Node_1_455_611_3650,611,772.606,605.945,830.532
12,2,5,1,C1V2,Node_1_493_2418_3650,2418,2197.52,1689.74,2679.97
12,2,5,1,C1V2,Node_1_521_3128_3650,3128,2974.41,2749,3271.08
12,2,5,1,C1V2,Node_1_540_1991_3650,1991,2196.5,1694.74,2866.15
12,2,5,1,C1V2,Node_1_611_2354_3650,2354,1951.09,1478.79,2486.06
12,2,5,1,C1V2,Node_1_668_2321_3650,2321,2050.35,1653.37,2530.05
12,2,5,1,C1V2,Node_1_724_903_3650,903,820.596,623.974,980.931
12,2,5,1,C1V2,Node_1_837_1353_3650,1353,2021.94,1611.52,2511.39
12,2,5,1,C1V2,Node_1_907_3072_3650,3072,3650,2807.58,3650
12,2,5,1,C1V2,Node_1_1001_2478_3650,2478,2523.77,1947.74,3179.62
12,2,5,1,C1V2,Node_1_1057_397_3650,397,272.728,93.2732,521.784
12,2,5,1,C1V2,Node_1_1093_3039_3650,3039,3070.94,2424.37,3650
12,2,6,1,C1V2,Node_1_112_514_3650,514,556.071,423.099,754.863
12,2,6,1,C1V2,Node_1_242_579_3650,579,704.516,450.584,921.858
12,2,6,1,C1V2,Node_1_243_2905_3650,2905,2994.95,2437.71,3447.85
12,2,6,1,C1V2,Node_1_321_149_3650,149,94.6482,-7.24442,169.695
12,2,6,1,C1V2,Node_1_326_672_3650,672,490.754,272.211,703.327
12,2,6,1,C1V2,Node_1_337_2322_3650,2322,2621.62,2110.83,3098.75
12,2,6,1,C1V2,Node_1_405_903_3650,903,766.243,511.081,1024.23
12,2,6,1,C1V2,Node_1_449_1319_3650,1319,1582.66,1028.27,1943.01
12,2,6,1,C1V2,Node_1_455_611_3650,611,494.772,363.01,627.21
12,2,6,1,C1V2,Node_1_493_2418_3650,2418,2363.58,1979.04,2740.15
12,2,6,1,C1V2,Node_1_521_3128_3650,3128,3272.33,2994.52,3643.54
12,2,6,1,C1V2,Node_1_540_1991_3650,1991,2399.91,1954.91,2891.4
12,2,6,1,C1V2,Node_1_611_2354_3650,2354,2366.02,1922.03,2836.4
12,2,6,1,C1V2,Node_1_668_2321_3650,2321,2196.53,1908.18,2529.99
12,2,6,1,C1V2,Node_1_724_903_3650,903,919.716,767.62,1104.53
12,2,6,1,C1V2,Node_1_837_1353_3650,1353,1830.96,1435.16,2223.97
12,2,6,1,C1V2,Node_1_907_3072_3650,3072,3072.1,2672.59,3551.11
12,2,6,1,C1V2,Node_1_1001_2478_3650,2478,2858.19,2306.9,3292.69
12,2,6,1,C1V2,Node_1_1057_397_3650,397,483.143,260.301,666.741
12,2,6,1,C1V2,Node_1_1093_3039_3650,3039,3552.93,2978.11,3650
12,2,7,1,C1V2,Node_1_112_514_3650,514,478.238,246.466,649.468
12,2,7,1,C1V2,Node_1_242_579_3650,579,316.915,74.5543,608.138
12,2,7,1,C1V2,Node_1_243_2905_3650,2905,2931.66,2368.04,3638.1
12,2,7,1,C1V2,Node_1_321_149_3650,149,-45,-45,56.6277
12,2,7,1,C1V2,Node_1_326_672_3650,672,501.077,198.605,772.752
12,2,7,1,C1V2,Node_1_337_2322_3650,2322,2287.21,1728.84,2772.35
12,2,7,1,C1V2,Node_1_405_903_3650,903,843.41,607.021,1139.74
12,2,7,1,C1V2,Node_1_449_1319_3650,1319,1597.65,1196.84,2074.77
12,2,7,1,C1V2,Node_1_455_611_3650,611,518.026,383.799,727.241
12,2,7,1,C1V2,Node_1_493_2418_3650,2418,2017.19,1442.64,2721.96
12,2,7,1,C1V2,Node_1_521_3128_3650,3128,3190.51,2955.09,3477.84
12,2,7,1,C1V2,Node_1_540_1991_3650,1991,2186.51,1710.35,2844.34
12,2,7,1,C1V2,Node_1_611_2354_3650,2354,2558.65,2096.7,3127.85
12,2,7,1,C1V2,Node_1_668_2321_3650,2321,2508.03,2185.47,2813.55
12,2,7,1,C1V2,Node_1_724_903_3650,903,783.672,563.962,1024.66
12,2,7,1,C1V2,Node_1_837_1353_3650,1353,1401.52,1026.17,1832.29
12,2,7,1,C1V2,Node_1_907_3072_3650,3072,3139.11,2472.35,3650
12,2,7,1,C1V2,Node_1_1001_2478_3650,2478,2534.88,2042.29,3074.18
12,2,7,1,C1V2,Node_1_1057_397_3650,397,213.03,-19.6369,434.106
12,2,7,1,C1V2,Node_1_1093_3039_3650,3039,3548.1,2988.8,3650
12,2,8,1,C1V2,Node_1_112_514_3650,514,259.462,148.498,409.333
12,2,8,1,C1V2,Node_1_242_579_3650,579,583.508,315.368,829.349
12,2,8,1,C1V2,Node_1_243_2905_3650,2905,2854.36,2227.19,3468.99
12,2,8,1,C1V2,Node_1_321_149_3650,149,171.487,-24.9494,376.125
12,2,8,1,C1V2,Node_1_326_672_3650,672,1136.03,831.356,1632.72
12,2,8,1,C1V2,Node_1_337_2322_3650,2322,1714.59,1224.97,2167.06
12,2,8,1,C1V2,Node_1_405_903_3650,903,1276.48,977.23,1510.72
12,2,8,1,C1V2,Node_1_449_1319_3650,1319,1255.41,857.415,1661.19
12,2,8,1,C1V2,Node_1_455_611_3650,611,604.656,483.079,684.595
12,2,8,1,C1V2,Node_1_493_2418_3650,2418,1598.67,1180.76,1956.83
12,2,8,1,C1V2,Node_1_521_3128_3650,3128,3313.35,2915.6,3629.26
12,2,8,1,C1V2,Node_1_540_1991_3650,1991,2551.91,1956.11,3121.73
12,2,8,1,C1V2,Node_1_611_2354_3650,2354,2453.61,1851.91,2985.7
12,2,8,1,C1V2,Node_1_668_2321_3650,2321,1845.81,1476.35,2131.49
12,2,8,1,C1V2,Node_1_724_903_3650,903,895.882,709.09,1087.3
12,2,8,1,C1V2,Node_1_837_1353_3650,1353,1402.15,993.211,1751.11
12,2,8,1,C1V2,Node_1_907_3072_3650,3072,2137.21,1702.85,2700.74
12,2,8,1,C1V2,Node_1_1001_2478_3650,2478,1922.94,1388.98,2514.38
12,2,8,1,C1V2,Node_1_1057_397_3650,397,389.199,84.3412,685.42
12,2,8,1,C1V2,Node_1_1093_3039_3650,3039,2688.5,2221.05,3301.68
12,2,9,1,C1V2,Node_1_112_514_3650,514,358.897,209.07,516.252
12,2,9,1,C1V2,Node_1_242_579_3650,579,717.017,488.346,1013.39
12,2,9,1,C1V2,Node_1_243_2905_3650,2905,2722.53,2289.23,3331.17
12,2,9,1,C1V2,Node_1_321_149_3650,149,162.141,10.8453,354.882
12,2,9,1,C1V2,Node_1_326_672_3650,672,605.551,380.323,896.259
12,2,9,1,C1V2,Node_1_337_2322_3650,2322,2726.41,2148.88,3245.17
12,2,9,1,C1V2,Node_1_405_903_3650,903,749.272,462.825,1004.25
12,2,9,1,C1V2,Node_1_449_1319_3650,1319,1034.56,689.395,1319.98
12,2,9,1,C1V2,Node_1_455_611_3650,611,595.155,438.299,743.274
12,2,9,1,C1V2,Node_1_493_2418_3650,2418,1958.65,1549.62,2436.05
12,2,9,1,C1V2,Node_1_521_3128_3650,3128,2829.31,2567.99,3149.98
12,2,9,1,C1V2,Node_1_540_1991_3650,1991,1722.41,1225.61,2013.4
12,2,9,1,C1V2,Node_1_611_2354_3650,2354,2546.28,1938.39,3141.09
12,2,9,1,C1V2,Node_1_668_2321_3650,2321,2190.13,1938.26,2437.93
12,2,9,1,C1V2,Node_1_724_903_3650,903,1008.02,873.723,1121.56
12,2,9,1,C1V2,Node_1_837_1353_3650,1353,1515.11,1166.44,1905.67
12,2,9,1,C1V2,Node_1_907_3072_3650,3072,2990.89,2471.06,3463.27
12,2,9,1,C1V2,Node_1_1001_2478_3650,2478,2443.16,1871.67,2914.51
12,2,9,1,C1V2,Node_1_1057_397_3650,397,229.084,29.42,465.281
12,2,9,1,C1V2,Node_1_1093_3039_3650,3039,3340.21,2780.59,3650
12,2,10,1,C1V2,Node_1_112_514_3650,514,651.72,412.862,952.887
12,2,10,1,C1V2,Node_1_242_579_3650,579,469.729,187.974,664.607
12,2,10,1,C1V2,Node_1_243_2905_3650,2905,3444.36,2776.38,3650
12,2,10,1,C1V2,Node_1_321_149_3650,149,176.96,25.3376,357.268
12,2,10,1,C1V2,Node_1_326_672_3650,672,307.17,61.8847,573.073
12,2,10,1,C1V2,Node_1_337_2322_3650,2322,2200.87,1650.39,2855.11
12,2,10,1,C1V2,Node_1_405_903_3650,903,923.201,580.154,1171.1
12,2,10,1,C1V2,Node_1_449_1319_3650,1319,1876.87,1345.75,2362.92
12,2,10,1,C1V2,Node_1_455_611_3650,611,629.818,474.651,730
12,2,10,1,C1V2,Node_1_493_2418_3650,2418,1782.08,1307.41,2260.19
12,2,10,1,C1V2,Node_1_521_3128_3650,3128,2939.24,2621.06,3245.51
12,2,10,1,C1V2,Node_1_540_1991_3650,1991,2528.17,1972.95,3143.82
12,2,10,1,C1V2,Node_1_611_2354_3650,2354,2259.82,1737.85,2810.9
12,2,10,1,C1V2,Node_1_668_2321_3650,2321,2160.31,1757.45,2466.64
12,2,10,1,C1V2,Node_1_724_903_3650,903,970.113,775.81,1161.42
12,2,10,1,C1V2,Node_1_837_1353_3650,1353,1510.55,1108.09,1971.71
12,2,10,1,C1V2,Node_1_907_3072_3650,3072,2334.37,1773.41,2814.31
12,2,10,1,C1V2,Node_1_1001_2478_3650,2478,1997.92,1506.37,2523.91
12,2,10,1,C1V2,Node_1_1057_397_3650,397,434.135,169.92,704.577
12,2,10,1,C1V2,Node_1_1093_3039_3650,3039,2431.32,1875.59,3015.51
12,2,11,1,C1V2,Node_1_112_514_3650,514,342.481,170.032,484.164
12,2,11,1,C1V2,Node_1_242_579_3650,579,767.496,431.99,1070.73
12,2,11,1,C1V2,Node_1_243_2905_3650,2905,2599.57,2134.58,3173.87
12,2,11,1,C1V2,Node_1_321_149_3650,149,34.3725,-45,133.378
12,2,11,1,C1V2,Node_1_326_672_3650,672,389.233,114.19,557.064
12,2,11,1,C1V2,Node_1_337_2322_3650,2322,2016.3,1706.44,2424.66
12,2,11,1,C1V2,Node_1_405_903_3650,903,785.887,484.611,1059.9
12,2,11,1,C1V2,Node_1_449_1319_3650,1319,970.128,646.794,1380.38
12,2,11,1,C1V2,Node_1_455_611_3650,611,726.856,583.76,730
12,2,11,1,C1V2,Node_1_493_2418_3650,2418,1648.07,1148.08,2139.51
12,2,11,1,C1V2,Node_1_521_3128_3650,3128,2939.22,2605.21,3143.94
12,2,11,1,C1V2,Node_1_540_1991_3650,1991,1603.89,1304.66,2083.28
12,2,11,1,C1V2,Node_1_611_2354_3650,2354,2042.59,1600.86,2465.36
12,2,11,1,C1V2,Node_1_668_2321_3650,2321,2302.02,2056.4,2594.27
12,2,11,1,C1V2,Node_1_724_903_3650,903,879.96,740.977,1037.31
12,2,11,1,C1V2,Node_1_837_1353_3650,1353,1529,1156.97,1932.73
12,2,11,1,C1V2,Node_1_907_3072_3650,3072,2858.52,2332.77,3360.98
12,2,11,1,C1V2,Node_1_1001_2478_3650,2478,2362.98,1848.7,3032.89
12,2,11,1,C1V2,Node_1_1057_397_3650,397,301.71,113.522,563.577
12,2,11,1,C1V2,Node_1_1093_3039_3650,3039,2758.48,2293.68,3282.9
12,2,12,1,C1V2,Node_1_112_514_3650,514,481.348,308.962,698.437
12,2,12,1,C1V2,Node_1_242_579_3650,579,402.834,171.024,650.401
12,2,12,1,C1V2,Node_1_243_2905_3650,2905,3232.33,2728.53,3650
12,2,12,1,C1V2,Node_1_321_149_3650,149,231.629,39.0966,386.867
12,2,12,1,C1V2,Node_1_326_672_3650,672,544.594,331.445,808.786
12,2,12,1,C1V2,Node_1_337_2322_3650,2322,2101.34,1700.4,2753.03
12,2,12,1,C1V2,Node_1_405_903_3650,903,965.313,635.762,1152.36
12,2,12,1,C1V2,Node_1_449_1319_3650,1319,1299.17,959.843,1725.8
12,2,12,1,C1V2,Node_1_455_611_3650,611,549.733,414.582,700.297
12,2,12,1,C1V2,Node_1_493_2418_3650,2418,1351.32,1052.49,1809.49
12,2,12,1,C1V2,Node_1_521_3128_3650,3128,3218,2932.23,3441.88
12,2,12,1,C1V2,Node_1_540_1991_3650,1991,1935.26,1528.4,2312.77
12,2,12,1,C1V2,Node_1_611_2354_3650,2354,2809.25,2328.54,3413.83
12,2,12,1,C1V2,Node_1_668_2321_3650,2321,2808.34,2498.04,3064.94
12,2,12,1,C1V2,Node_1_724_903_3650,903,774.683,621.764,934.548
12,2,12,1,C1V2,Node_1_837_1353_3650,1353,1262.49,933.545,1672.26
12,2,12,1,C1V2,Node_1_907_3072_3650,3072,3226.6,2780.26,3650
12,2,12,1,C1V2,Node_1_1001_2478_3650,2478,2606.22,2201.14,3338.78
12,2,12,1,C1V2,Node_1_1057_397_3650,397,114.494,-45,250.906
12,2,12,1,C1V2,Node_1_1093_3039_3650,3039,3650,3008.37,3650
12,2,13,1,C1V2,Node_1_112_514_3650,514,328.497,167.444,495.093
12,2,13,1,C1V2,Node_1_242_579_3650,579,406.972,190.769,626.112
12,2,13,1,C1V2,Node_1_243_2905_3650,2905,2853.56,2317.62,3388.49
12,2,13,1,C1V2,Node_1_321_149_3650,149,309.582,128.189,484.995
12,2,13,1,C1V2,Node_1_326_672_3650,672,661.863,434.48,945.004
12,2,13,1,C1V2,Node_1_337_2322_3650,2322,1772.98,1376.53,2127.52
12,2,13,1,C1V2,Node_1_405_903_3650,903,1091.8,784.147,1367.2
12,2,13,1,C1V2,Node_1_449_1319_3650,1319,1515.8,1168.22,1955.23
12,2,13,1,C1V2,Node_1_455_611_3650,611,547.134,385.773,682.431
12,2,13,1,C1V2,Node_1_493_2418_3650,2418,1818.08,1388.19,2245.79
12,2,13,1,C1V2,Node_1_521_3128_3650,3128,3488.02,3204.97,3650
12,2,13,1,C1V2,Node_1_540_1991_3650,1991,1703.66,1081.75,2148.08
12,2,13,1,C1V2,Node_1_611_2354_3650,2354,1500,1141.96,1993.92
12,2,13,1,C1V2,Node_1_668_2321_3650,2321,2278.87,1913.18,2585.03
12,2,13,1,C1V2,Node_1_724_903_3650,903,820.046,634.028,980.426
12,2,13,1,C1V2,Node_1_837_1353_3650,1353,1578.61,1185.7,1928.41
12,2,13,1,C1V2,Node_1_907_3072_3650,3072,3650,3036.2,3650
12,2,13,1,C1V2,Node_1_1001_2478_3650,2478,2636.85,2080.04,3213.26
12,2,13,1,C1V2,Node_1_1057_397_3650,397,359.705,157.939,664.43
12,2,13,1,C1V2,Node_1_1093_3039_3650,3039,3262.18,2690.67,3650
12,2,14,1,C1V2,Node_1_112_514_3650,514,553.88,394.546,767.771
12,2,14,1,C1V2,Node_1_242_579_3650,579,728.682,395.578,980.552
12,2,14,1,C1V2,Node_1_243_2905_3650,2905,3150.74,2596.38,3650
12,2,14,1,C1V2,Node_1_321_149_3650,149,21.1817,-45,130.19
12,2,14,1,C1V2,Node_1_326_672_3650,672,446.563,205.507,702.875
12,2,14,1,C1V2,Node_1_337_2322_3650,2322,2703.68,2078.91,3257.64
12,2,14,1,C1V2,Node_1_405_903_3650,903,906.061,640.463,1272.21
12,2,14,1,C1V2,Node_1_449_1319_3650,1319,1656.45,1224.2,2184.29
12,2,14,1,C1V2,Node_1_455_611_3650,611,569.156,439.718,726.724
12,2,14,1,C1V2,Node_1_493_2418_3650,2418,1714.35,1247.12,2168.64
12,2,14,1,C1V2,Node_1_521_3128_3650,3128,3650,3390.62,3650
12,2,14,1,C1V2,Node_1_540_1991_3650,1991,1880.71,1405.14,2285.44
12,2,14,1,C1V2,Node_1_611_2354_3650,2354,2708.51,2094.38,3223.02
12,2,14,1,C1V2,Node_1_668_2321_3650,2321,2169.75,1884.25,2474.77
12,2,14,1,C1V2,Node_1_724_903_3650,903,801.973,625.318,927.936
12,2,14,1,C1V2,Node_1_837_1353_3650,1353,905.762,683.331,1249.19
12,2,14,1,C1V2,Node_1_907_3072_3650,3072,2881.89,2235.14,3483.33
12,2,14,1,C1V2,Node_1_1001_2478_3650,2478,1812.25,1390.88,2297.77
12,2,14,1,C1V2,Node_1_1057_397_3650,397,358.286,79.8328,535.757
12,2,14,1,C1V2,Node_1_1093_3039_3650,3039,2952.44,2148.51,3609.85
12,2,15,1,C1V2,Node_1_112_514_3650,514,402.226,212.254,580.441
12,2,15,1,C1V2,Node_1_242_579_3650,579,436.073,152.016,670.629
12,2,15,1,C1V2,Node_1_243_2905_3650,2905,3382.14,2699.1,3650
12,2,15,1,C1V2,Node_1_321_149_3650,149,172.206,-43.1237,442.201
12,2,15,1,C1V2,Node_1_326_672_3650,672,636.466,335.536,950.846
12,2,15,1,C1V2,Node_1_337_2322_3650,2322,2058.49,1589.17,2479.24
12,2,15,1,C1V2,Node_1_405_903_3650,903,1094.61,837.921,1360.73
12,2,15,1,C1V2,Node_1_449_1319_3650,1319,1694.57,1229.79,2200.36
12,2,15,1,C1V2,Node_1_455_611_3650,611,671.765,551.73,730
12,2,15,1,C1V2,Node_1_493_2418_3650,2418,2112.76,1542.81,2612.57
12,2,15,1,C1V2,Node_1_521_3128_3650,3128,3088.81,2785.73,3425.49
12,2,15,1,C1V2,Node_1_540_1991_3650,1991,2171.67,1696.7,2774.88
12,2,15,1,C1V2,Node_1_611_2354_3650,2354,2509.98,2030.98,3030.53
12,2,15,1,C1V2,Node_1_668_2321_3650,2321,2134.34,1701.23,2441.75
12,2,15,1,C1V2,Node_1_724_903_3650,903,826.086,532.168,992.285
12,2,15,1,C1V2,Node_1_837_1353_3650,1353,1631.86,1195.61,2108.08
12,2,15,1,C1V2,Node_1_907_3072_3650,3072,3294.65,2732.88,3650
12,2,15,1,C1V2,Node_1_1001_2478_3650,2478,2506.58,1919.88,3060.48
12,2,15,1,C1V2,Node_1_1057_397_3650,397,457.623,208.51,772.94
12,2,15,1,C1V2,Node_1_1093_3039_3650,3039,3018.53,2302.99,3634.19
12,2,16,1,C1V2,Node_1_112_514_3650,514,567.8,385.906,753.446
12,2,16,1,C1V2,Node_1_242_579_3650,579,377.507,90.9081,607.362
12,2,16,1,C1V2,Node_1_243_2905_3650,2905,3288.17,2675.02,3650
12,2,16,1,C1V2,Node_1_321_149_3650,149,124.308,-45,386.876
12,2,16,1,C1V2,Node_1_326_672_3650,672,444.161,184.972,681.977
12,2,16,1,C1V2,Node_1_337_2322_3650,2322,2938.66,2084.83,3417.48
12,2,16,1,C1V2,Node_1_405_903_3650,903,944.434,584.34,1282.71
12,2,16,1,C1V2,Node_1_449_1319_3650,1319,1109.33,694.112,1524.01
12,2,16,1,C1V2,Node_1_455_611_3650,611,445.479,244.68,639.013
12,2,16,1,C1V2,Node_1_493_2418_3650,2418,1385.74,901.751,1740.59
12,2,16,1,C1V2,Node_1_521_3128_3650,3128,3013.48,2755.38,3355.15
12,2,16,1,C1V2,Node_1_540_1991_3650,1991,1855.99,1365.86,2351.34
12,2,16,1,C1V2,Node_1_611_2354_3650,2354,2093.53,1528.29,2665.86
12,2,16,1,C1V2,Node_1_668_2321_3650,2321,2492.98,2212.27,2792.1
12,2,16,1,C1V2,Node_1_724_903_3650,903,906.494,737.981,1123.2
12,2,16,1,C1V2,Node_1_837_1353_3650,1353,1489.21,921.058,1936.12
12,2,16,1,C1V2,Node_1_907_3072_3650,3072,3426.16,2801.05,3650
12,2,16,1,C1V2,Node_1_1001_2478_3650,2478,2392.46,1708.01,2870.5
12,2,16,1,C1V2,Node_1_1057_397_3650,397,354.509,145.304,640.103
12,2,16,1,C1V2,Node_1_1093_3039_3650,3039,2974.26,2294.27,3550.65
12,2,17,1,C1V2,Node_1_112_514_3650,514,530.327,334.819,777.281
12,2,17,1,C1V2,Node_1_242_579_3650,579,641.728,335.684,834.051
12,2,17,1,C1V2,Node_1_243_2905_3650,2905,2818.93,2214.09,3408.68
12,2,17,1,C1V2,Node_1_321_149_3650,149,-29.2792,-45,16.0672
12,2,17,1,C1V2,Node_1_326_672_3650,672,413.877,177.585,789.2
12,2,17,1,C1V2,Node_1_337_2322_3650,2322,3050.21,2312.33,3577.17
12,2,17,1,C1V2,Node_1_405_903_3650,903,864.336,559.83,1191.32
12,2,17,1,C1V2,Node_1_449_1319_3650,1319,1078.13,658.917,1418.68
