batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
15,5,1,2,tat,Node_1_19_344_3650,344,515.679,-36.2444,1373.9
15,5,1,2,tat,Node_1_98_408_3650,408,-45,-45,853.125
15,5,1,2,tat,Node_1_124_1321_3650,1321,2738.51,476.818,3650
15,5,1,2,tat,Node_1_136_2222_3650,2222,3650,1029.25,3650
15,5,1,2,tat,Node_1_148_147_3650,147,648.444,197.36,730
15,5,1,2,tat,Node_1_206_987_3650,987,566.769,-45,730
15,5,1,2,tat,Node_1_307_2462_3650,2462,2561.14,1423.63,3285
15,5,1,2,tat,Node_1_435_802_3650,802,365.12,-45,365.12
15,5,1,2,tat,Node_1_507_1616_3650,1616,1390.16,158.147,3583.51
15,5,1,2,tat,Node_1_519_3236_3650,3236,3650,300.122,3650
15,5,1,2,tat,Node_1_544_3098_3650,3098,3650,1803.32,3650
15,5,1,2,tat,Node_1_599_303_3650,303,599.896,18.5633,1095
15,5,1,2,tat,Node_1_619_1890_3650,1890,1038.36,-45,2793.91
15,5,1,2,tat,Node_1_684_2923_3650,2923,3650,1068.94,3650
15,5,1,2,tat,Node_1_851_2919_3650,2919,3650,1550.41,3650
15,5,1,2,tat,Node_1_868_2000_3650,2000,144.145,-45,1072.32
15,5,1,2,tat,Node_1_888_1002_3650,1002,2253.7,768.941,3285
15,5,1,2,tat,Node_1_928_2696_3650,2696,3024.7,2179.18,3285
15,5,1,2,tat,Node_1_993_2216_3650,2216,2123.33,1103.48,2190
15,5,1,2,tat,Node_1_1062_326_3650,326,281.155,-45,1351.18
15,5,2,2,tat,Node_1_19_344_3650,344,1188.35,-45,2719.72
15,5,2,2,tat,Node_1_98_408_3650,408,634.2,-45,1095
15,5,2,2,tat,Node_1_124_1321_3650,1321,545.733,9.04846,730
15,5,2,2,tat,Node_1_136_2222_3650,2222,-45,-45,1368.83
15,5,2,2,tat,Node_1_148_147_3650,147,1372.96,578.319,1460
15,5,2,2,tat,Node_1_206_987_3650,987,173.401,-45,365
15,5,2,2,tat,Node_1_307_2462_3650,2462,2925.16,1837.85,3285
15,5,2,2,tat,Node_1_435_802_3650,802,173.269,-45,365
15,5,2,2,tat,Node_1_507_1616_3650,1616,3524.26,1136.38,3650
15,5,2,2,tat,Node_1_519_3236_3650,3236,3235.16,281.679,3650
15,5,2,2,tat,Node_1_544_3098_3650,3098,1460.13,772.363,1825
15,5,2,2,tat,Node_1_599_303_3650,303,1095.13,193.297,1460
15,5,2,2,tat,Node_1_619_1890_3650,1890,936.189,-45,3649.26
15,5,2,2,tat,Node_1_684_2923_3650,2923,3650,731.742,3650
15,5,2,2,tat,Node_1_851_2919_3650,2919,797.98,-45,3650
15,5,2,2,tat,Node_1_868_2000_3650,2000,222.848,-45,688.339
15,5,2,2,tat,Node_1_888_1002_3650,1002,1733.1,157.625,3090.54
15,5,2,2,tat,Node_1_928_2696_3650,2696,3043.03,985.863,3285
15,5,2,2,tat,Node_1_993_2216_3650,2216,2190.13,1198.97,2190.13
15,5,2,2,tat,Node_1_1062_326_3650,326,-45,-45,365
15,5,3,2,tat,Node_1_19_344_3650,344,-45,-45,543.388
15,5,3,2,tat,Node_1_98_408_3650,408,617.783,-45,2113.17
15,5,3,2,tat,Node_1_124_1321_3650,1321,616.508,-45,1844.42
15,5,3,2,tat,Node_1_136_2222_3650,2222,912.272,115.196,1460
15,5,3,2,tat,Node_1_148_147_3650,147,365.091,-45,365.091
15,5,3,2,tat,Node_1_206_987_3650,987,1615.95,905.168,1825
15,5,3,2,tat,Node_1_307_2462_3650,2462,2309.87,1618.79,2555
15,5,3,2,tat,Node_1_435_802_3650,802,448.151,-3.1083,1137.62
15,5,3,2,tat,Node_1_507_1616_3650,1616,3245.47,612.426,3650
15,5,3,2,tat,Node_1_519_3236_3650,3236,3650,1260.25,3650
15,5,3,2,tat,Node_1_544_3098_3650,3098,1313.38,652.748,1806.07
15,5,3,2,tat,Node_1_599_303_3650,303,531.212,54.6222,1298.81
15,5,3,2,tat,Node_1_619_1890_3650,1890,2475.44,775.288,3650
15,5,3,2,tat,Node_1_684_2923_3650,2923,3650,2122.3,3650
15,5,3,2,tat,Node_1_851_2919_3650,2919,1423.49,359.229,2672.6
15,5,3,2,tat,Node_1_868_2000_3650,2000,1494.07,461.147,3650
15,5,3,2,tat,Node_1_888_1002_3650,1002,1644.53,500.998,2708.77
15,5,3,2,tat,Node_1_928_2696_3650,2696,2759.75,2195.14,3285
15,5,3,2,tat,Node_1_993_2216_3650,2216,2524.64,1141.27,3650
15,5,3,2,tat,Node_1_1062_326_3650,326,730.091,100.995,730.091
15,5,4,2,tat,Node_1_19_344_3650,344,1735.6,-45,3650
15,5,4,2,tat,Node_1_98_408_3650,408,1063.26,300.689,1095
15,5,4,2,tat,Node_1_124_1321_3650,1321,1856.87,-45,3650
15,5,4,2,tat,Node_1_136_2222_3650,2222,1556.46,533.874,2705.01
15,5,4,2,tat,Node_1_148_147_3650,147,85.7236,-45,365
15,5,4,2,tat,Node_1_206_987_3650,987,1016.03,463.834,1095
15,5,4,2,tat,Node_1_307_2462_3650,2462,904.607,-42.5253,2458.9
15,5,4,2,tat,Node_1_435_802_3650,802,1848.6,365,3650
15,5,4,2,tat,Node_1_507_1616_3650,1616,1318.31,37.1811,2980.98
15,5,4,2,tat,Node_1_519_3236_3650,3236,2628.86,-23.3862,3650
15,5,4,2,tat,Node_1_544_3098_3650,3098,3650,2048.63,3650
15,5,4,2,tat,Node_1_599_303_3650,303,1385.29,-45,2618.49
15,5,4,2,tat,Node_1_619_1890_3650,1890,643.844,202.705,730
15,5,4,2,tat,Node_1_684_2923_3650,2923,3650,1419.29,3650
15,5,4,2,tat,Node_1_851_2919_3650,2919,3074.42,529.929,3650
15,5,4,2,tat,Node_1_868_2000_3650,2000,3045.03,634.151,3650
15,5,4,2,tat,Node_1_888_1002_3650,1002,806.046,-45,2031.2
15,5,4,2,tat,Node_1_928_2696_3650,2696,3285.11,2798.33,3285.11
15,5,4,2,tat,Node_1_993_2216_3650,2216,2190.11,1392.63,2190.11
15,5,4,2,tat,Node_1_1062_326_3650,326,219.78,-45,365
15,5,5,2,tat,Node_1_19_344_3650,344,1534.11,-45,3650
15,5,5,2,tat,Node_1_98_408_3650,408,103.091,-45,365
15,5,5,2,tat,Node_1_124_1321_3650,1321,1227.23,-45,3650
15,5,5,2,tat,Node_1_136_2222_3650,2222,2672.48,236.315,3650
15,5,5,2,tat,Node_1_148_147_3650,147,234.12,-45,365
15,5,5,2,tat,Node_1_206_987_3650,987,234.12,-45,365
15,5,5,2,tat,Node_1_307_2462_3650,2462,1386.49,-45,3650
15,5,5,2,tat,Node_1_435_802_3650,802,972.937,-45,3506.47
15,5,5,2,tat,Node_1_507_1616_3650,1616,3650,249.636,3650
15,5,5,2,tat,Node_1_519_3236_3650,3236,3650,827.997,3650
15,5,5,2,tat,Node_1_544_3098_3650,3098,3650,1429.74,3650
15,5,5,2,tat,Node_1_599_303_3650,303,-45,-45,1460.71
15,5,5,2,tat,Node_1_619_1890_3650,1890,626.216,-45,730
15,5,5,2,tat,Node_1_684_2923_3650,2923,2541.11,582.963,3285
15,5,5,2,tat,Node_1_851_2919_3650,2919,3650,365,3650
15,5,5,2,tat,Node_1_868_2000_3650,2000,227.139,-45,730
15,5,5,2,tat,Node_1_888_1002_3650,1002,365.148,-45,365.148
15,5,5,2,tat,Node_1_928_2696_3650,2696,3272.41,2910.13,3285
15,5,5,2,tat,Node_1_993_2216_3650,2216,-45,-45,1180.47
15,5,5,2,tat,Node_1_1062_326_3650,326,-45,-45,1518.44
15,5,6,2,tat,Node_1_19_344_3650,344,701.87,140.196,1587.97
15,5,6,2,tat,Node_1_98_408_3650,408,365.108,-45,365.108
15,5,6,2,tat,Node_1_124_1321_3650,1321,3650,608.782,3650
15,5,6,2,tat,Node_1_136_2222_3650,2222,1099.26,-45,2752.87
15,5,6,2,tat,Node_1_148_147_3650,147,135.404,-45,339.812
15,5,6,2,tat,Node_1_206_987_3650,987,365.108,-45,365.108
15,5,6,2,tat,Node_1_307_2462_3650,2462,2277.65,-45,3650
15,5,6,2,tat,Node_1_435_802_3650,802,1889.28,889.499,2555
15,5,6,2,tat,Node_1_507_1616_3650,1616,3606.29,38.1045,3650
15,5,6,2,tat,Node_1_519_3236_3650,3236,2982.4,442.79,3650
15,5,6,2,tat,Node_1_544_3098_3650,3098,3650,1702.07,3650
15,5,6,2,tat,Node_1_599_303_3650,303,135.404,-45,339.812
15,5,6,2,tat,Node_1_619_1890_3650,1890,3650,1095,3650
15,5,6,2,tat,Node_1_684_2923_3650,2923,3629.28,1224.22,3650
15,5,6,2,tat,Node_1_851_2919_3650,2919,1247.76,-45,2750.69
15,5,6,2,tat,Node_1_868_2000_3650,2000,876.561,-45,3064.14
15,5,6,2,tat,Node_1_888_1002_3650,1002,1341.71,128.294,2709.62
15,5,6,2,tat,Node_1_928_2696_3650,2696,2469.11,874.74,3285
15,5,6,2,tat,Node_1_993_2216_3650,2216,1682.94,816.049,2190
15,5,6,2,tat,Node_1_1062_326_3650,326,135.404,-45,339.812
