batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
1,3,1,3,p17,Node_1_55_2674_3650,2674,2381.77,822.494,3650
1,3,1,3,p17,Node_1_74_2694_3650,2694,3213.86,1835.73,3650
1,3,1,3,p17,Node_1_85_809_3650,809,989.748,197.429,2200.87
1,3,1,3,p17,Node_1_147_430_3650,430,277.456,-45,832.368
1,3,1,3,p17,Node_1_201_734_3650,734,15.6983,-45,823.596
1,3,1,3,p17,Node_1_209_2457_3650,2457,2326.45,775.25,3650
1,3,1,3,p17,Node_1_365_803_3650,803,-45,-45,309.141
1,3,1,3,p17,Node_1_378_628_3650,628,584.527,-45,1467.84
1,3,1,3,p17,Node_1_398_3234_3650,3234,3650,1986.41,3650
1,3,1,3,p17,Node_1_424_1402_3650,1402,784.893,-45,1821.32
1,3,1,3,p17,Node_1_439_3246_3650,3246,3650,1589.66,3650
1,3,1,3,p17,Node_1_554_2868_3650,2868,3034.95,1361.23,3650
1,3,1,3,p17,Node_1_573_1701_3650,1701,2087.29,729.053,3620.71
1,3,1,3,p17,Node_1_622_1349_3650,1349,606.539,-45,2382.87
1,3,1,3,p17,Node_1_663_2228_3650,2228,734.475,-45,1519.46
1,3,1,3,p17,Node_1_887_2443_3650,2443,1298.49,267.173,2503.62
1,3,1,3,p17,Node_1_888_2147_3650,2147,694.481,-45,1606.82
1,3,1,3,p17,Node_1_1026_1947_3650,1947,1369.03,208.708,2394.03
1,3,1,3,p17,Node_1_1056_1281_3650,1281,2340.9,1020.37,3650
1,3,1,3,p17,Node_1_1083_1903_3650,1903,1017.73,168.205,2079.77
1,3,2,3,p17,Node_1_55_2674_3650,2674,1543.53,118.292,2979.83
1,3,2,3,p17,Node_1_74_2694_3650,2694,3105.1,2316.18,3650
1,3,2,3,p17,Node_1_85_809_3650,809,495.78,-45,1298.61
1,3,2,3,p17,Node_1_147_430_3650,430,557.945,-45,1064.57
1,3,2,3,p17,Node_1_201_734_3650,734,486.429,-29.6434,896.632
1,3,2,3,p17,Node_1_209_2457_3650,2457,1817.58,651.037,3378.28
1,3,2,3,p17,Node_1_365_803_3650,803,170.597,-45,922.182
1,3,2,3,p17,Node_1_378_628_3650,628,398.102,-45,1312.49
1,3,2,3,p17,Node_1_398_3234_3650,3234,2494.96,953.143,3650
1,3,2,3,p17,Node_1_424_1402_3650,1402,-13.8886,-45,695.867
1,3,2,3,p17,Node_1_439_3246_3650,3246,3650,1679.07,3650
1,3,2,3,p17,Node_1_554_2868_3650,2868,3650,1953.8,3650
1,3,2,3,p17,Node_1_573_1701_3650,1701,1406.68,49.8538,2865.66
1,3,2,3,p17,Node_1_622_1349_3650,1349,957.925,411.101,1561.11
1,3,2,3,p17,Node_1_663_2228_3650,2228,2165.26,902.735,3184.44
1,3,2,3,p17,Node_1_887_2443_3650,2443,2622.15,1185.05,3650
1,3,2,3,p17,Node_1_888_2147_3650,2147,1730.31,492.898,2988.45
1,3,2,3,p17,Node_1_1026_1947_3650,1947,3078.07,1839.17,3650
1,3,2,3,p17,Node_1_1056_1281_3650,1281,1028.24,-45,2115.63
1,3,2,3,p17,Node_1_1083_1903_3650,1903,1681.99,681.391,2516.97
1,3,3,3,p17,Node_1_55_2674_3650,2674,2777.01,736.614,3650
1,3,3,3,p17,Node_1_74_2694_3650,2694,3561.57,2846.01,3650
1,3,3,3,p17,Node_1_85_809_3650,809,279.263,-45,936.197
1,3,3,3,p17,Node_1_147_430_3650,430,223.068,-45,593.99
1,3,3,3,p17,Node_1_201_734_3650,734,652.491,-45,1893.58
1,3,3,3,p17,Node_1_209_2457_3650,2457,3650,1785.18,3650
1,3,3,3,p17,Node_1_365_803_3650,803,1227.57,155.291,2835.45
1,3,3,3,p17,Node_1_378_628_3650,628,325.93,-45,690.304
1,3,3,3,p17,Node_1_398_3234_3650,3234,3650,2074.41,3650
1,3,3,3,p17,Node_1_424_1402_3650,1402,1709.84,287.117,3650
1,3,3,3,p17,Node_1_439_3246_3650,3246,2363.4,902.235,3650
1,3,3,3,p17,Node_1_554_2868_3650,2868,1396.08,56.0008,2961.31
1,3,3,3,p17,Node_1_573_1701_3650,1701,1915.69,311.787,3650
1,3,3,3,p17,Node_1_622_1349_3650,1349,1918.46,342.235,3321.21
1,3,3,3,p17,Node_1_663_2228_3650,2228,1956.96,1295.84,2555
1,3,3,3,p17,Node_1_887_2443_3650,2443,1947.22,396.452,3650
1,3,3,3,p17,Node_1_888_2147_3650,2147,1223.92,-45,2427.37
1,3,3,3,p17,Node_1_1026_1947_3650,1947,1234.17,-45,2820.92
1,3,3,3,p17,Node_1_1056_1281_3650,1281,1444.13,288.359,2720.98
1,3,3,3,p17,Node_1_1083_1903_3650,1903,1833.4,930.302,3013.48
1,3,4,3,p17,Node_1_55_2674_3650,2674,2433.26,1010.45,3650
1,3,4,3,p17,Node_1_74_2694_3650,2694,2468.17,1746.01,3355.95
1,3,4,3,p17,Node_1_85_809_3650,809,1573.79,810.151,2442.01
1,3,4,3,p17,Node_1_147_430_3650,430,259.24,-45,522.537
1,3,4,3,p17,Node_1_201_734_3650,734,356.706,-45,1149.44
1,3,4,3,p17,Node_1_209_2457_3650,2457,1024.04,-45,2444.11
1,3,4,3,p17,Node_1_365_803_3650,803,1151.6,322.356,1926.47
1,3,4,3,p17,Node_1_378_628_3650,628,737.342,-4.38232,1880.24
1,3,4,3,p17,Node_1_398_3234_3650,3234,3650,2052.62,3650
1,3,4,3,p17,Node_1_424_1402_3650,1402,2088.26,780.522,3650
1,3,4,3,p17,Node_1_439_3246_3650,3246,2566.85,1251.25,3650
1,3,4,3,p17,Node_1_554_2868_3650,2868,1906.99,714.633,3402.62
1,3,4,3,p17,Node_1_573_1701_3650,1701,688.086,-45,1710.58
1,3,4,3,p17,Node_1_622_1349_3650,1349,2467.62,849.226,3650
1,3,4,3,p17,Node_1_663_2228_3650,2228,2487.09,1193.68,3650
1,3,4,3,p17,Node_1_887_2443_3650,2443,2277.85,933.242,3650
