batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
8,1,1,2,nef,Node_1_51_735_3650,735,670.394,78.3594,1363.76
8,1,1,2,nef,Node_1_84_2556_3650,2556,2884.12,2112.6,3650
8,1,1,2,nef,Node_1_173_3113_3650,3113,2170.06,1501.97,2902.73
8,1,1,2,nef,Node_1_174_3100_3650,3100,2029.42,1333.83,2632.51
8,1,1,2,nef,Node_1_221_1960_3650,1960,2901.8,1768.96,3650
8,1,1,2,nef,Node_1_235_1820_3650,1820,1659.98,1264.52,1825
8,1,1,2,nef,Node_1_237_19_3650,19,161.177,-45,529.035
8,1,1,2,nef,Node_1_245_1467_3650,1467,2051.75,1098.98,3184
8,1,1,2,nef,Node_1_375_1705_3650,1705,1523.31,1209.08,1825
8,1,1,2,nef,Node_1_432_1435_3650,1435,1563.94,1054.21,2252.14
8,1,1,2,nef,Node_1_467_1536_3650,1536,2156.24,1110.16,2962.63
8,1,1,2,nef,Node_1_481_3169_3650,3169,3611.74,2525.09,3650
8,1,1,2,nef,Node_1_618_3275_3650,3275,3026.67,1737.26,3650
8,1,1,2,nef,Node_1_637_2187_3650,2187,1554.95,760.045,2357.51
8,1,1,2,nef,Node_1_713_1737_3650,1737,1416.16,1022.99,1825
8,1,1,2,nef,Node_1_794_2724_3650,2724,2980.34,2044.3,3650
8,1,1,2,nef,Node_1_818_794_3650,794,730.081,554.179,730.081
8,1,1,2,nef,Node_1_851_1715_3650,1715,1652.93,1312.02,2114.85
8,1,1,2,nef,Node_1_1063_309_3650,309,267.785,-45,683.29
8,1,1,2,nef,Node_1_1080_3066_3650,3066,3344.9,2008.73,3650
8,1,2,2,nef,Node_1_51_735_3650,735,251.942,-17.9715,596.353
8,1,2,2,nef,Node_1_84_2556_3650,2556,2169.61,1586.88,2892.79
8,1,2,2,nef,Node_1_173_3113_3650,3113,2325.27,1700.06,2901.97
8,1,2,2,nef,Node_1_174_3100_3650,3100,2838.97,2168.76,3534.91
8,1,2,2,nef,Node_1_221_1960_3650,1960,2841.49,1889.57,3650
8,1,2,2,nef,Node_1_235_1820_3650,1820,1926.96,1654.61,2088.52
8,1,2,2,nef,Node_1_237_19_3650,19,74.8057,-45,317.323
8,1,2,2,nef,Node_1_245_1467_3650,1467,1267.63,607.516,1870.67
8,1,2,2,nef,Node_1_375_1705_3650,1705,1525.68,1292.29,1799.26
8,1,2,2,nef,Node_1_432_1435_3650,1435,974.565,386.46,1582.96
8,1,2,2,nef,Node_1_467_1536_3650,1536,1326.46,608.291,2136.42
8,1,2,2,nef,Node_1_481_3169_3650,3169,3022.91,2197.32,3650
8,1,2,2,nef,Node_1_618_3275_3650,3275,3061.67,2080.46,3650
8,1,2,2,nef,Node_1_637_2187_3650,2187,1942.17,1197.86,2643.29
8,1,2,2,nef,Node_1_713_1737_3650,1737,2073.44,1582.01,2681.97
8,1,2,2,nef,Node_1_794_2724_3650,2724,2156.55,1458.35,2990.82
8,1,2,2,nef,Node_1_818_794_3650,794,1036.42,691.891,1432.71
8,1,2,2,nef,Node_1_851_1715_3650,1715,1498.37,1110.32,1831.34
8,1,2,2,nef,Node_1_1063_309_3650,309,116.743,-45,309.138
8,1,2,2,nef,Node_1_1080_3066_3650,3066,3650,2560.7,3650
8,1,3,2,nef,Node_1_51_735_3650,735,731.865,201.023,1161.35
8,1,3,2,nef,Node_1_84_2556_3650,2556,2343.76,1566.54,3142.49
8,1,3,2,nef,Node_1_173_3113_3650,3113,2857.6,2042.1,3366
8,1,3,2,nef,Node_1_174_3100_3650,3100,3497.03,2514.9,3650
8,1,3,2,nef,Node_1_221_1960_3650,1960,1489.75,698.095,2224.26
8,1,3,2,nef,Node_1_235_1820_3650,1820,1825.07,1495.65,1825.07
8,1,3,2,nef,Node_1_237_19_3650,19,-45,-45,155.351
8,1,3,2,nef,Node_1_245_1467_3650,1467,943.509,141.846,1534.6
8,1,3,2,nef,Node_1_375_1705_3650,1705,1568.75,1313.68,1825
8,1,3,2,nef,Node_1_432_1435_3650,1435,1191.68,706.464,1944.09
8,1,3,2,nef,Node_1_467_1536_3650,1536,2220.93,1403.84,3043.98
8,1,3,2,nef,Node_1_481_3169_3650,3169,1859.09,937.475,2834.58
8,1,3,2,nef,Node_1_618_3275_3650,3275,2463.88,1390.1,3280.37
