batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate
11,4,1,1,C1V2,Node_1_657_2545_3650,2545,2446.79061507969
11,4,1,1,C1V2,Node_1_389_217_3650,217,66.6896147726831
11,4,1,1,C1V2,Node_1_505_170_3650,170,96.5197469935194
11,4,1,1,C1V2,Node_1_914_158_3650,158,46.6481352593239
11,4,1,1,C1V2,Node_1_167_638_3650,638,540.540796241171
11,4,1,1,C1V2,Node_1_1070_2933_3650,2933,2833.36255142402
11,4,1,1,C1V2,Node_1_1069_3255_3650,3255,3127.51544487959
11,4,1,1,C1V2,Node_1_1065_1650_3650,1650,1602.53062756068
11,4,1,1,C1V2,Node_1_883_3151_3650,3151,3130.05231953798
11,4,1,1,C1V2,Node_1_968_1656_3650,1656,1279.09589363984
11,4,1,1,C1V2,Node_1_33_2381_3650,2381,2094.86721329389
11,4,1,1,C1V2,Node_1_26_1883_3650,1883,1389.62091083305
11,4,1,1,C1V2,Node_1_235_821_3650,821,537.987958816106
11,4,1,1,C1V2,Node_1_326_666_3650,666,340.580883214875
11,4,1,1,C1V2,Node_1_267_33_3650,33,-565.828791954608
11,4,1,1,C1V2,Node_1_80_2182_3650,2182,3181.19804780638
11,4,1,1,C1V2,Node_1_83_110_3650,110,309.487140141552
11,4,1,1,C1V2,Node_1_536_2707_3650,2707,2964.156340248
11,4,1,1,C1V2,Node_1_406_1942_3650,1942,1591.11440830319
11,4,1,1,C1V2,Node_1_381_2177_3650,2177,1720.19402519802
11,4,2,1,C1V2,Node_1_914_158_3650,158,25.401205757699
11,4,2,1,C1V2,Node_1_26_1883_3650,1883,1197.85446042588
11,4,2,1,C1V2,Node_1_33_2381_3650,2381,1893.92449194538
11,4,2,1,C1V2,Node_1_326_666_3650,666,429.716782569804
11,4,2,1,C1V2,Node_1_536_2707_3650,2707,2863.96511894867
11,4,2,1,C1V2,Node_1_1070_2933_3650,2933,2452.72254200101
11,4,2,1,C1V2,Node_1_1069_3255_3650,3255,3079.64551136822
11,4,2,1,C1V2,Node_1_1065_1650_3650,1650,1469.34119606997
11,4,2,1,C1V2,Node_1_657_2545_3650,2545,2439.97831962722
11,4,2,1,C1V2,Node_1_883_3151_3650,3151,2257.83239069933
11,4,2,1,C1V2,Node_1_167_638_3650,638,547.001250772949
11,4,2,1,C1V2,Node_1_80_2182_3650,2182,1999.76935071276
11,4,2,1,C1V2,Node_1_267_33_3650,33,-501.501291287598
11,4,2,1,C1V2,Node_1_83_110_3650,110,-84.8910980309929
11,4,2,1,C1V2,Node_1_389_217_3650,217,209.542123500439
11,4,2,1,C1V2,Node_1_235_821_3650,821,720.686871792795
11,4,2,1,C1V2,Node_1_968_1656_3650,1656,1624.42857607306
11,4,2,1,C1V2,Node_1_406_1942_3650,1942,1806.55746968083
11,4,2,1,C1V2,Node_1_505_170_3650,170,-131.767185338954
11,4,2,1,C1V2,Node_1_381_2177_3650,2177,2247.89775721752
11,4,3,1,C1V2,Node_1_167_638_3650,638,642.738341473202
11,4,3,1,C1V2,Node_1_1070_2933_3650,2933,2282.90035582746
11,4,3,1,C1V2,Node_1_1069_3255_3650,3255,2604.97099440427
11,4,3,1,C1V2,Node_1_1065_1650_3650,1650,859.526073761501
11,4,3,1,C1V2,Node_1_235_821_3650,821,333.574901615729
11,4,3,1,C1V2,Node_1_914_158_3650,158,-97.5273775820741
11,4,3,1,C1V2,Node_1_505_170_3650,170,202.464610379595
11,4,3,1,C1V2,Node_1_267_33_3650,33,-229.396092520858
11,4,3,1,C1V2,Node_1_381_2177_3650,2177,1950.68327236569
11,4,3,1,C1V2,Node_1_26_1883_3650,1883,2098.12509514752
11,4,3,1,C1V2,Node_1_33_2381_3650,2381,2391.51034554623
11,4,3,1,C1V2,Node_1_80_2182_3650,2182,2051.42980687236
11,4,3,1,C1V2,Node_1_406_1942_3650,1942,1613.2458088019
11,4,3,1,C1V2,Node_1_536_2707_3650,2707,2648.74567266747
11,4,3,1,C1V2,Node_1_83_110_3650,110,96.443597022951
11,4,3,1,C1V2,Node_1_326_666_3650,666,677.172818339721
11,4,3,1,C1V2,Node_1_968_1656_3650,1656,2107.95524348662
11,4,3,1,C1V2,Node_1_657_2545_3650,2545,2755.04709000542
11,4,3,1,C1V2,Node_1_883_3151_3650,3151,3075.78332914235
11,4,3,1,C1V2,Node_1_389_217_3650,217,658.113158413441
11,4,4,1,C1V2,Node_1_83_110_3650,110,89.4222434360373
11,4,4,1,C1V2,Node_1_26_1883_3650,1883,1775.3203745292
11,4,4,1,C1V2,Node_1_33_2381_3650,2381,2203.76204302776
11,4,4,1,C1V2,Node_1_381_2177_3650,2177,2421.71857113396
11,4,4,1,C1V2,Node_1_536_2707_3650,2707,2631.00693367127
11,4,4,1,C1V2,Node_1_267_33_3650,33,-267.34201620418
11,4,4,1,C1V2,Node_1_505_170_3650,170,163.893383931895
11,4,4,1,C1V2,Node_1_406_1942_3650,1942,2285.85821719068
11,4,4,1,C1V2,Node_1_914_158_3650,158,-112.360743605814
11,4,4,1,C1V2,Node_1_883_3151_3650,3151,3073.63389374854
11,4,4,1,C1V2,Node_1_968_1656_3650,1656,1306.33633665787
11,4,4,1,C1V2,Node_1_235_821_3650,821,694.308337748548
