batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate
13,5,1,1,p17,Node_1_635_2659_3650,2659,2836.72757724664
13,5,1,1,p17,Node_1_634_3108_3650,3108,3476.26609590983
13,5,1,1,p17,Node_1_746_13_3650,13,-400.148015147591
13,5,1,1,p17,Node_1_776_2608_3650,2608,1644.56081881078
13,5,1,1,p17,Node_1_1003_1042_3650,1042,908.316697322637
13,5,1,1,p17,Node_1_437_795_3650,795,1343.42007192187
13,5,1,1,p17,Node_1_737_1351_3650,1351,-32.4203585474413
13,5,1,1,p17,Node_1_402_2974_3650,2974,2920.02058046464
13,5,1,1,p17,Node_1_984_2852_3650,2852,3138.34257527891
13,5,1,1,p17,Node_1_990_1572_3650,1572,1535.78834943538
13,5,1,1,p17,Node_1_668_14_3650,14,-170.22886801196
13,5,1,1,p17,Node_1_56_3085_3650,3085,3044.93873866572
13,5,1,1,p17,Node_1_540_2449_3650,2449,3649.99999999
13,5,1,1,p17,Node_1_526_404_3650,404,359.566370181884
13,5,1,1,p17,Node_1_569_1611_3650,1611,-756.215624518208
13,5,1,1,p17,Node_1_153_1863_3650,1863,1733.97242807437
13,5,1,1,p17,Node_1_913_333_3650,333,364.793554229446
13,5,1,1,p17,Node_1_840_1895_3650,1895,2625.91846981968
13,5,1,1,p17,Node_1_599_2688_3650,2688,3094.96778557762
13,5,1,1,p17,Node_1_112_2780_3650,2780,2918.23441038055
13,5,2,1,p17,Node_1_153_1863_3650,1863,1519.8092657974
13,5,2,1,p17,Node_1_913_333_3650,333,658.773232315706
13,5,2,1,p17,Node_1_540_2449_3650,2449,2012.95150364791
13,5,2,1,p17,Node_1_776_2608_3650,2608,2791.98135856841
13,5,2,1,p17,Node_1_634_3108_3650,3108,3392.47355950679
13,5,2,1,p17,Node_1_635_2659_3650,2659,1934.4430510363
13,5,2,1,p17,Node_1_990_1572_3650,1572,687.595461963136
13,5,2,1,p17,Node_1_402_2974_3650,2974,2920.00676683986
13,5,2,1,p17,Node_1_746_13_3650,13,-731.838185296203
13,5,2,1,p17,Node_1_569_1611_3650,1611,-1209.49340840513
13,5,2,1,p17,Node_1_984_2852_3650,2852,2656.86323383044
13,5,2,1,p17,Node_1_526_404_3650,404,-798.122834156463
13,5,2,1,p17,Node_1_1003_1042_3650,1042,832.898766605116
13,5,2,1,p17,Node_1_737_1351_3650,1351,3284.7701737383
13,5,2,1,p17,Node_1_437_795_3650,795,691.777774006045
13,5,2,1,p17,Node_1_840_1895_3650,1895,1562.38606581094
13,5,2,1,p17,Node_1_112_2780_3650,2780,1603.362716184
13,5,2,1,p17,Node_1_668_14_3650,14,-1363.80066013862
13,5,2,1,p17,Node_1_599_2688_3650,2688,3649.99999999
13,5,2,1,p17,Node_1_56_3085_3650,3085,1641.71656297904
13,5,3,1,p17,Node_1_635_2659_3650,2659,2758.84603549427
13,5,3,1,p17,Node_1_634_3108_3650,3108,2758.84603549427
13,5,3,1,p17,Node_1_56_3085_3650,3085,2301.37978388681
13,5,3,1,p17,Node_1_540_2449_3650,2449,1777.62143197554
13,5,3,1,p17,Node_1_569_1611_3650,1611,2019.5175938148
13,5,3,1,p17,Node_1_840_1895_3650,1895,2335.85254586388
13,5,3,1,p17,Node_1_599_2688_3650,2688,3064.67863157278
13,5,3,1,p17,Node_1_913_333_3650,333,729.952716674806
13,5,3,1,p17,Node_1_402_2974_3650,2974,2920.01434968225
13,5,3,1,p17,Node_1_746_13_3650,13,158.770437138094
13,5,3,1,p17,Node_1_737_1351_3650,1351,1872.23480945922
13,5,3,1,p17,Node_1_990_1572_3650,1572,595.76090066318
13,5,3,1,p17,Node_1_112_2780_3650,2780,2629.93411708732
13,5,3,1,p17,Node_1_668_14_3650,14,729.948447375535
13,5,3,1,p17,Node_1_984_2852_3650,2852,3416.91557974008
13,5,3,1,p17,Node_1_1003_1042_3650,1042,1064.14234725556
13,5,3,1,p17,Node_1_153_1863_3650,1863,3518.93146002776
13,5,3,1,p17,Node_1_776_2608_3650,2608,1725.90786084224
13,5,3,1,p17,Node_1_526_404_3650,404,394.714559039766
13,5,3,1,p17,Node_1_437_795_3650,795,384.970502103144
13,5,4,1,p17,Node_1_402_2974_3650,2974,2919.94909990629
13,5,4,1,p17,Node_1_599_2688_3650,2688,402.40215992906
13,5,4,1,p17,Node_1_737_1351_3650,1351,101.932277531732
13,5,4,1,p17,Node_1_984_2852_3650,2852,1959.25182035727
13,5,4,1,p17,Node_1_1003_1042_3650,1042,1268.92024439056
13,5,4,1,p17,Node_1_56_3085_3650,3085,3649.99999999
13,5,4,1,p17,Node_1_990_1572_3650,1572,1264.57413267644
13,5,4,1,p17,Node_1_112_2780_3650,2780,3649.99999999
13,5,4,1,p17,Node_1_635_2659_3650,2659,2473.85650317991
13,5,4,1,p17,Node_1_634_3108_3650,3108,2474.99509846054
13,5,4,1,p17,Node_1_668_14_3650,14,360.682402956365
13,5,4,1,p17,Node_1_526_404_3650,404,724.417402503541
13,5,4,1,p17,Node_1_913_333_3650,333,727.75006686129
13,5,4,1,p17,Node_1_437_795_3650,795,1196.43701423217
13,5,4,1,p17,Node_1_776_2608_3650,2608,2157.54476874439
13,5,4,1,p17,Node_1_746_13_3650,13,360.770095551953
13,5,4,1,p17,Node_1_540_2449_3650,2449,1214.65238527105
13,5,4,1,p17,Node_1_153_1863_3650,1863,1296.83041110322
13,5,4,1,p17,Node_1_569_1611_3650,1611,-93.3824756805504
13,5,4,1,p17,Node_1_840_1895_3650,1895,2269.4591420531
13,5,5,1,p17,Node_1_984_2852_3650,2852,3151.75048906767
13,5,5,1,p17,Node_1_990_1572_3650,1572,1749.46030733889
13,5,5,1,p17,Node_1_1003_1042_3650,1042,-252.504240145026
13,5,5,1,p17,Node_1_840_1895_3650,1895,2013.17165078656
13,5,5,1,p17,Node_1_737_1351_3650,1351,576.00924039882
13,5,5,1,p17,Node_1_668_14_3650,14,-71.1354314823013
13,5,5,1,p17,Node_1_746_13_3650,13,359.886536550565
13,5,5,1,p17,Node_1_402_2974_3650,2974,2919.97967607283
13,5,5,1,p17,Node_1_153_1863_3650,1863,1570.32407981626
13,5,5,1,p17,Node_1_526_404_3650,404,98.1123159604618
13,5,5,1,p17,Node_1_635_2659_3650,2659,3340.37248652647
13,5,5,1,p17,Node_1_634_3108_3650,3108,3639.82956258878
13,5,5,1,p17,Node_1_540_2449_3650,2449,3537.96825586289
13,5,5,1,p17,Node_1_776_2608_3650,2608,3466.03706529926
13,5,5,1,p17,Node_1_599_2688_3650,2688,1457.7271513043
13,5,5,1,p17,Node_1_569_1611_3650,1611,664.641164582232
13,5,5,1,p17,Node_1_112_2780_3650,2780,1035.74358400882
13,5,5,1,p17,Node_1_913_333_3650,333,-1267.66652593057
13,5,5,1,p17,Node_1_56_3085_3650,3085,1452.49000014286
13,5,5,1,p17,Node_1_437_795_3650,795,-392.605713759751
13,5,6,1,p17,Node_1_1003_1042_3650,1042,685.487679187858
13,5,6,1,p17,Node_1_402_2974_3650,2974,3243.67569341849
13,5,6,1,p17,Node_1_599_2688_3650,2688,1892.09108081155
13,5,6,1,p17,Node_1_437_795_3650,795,230.851514458628
13,5,6,1,p17,Node_1_540_2449_3650,2449,1982.6269885274
13,5,6,1,p17,Node_1_737_1351_3650,1351,1652.82457698523
13,5,6,1,p17,Node_1_776_2608_3650,2608,2934.78788886783
13,5,6,1,p17,Node_1_990_1572_3650,1572,519.388959469042
13,5,6,1,p17,Node_1_668_14_3650,14,-635.149718500125
13,5,6,1,p17,Node_1_746_13_3650,13,-635.23866727354
13,5,6,1,p17,Node_1_526_404_3650,404,735.36702618972
13,5,6,1,p17,Node_1_153_1863_3650,1863,2463.08458809075
13,5,6,1,p17,Node_1_569_1611_3650,1611,1472.33447954144
13,5,6,1,p17,Node_1_840_1895_3650,1895,2927.56719190962
13,5,6,1,p17,Node_1_984_2852_3650,2852,2257.27789378667
13,5,6,1,p17,Node_1_56_3085_3650,3085,3649.99999999
13,5,6,1,p17,Node_1_112_2780_3650,2780,2464.37117058742
13,5,6,1,p17,Node_1_634_3108_3650,3108,3649.99999999
