batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate
5,4,1,2,nef,Node_1_666_1633_3650,1633,1640.17206682102
5,4,1,2,nef,Node_1_663_1265_3650,1265,1793.6240187629
5,4,1,2,nef,Node_1_429_863_3650,863,813.853872613206
5,4,1,2,nef,Node_1_163_2673_3650,2673,2888.3462162429
5,4,1,2,nef,Node_1_79_3198_3650,3198,3159.51075731399
5,4,1,2,nef,Node_1_1056_1205_3650,1205,914.74262128776
5,4,1,2,nef,Node_1_788_2213_3650,2213,3075.55505669605
5,4,1,2,nef,Node_1_320_1620_3650,1620,1352.53692108109
5,4,1,2,nef,Node_1_322_2712_3650,2712,-423.033851290325
5,4,1,2,nef,Node_1_205_1314_3650,1314,1683.8774558272
5,4,1,2,nef,Node_1_208_2122_3650,2122,2589.08072552692
5,4,1,2,nef,Node_1_203_598_3650,598,576.7656509368
5,4,1,2,nef,Node_1_875_764_3650,764,150.668992693402
5,4,1,2,nef,Node_1_950_368_3650,368,151.297475487933
5,4,1,2,nef,Node_1_42_14_3650,14,151.800066328806
5,4,1,2,nef,Node_1_943_735_3650,735,895.460913568635
5,4,1,2,nef,Node_1_926_377_3650,377,-246.871827856514
5,4,1,2,nef,Node_1_741_2594_3650,2594,2350.29432847878
5,4,1,2,nef,Node_1_352_742_3650,742,155.976037770446
5,4,1,2,nef,Node_1_447_1294_3650,1294,1499.07085425911
5,4,2,2,nef,Node_1_1056_1205_3650,1205,582.030609091283
5,4,2,2,nef,Node_1_666_1633_3650,1633,1012.31596549145
5,4,2,2,nef,Node_1_663_1265_3650,1265,878.221048211534
5,4,2,2,nef,Node_1_322_2712_3650,2712,-441.777435901637
5,4,2,2,nef,Node_1_320_1620_3650,1620,1221.39705363726
5,4,2,2,nef,Node_1_950_368_3650,368,693.66535896209
5,4,2,2,nef,Node_1_741_2594_3650,2594,2868.14215309874
5,4,2,2,nef,Node_1_79_3198_3650,3198,2538.35736208175
5,4,2,2,nef,Node_1_352_742_3650,742,571.888845091113
5,4,2,2,nef,Node_1_203_598_3650,598,-416.542381505563
5,4,2,2,nef,Node_1_205_1314_3650,1314,852.917958692562
5,4,2,2,nef,Node_1_208_2122_3650,2122,1445.27518988515
5,4,2,2,nef,Node_1_447_1294_3650,1294,1397.67186922203
5,4,2,2,nef,Node_1_875_764_3650,764,1101.07222736109
5,4,2,2,nef,Node_1_788_2213_3650,2213,2424.18608840351
5,4,2,2,nef,Node_1_926_377_3650,377,584.080720875034
5,4,2,2,nef,Node_1_163_2673_3650,2673,3463.40076870262
5,4,2,2,nef,Node_1_42_14_3650,14,-279.705294706271
5,4,2,2,nef,Node_1_429_863_3650,863,288.00385239374
5,4,2,2,nef,Node_1_943_735_3650,735,-357.672515565222
5,4,3,2,nef,Node_1_447_1294_3650,1294,645.645363945716
5,4,3,2,nef,Node_1_320_1620_3650,1620,2855.63962153341
5,4,3,2,nef,Node_1_208_2122_3650,2122,1727.45199512162
5,4,3,2,nef,Node_1_205_1314_3650,1314,911.573082098452
5,4,3,2,nef,Node_1_429_863_3650,863,221.600156200383
5,4,3,2,nef,Node_1_203_598_3650,598,334.560171292901
5,4,3,2,nef,Node_1_322_2712_3650,2712,-228.69928566728
5,4,3,2,nef,Node_1_926_377_3650,377,353.481039500413
5,4,3,2,nef,Node_1_42_14_3650,14,-224.941601500754
5,4,3,2,nef,Node_1_741_2594_3650,2594,2335.57087015745
5,4,3,2,nef,Node_1_352_742_3650,742,411.817281816427
5,4,3,2,nef,Node_1_875_764_3650,764,1446.5402161515
5,4,3,2,nef,Node_1_79_3198_3650,3198,1595.51724842761
5,4,3,2,nef,Node_1_663_1265_3650,1265,1314.83649114168
5,4,3,2,nef,Node_1_666_1633_3650,1633,2542.06050034263
5,4,3,2,nef,Node_1_163_2673_3650,2673,3213.79795349037
5,4,3,2,nef,Node_1_1056_1205_3650,1205,1137.50358035142
5,4,3,2,nef,Node_1_950_368_3650,368,710.640002395672
5,4,3,2,nef,Node_1_788_2213_3650,2213,1546.02673995584
5,4,3,2,nef,Node_1_943_735_3650,735,418.56739917143
5,4,4,2,nef,Node_1_163_2673_3650,2673,3287.86143469123
5,4,4,2,nef,Node_1_741_2594_3650,2594,3245.19396216469
5,4,4,2,nef,Node_1_447_1294_3650,1294,1314.14374267055
5,4,4,2,nef,Node_1_663_1265_3650,1265,568.432693428143
5,4,4,2,nef,Node_1_666_1633_3650,1633,1159.58642363223
5,4,4,2,nef,Node_1_79_3198_3650,3198,3649.99999999
5,4,4,2,nef,Node_1_950_368_3650,368,281.238812619725
5,4,4,2,nef,Node_1_875_764_3650,764,961.372643647675
5,4,4,2,nef,Node_1_203_598_3650,598,-224.232158789806
5,4,4,2,nef,Node_1_788_2213_3650,2213,1807.35716908706
5,4,4,2,nef,Node_1_205_1314_3650,1314,1100.58725094016
5,4,4,2,nef,Node_1_208_2122_3650,2122,1534.14525087417
5,4,4,2,nef,Node_1_1056_1205_3650,1205,495.81675468392
5,4,4,2,nef,Node_1_320_1620_3650,1620,8.60309384663768
5,4,4,2,nef,Node_1_352_742_3650,742,1020.09915630358
5,4,4,2,nef,Node_1_42_14_3650,14,-337.330822042105
5,4,4,2,nef,Node_1_322_2712_3650,2712,-337.432478075682
5,4,4,2,nef,Node_1_943_735_3650,735,114.009605039453
5,4,4,2,nef,Node_1_926_377_3650,377,-468.075478112222
5,4,4,2,nef,Node_1_429_863_3650,863,452.962893302633
5,4,5,2,nef,Node_1_950_368_3650,368,-356.878338738253
5,4,5,2,nef,Node_1_203_598_3650,598,-183.482739661197
5,4,5,2,nef,Node_1_205_1314_3650,1314,1345.41521552294
5,4,5,2,nef,Node_1_208_2122_3650,2122,2270.8336482822
5,4,5,2,nef,Node_1_163_2673_3650,2673,3390.07199384159
5,4,5,2,nef,Node_1_875_764_3650,764,1108.39452527118
5,4,5,2,nef,Node_1_1056_1205_3650,1205,391.774653019498
5,4,5,2,nef,Node_1_79_3198_3650,3198,2035.88421480232
5,4,5,2,nef,Node_1_741_2594_3650,2594,3230.51370939883
5,4,5,2,nef,Node_1_320_1620_3650,1620,2354.4931641401
5,4,5,2,nef,Node_1_322_2712_3650,2712,-477.8066216563
