batch,rep,ali,sub,gene,run,nodeName,trueDate,nodeDate,lowCI,highCI
16,3,1,3,p17,1,Node_1_115_1161_3650,1161,2382.844,1275.306,3635.836
16,3,1,3,p17,1,Node_1_121_2901_3650,2901,3102.341,2335.640,3649.866
16,3,1,3,p17,1,Node_1_212_3231_3650,3231,2965.868,2250.196,3648.986
16,3,1,3,p17,1,Node_1_215_2833_3650,2833,2733.703,2006.514,3588.568
16,3,1,3,p17,1,Node_1_245_2513_3650,2513,2818.981,1886.780,3649.646
16,3,1,3,p17,1,Node_1_279_1296_3650,1296,2596.296,1439.856,3648.990
16,3,1,3,p17,1,Node_1_283_276_3650,276,1200.529,203.120,2354.736
16,3,1,3,p17,1,Node_1_475_3158_3650,3158,3070.056,2201.147,3649.940
16,3,1,3,p17,1,Node_1_521_2516_3650,2516,3184.360,2460.312,3649.966
16,3,1,3,p17,1,Node_1_642_3111_3650,3111,2593.732,1575.698,3647.270
16,3,1,3,p17,1,Node_1_673_1962_3650,1962,3201.792,2469.805,3649.967
16,3,1,3,p17,1,Node_1_696_1362_3650,1362,972.217,-44.973,2197.297
16,3,1,3,p17,1,Node_1_725_151_3650,151,370.760,-44.957,1113.373
16,3,1,3,p17,1,Node_1_798_2647_3650,2647,2437.194,1533.227,3522.059
16,3,1,3,p17,1,Node_1_923_2310_3650,2310,3062.705,2300.465,3649.378
16,3,1,3,p17,1,Node_1_971_2007_3650,2007,2503.721,1506.535,3645.807
16,3,1,3,p17,1,Node_1_974_3252_3650,3252,2852.284,1877.539,3649.302
16,3,1,3,p17,1,Node_1_1015_1273_3650,1273,677.416,40.600,1482.590
16,3,1,3,p17,1,Node_1_1085_14_3650,14,315.262,-44.999,1048.867
16,3,1,3,p17,1,Node_1_1098_1169_3650,1169,2111.775,928.809,3544.756
16,3,2,3,p17,1,Node_1_115_1161_3650,1161,1499.829,400.101,2867.414
16,3,2,3,p17,1,Node_1_121_2901_3650,2901,2529.663,1580.833,3649.891
16,3,2,3,p17,1,Node_1_212_3231_3650,3231,3061.046,2275.316,3650.000
16,3,2,3,p17,1,Node_1_215_2833_3650,2833,2647.773,1791.168,3577.461
16,3,2,3,p17,1,Node_1_245_2513_3650,2513,2097.647,980.246,3353.284
16,3,2,3,p17,1,Node_1_279_1296_3650,1296,2353.376,1179.137,3649.963
16,3,2,3,p17,1,Node_1_283_276_3650,276,1294.842,430.845,2312.288
16,3,2,3,p17,1,Node_1_475_3158_3650,3158,2892.570,1956.311,3649.816
16,3,2,3,p17,1,Node_1_521_2516_3650,2516,2393.854,1335.112,3648.564
16,3,2,3,p17,1,Node_1_642_3111_3650,3111,2831.834,1797.528,3649.976
16,3,2,3,p17,1,Node_1_673_1962_3650,1962,897.047,129.865,1918.341
16,3,2,3,p17,1,Node_1_696_1362_3650,1362,1403.273,208.774,2789.491
16,3,2,3,p17,1,Node_1_725_151_3650,151,296.135,-44.826,981.408
16,3,2,3,p17,1,Node_1_798_2647_3650,2647,2797.422,2003.581,3649.038
16,3,2,3,p17,1,Node_1_923_2310_3650,2310,2103.074,1102.987,3265.924
16,3,2,3,p17,1,Node_1_971_2007_3650,2007,1911.831,595.459,3306.838
16,3,2,3,p17,1,Node_1_974_3252_3650,3252,2189.550,1019.576,3618.898
16,3,2,3,p17,1,Node_1_1015_1273_3650,1273,1967.013,919.866,3231.882
16,3,2,3,p17,1,Node_1_1085_14_3650,14,303.268,-44.952,989.610
16,3,2,3,p17,1,Node_1_1098_1169_3650,1169,1317.378,215.639,2629.379
16,3,3,3,p17,1,Node_1_115_1161_3650,1161,1283.825,250.228,2427.190
16,3,3,3,p17,1,Node_1_121_2901_3650,2901,2764.250,1811.943,3649.903
16,3,3,3,p17,1,Node_1_212_3231_3650,3231,3246.308,2606.220,3649.581
16,3,3,3,p17,1,Node_1_215_2833_3650,2833,2840.214,2052.216,3640.631
16,3,3,3,p17,1,Node_1_245_2513_3650,2513,1844.068,1215.527,2612.837
16,3,3,3,p17,1,Node_1_279_1296_3650,1296,1602.267,530.695,2886.935
16,3,3,3,p17,1,Node_1_283_276_3650,276,251.671,-44.994,851.743
16,3,3,3,p17,1,Node_1_475_3158_3650,3158,2942.237,1991.297,3649.586
16,3,3,3,p17,1,Node_1_521_2516_3650,2516,1736.228,632.637,3003.074
16,3,3,3,p17,1,Node_1_642_3111_3650,3111,2976.679,2122.109,3649.886
16,3,3,3,p17,1,Node_1_673_1962_3650,1962,2686.479,1626.422,3649.979
16,3,3,3,p17,1,Node_1_696_1362_3650,1362,1915.459,679.332,3260.619
16,3,3,3,p17,1,Node_1_725_151_3650,151,714.103,-42.101,1651.376
16,3,3,3,p17,1,Node_1_798_2647_3650,2647,2611.052,2013.875,3474.972
16,3,3,3,p17,1,Node_1_923_2310_3650,2310,2344.018,1431.066,3469.742
16,3,3,3,p17,1,Node_1_971_2007_3650,2007,2013.423,1015.495,3167.576
16,3,3,3,p17,1,Node_1_974_3252_3650,3252,2705.064,1783.999,3649.277
16,3,3,3,p17,1,Node_1_1015_1273_3650,1273,940.894,74.777,1939.102
16,3,3,3,p17,1,Node_1_1085_14_3650,14,258.069,-44.993,852.559
16,3,3,3,p17,1,Node_1_1098_1169_3650,1169,1324.663,393.552,2401.114
16,3,4,3,p17,1,Node_1_115_1161_3650,1161,1477.396,331.619,2791.786
16,3,4,3,p17,1,Node_1_121_2901_3650,2901,3099.678,2348.403,3649.938
16,3,4,3,p17,1,Node_1_212_3231_3650,3231,3340.705,2804.877,3649.867
16,3,4,3,p17,1,Node_1_215_2833_3650,2833,2945.434,2294.148,3648.488
16,3,4,3,p17,1,Node_1_245_2513_3650,2513,2554.469,1853.230,3448.928
16,3,4,3,p17,1,Node_1_279_1296_3650,1296,959.174,43.670,2054.425
16,3,4,3,p17,1,Node_1_283_276_3650,276,260.998,-44.996,874.103
16,3,4,3,p17,1,Node_1_475_3158_3650,3158,1720.778,389.343,3295.753
16,3,4,3,p17,1,Node_1_521_2516_3650,2516,2385.959,1428.078,3560.921
16,3,4,3,p17,1,Node_1_642_3111_3650,3111,2246.130,1141.733,3532.785
16,3,4,3,p17,1,Node_1_673_1962_3650,1962,1797.505,679.552,3182.572
16,3,4,3,p17,1,Node_1_696_1362_3650,1362,1777.843,641.625,3050.739
16,3,4,3,p17,1,Node_1_725_151_3650,151,261.946,-44.915,875.523
16,3,4,3,p17,1,Node_1_798_2647_3650,2647,2560.830,1685.412,3616.759
16,3,4,3,p17,1,Node_1_923_2310_3650,2310,2060.101,943.974,3324.051
16,3,4,3,p17,1,Node_1_971_2007_3650,2007,2070.496,1075.556,3287.705
16,3,4,3,p17,1,Node_1_974_3252_3650,3252,2578.631,1566.413,3649.978
16,3,4,3,p17,1,Node_1_1015_1273_3650,1273,2599.121,1577.596,3649.562
16,3,4,3,p17,1,Node_1_1085_14_3650,14,259.136,-44.974,868.335
16,3,4,3,p17,1,Node_1_1098_1169_3650,1169,2256.289,1269.156,3635.787
16,3,5,3,p17,1,Node_1_115_1161_3650,1161,2364.052,1196.396,3643.578
16,3,5,3,p17,1,Node_1_121_2901_3650,2901,2730.933,1867.998,3648.056
16,3,5,3,p17,1,Node_1_212_3231_3650,3231,2745.950,1846.229,3646.800
16,3,5,3,p17,1,Node_1_215_2833_3650,2833,2746.826,1848.910,3649.787
16,3,5,3,p17,1,Node_1_245_2513_3650,2513,2821.771,2098.109,3649.954
16,3,5,3,p17,1,Node_1_279_1296_3650,1296,1467.704,344.001,2939.510
16,3,5,3,p17,1,Node_1_283_276_3650,276,714.016,30.797,1534.931
16,3,5,3,p17,1,Node_1_475_3158_3650,3158,3151.350,2357.279,3649.922
16,3,5,3,p17,1,Node_1_521_2516_3650,2516,3256.016,2578.999,3649.965
16,3,5,3,p17,1,Node_1_642_3111_3650,3111,2137.754,863.224,3482.810
16,3,5,3,p17,1,Node_1_673_1962_3650,1962,2735.541,1745.424,3649.882
16,3,5,3,p17,1,Node_1_696_1362_3650,1362,1533.901,350.112,2917.337
16,3,5,3,p17,1,Node_1_725_151_3650,151,309.227,-44.942,1026.546
16,3,5,3,p17,1,Node_1_798_2647_3650,2647,3208.838,2620.417,3649.950
16,3,5,3,p17,1,Node_1_923_2310_3650,2310,2686.550,1772.714,3648.091
16,3,5,3,p17,1,Node_1_971_2007_3650,2007,1851.370,853.788,3065.434
16,3,5,3,p17,1,Node_1_974_3252_3650,3252,3165.687,2437.781,3649.779
16,3,5,3,p17,1,Node_1_1015_1273_3650,1273,2086.296,846.596,3510.866
16,3,5,3,p17,1,Node_1_1085_14_3650,14,319.748,-44.991,1057.293
16,3,5,3,p17,1,Node_1_1098_1169_3650,1169,879.962,-21.156,1909.821
16,3,6,3,p17,1,Node_1_115_1161_3650,1161,1796.877,538.841,3165.927
16,3,6,3,p17,1,Node_1_121_2901_3650,2901,1781.101,612.869,3074.635
16,3,6,3,p17,1,Node_1_212_3231_3650,3231,2913.334,2076.935,3649.260
16,3,6,3,p17,1,Node_1_215_2833_3650,2833,2682.676,1818.329,3603.441
16,3,6,3,p17,1,Node_1_245_2513_3650,2513,2354.880,1669.864,3299.229
16,3,6,3,p17,1,Node_1_279_1296_3650,1296,1649.547,447.897,3033.477
16,3,6,3,p17,1,Node_1_283_276_3650,276,308.973,-44.841,1015.757
16,3,6,3,p17,1,Node_1_475_3158_3650,3158,2316.864,1255.226,3635.771
16,3,6,3,p17,1,Node_1_521_2516_3650,2516,2747.082,1704.549,3649.992
16,3,6,3,p17,1,Node_1_642_3111_3650,3111,2141.318,994.812,3465.392
16,3,6,3,p17,1,Node_1_673_1962_3650,1962,2055.310,884.131,3388.000
16,3,6,3,p17,1,Node_1_696_1362_3650,1362,1177.704,285.641,2319.946
16,3,6,3,p17,1,Node_1_725_151_3650,151,1916.465,744.556,3380.417
16,3,6,3,p17,1,Node_1_798_2647_3650,2647,2610.702,1915.096,3508.189
16,3,6,3,p17,1,Node_1_923_2310_3650,2310,1622.793,508.901,2729.354
16,3,6,3,p17,1,Node_1_971_2007_3650,2007,3120.916,2356.626,3649.993
16,3,6,3,p17,1,Node_1_974_3252_3650,3252,3286.390,2692.790,3649.881
16,3,6,3,p17,1,Node_1_1015_1273_3650,1273,2542.747,1502.951,3649.917
16,3,6,3,p17,1,Node_1_1085_14_3650,14,311.015,-44.912,1003.388
16,3,6,3,p17,1,Node_1_1098_1169_3650,1169,684.166,120.974,1486.401
16,3,7,3,p17,1,Node_1_115_1161_3650,1161,1888.459,555.417,3316.442
16,3,7,3,p17,1,Node_1_121_2901_3650,2901,2906.088,2053.765,3649.910
16,3,7,3,p17,1,Node_1_212_3231_3650,3231,3221.406,2721.782,3649.924
16,3,7,3,p17,1,Node_1_215_2833_3650,2833,2593.868,1836.312,3451.197
16,3,7,3,p17,1,Node_1_245_2513_3650,2513,2813.754,2029.319,3649.922
16,3,7,3,p17,1,Node_1_279_1296_3650,1296,1541.566,499.156,2858.125
16,3,7,3,p17,1,Node_1_283_276_3650,276,954.483,1.565,2076.240
16,3,7,3,p17,1,Node_1_475_3158_3650,3158,3080.134,2240.224,3649.800
16,3,7,3,p17,1,Node_1_521_2516_3650,2516,3061.071,2258.322,3649.928
16,3,7,3,p17,1,Node_1_642_3111_3650,3111,1537.192,439.478,2924.162
16,3,7,3,p17,1,Node_1_673_1962_3650,1962,3205.982,2501.536,3649.986
16,3,7,3,p17,1,Node_1_696_1362_3650,1362,1688.699,297.198,3268.163
16,3,7,3,p17,1,Node_1_725_151_3650,151,905.661,-27.719,1992.114
16,3,7,3,p17,1,Node_1_798_2647_3650,2647,2689.417,1903.940,3649.968
16,3,7,3,p17,1,Node_1_923_2310_3650,2310,3136.793,2423.151,3649.898
16,3,7,3,p17,1,Node_1_971_2007_3650,2007,2264.081,1145.060,3536.621
16,3,7,3,p17,1,Node_1_974_3252_3650,3252,2531.560,1447.907,3641.697
16,3,7,3,p17,1,Node_1_1015_1273_3650,1273,2388.920,1339.586,3554.369
16,3,7,3,p17,1,Node_1_1085_14_3650,14,379.253,-44.976,1132.443
16,3,7,3,p17,1,Node_1_1098_1169_3650,1169,2442.966,1260.794,3648.934
16,3,8,3,p17,1,Node_1_115_1161_3650,1161,1208.851,60.113,2464.873
16,3,8,3,p17,1,Node_1_121_2901_3650,2901,2963.202,2109.061,3649.957
16,3,8,3,p17,1,Node_1_212_3231_3650,3231,2648.804,1640.231,3648.025
16,3,8,3,p17,1,Node_1_215_2833_3650,2833,2388.962,1340.376,3556.702
16,3,8,3,p17,1,Node_1_245_2513_3650,2513,1985.066,1284.509,2859.227
16,3,8,3,p17,1,Node_1_279_1296_3650,1296,2446.198,1460.799,3643.948
16,3,8,3,p17,1,Node_1_283_276_3650,276,449.322,-44.828,1205.033
16,3,8,3,p17,1,Node_1_475_3158_3650,3158,3013.222,2103.403,3649.928
16,3,8,3,p17,1,Node_1_521_2516_3650,2516,2133.387,952.213,3428.922
16,3,8,3,p17,1,Node_1_642_3111_3650,3111,3021.930,2158.418,3649.904
16,3,8,3,p17,1,Node_1_673_1962_3650,1962,3100.300,2288.156,3649.741
16,3,8,3,p17,1,Node_1_696_1362_3650,1362,1571.530,390.643,3002.154
16,3,8,3,p17,1,Node_1_725_151_3650,151,629.948,-44.941,1447.078
16,3,8,3,p17,1,Node_1_798_2647_3650,2647,2783.012,1918.086,3646.475
16,3,8,3,p17,1,Node_1_923_2310_3650,2310,1261.235,-27.107,2584.354
16,3,8,3,p17,1,Node_1_971_2007_3650,2007,870.399,192.372,1703.191
16,3,8,3,p17,1,Node_1_974_3252_3650,3252,2968.687,2074.799,3649.903
16,3,8,3,p17,1,Node_1_1015_1273_3650,1273,1957.041,716.176,3450.320
16,3,8,3,p17,1,Node_1_1085_14_3650,14,317.385,-44.999,1019.466
16,3,8,3,p17,1,Node_1_1098_1169_3650,1169,2507.103,1391.591,3648.856
16,3,9,3,p17,1,Node_1_115_1161_3650,1161,2427.260,1310.649,3649.789
16,3,9,3,p17,1,Node_1_121_2901_3650,2901,3224.423,2531.412,3649.880
16,3,9,3,p17,1,Node_1_212_3231_3650,3231,2882.710,2016.548,3647.670
16,3,9,3,p17,1,Node_1_215_2833_3650,2833,2660.489,1809.506,3622.498
16,3,9,3,p17,1,Node_1_245_2513_3650,2513,2886.687,2039.861,3649.778
16,3,9,3,p17,1,Node_1_279_1296_3650,1296,1232.000,185.841,2471.118
16,3,9,3,p17,1,Node_1_283_276_3650,276,295.680,-44.628,999.029
16,3,9,3,p17,1,Node_1_475_3158_3650,3158,2301.139,1153.943,3647.477
16,3,9,3,p17,1,Node_1_521_2516_3650,2516,2655.287,1574.257,3649.028
