batch,rep,ali,sub,gene,run,nodeName,trueDate,nodeDate,lowCI,highCI
19,5,1,2,tat,1,Node_1_53_1466_3650,1466,1446.923,102.555,3247.268
19,5,1,2,tat,1,Node_1_64_1390_3650,1390,1649.483,256.350,3382.105
19,5,1,2,tat,1,Node_1_103_2738_3650,2738,2196.383,825.092,3649.258
19,5,1,2,tat,1,Node_1_106_1112_3650,1112,2385.989,1079.879,3649.223
19,5,1,2,tat,1,Node_1_133_347_3650,347,1332.426,-13.659,3028.823
19,5,1,2,tat,1,Node_1_221_348_3650,348,1895.655,556.350,3463.469
19,5,1,2,tat,1,Node_1_225_784_3650,784,849.230,-44.979,2413.892
19,5,1,2,tat,1,Node_1_295_847_3650,847,1496.830,42.312,3211.173
19,5,1,2,tat,1,Node_1_356_573_3650,573,994.851,-37.859,2520.353
19,5,1,2,tat,1,Node_1_474_1980_3650,1980,3018.974,2209.697,3649.947
19,5,1,2,tat,1,Node_1_575_1428_3650,1428,2196.720,862.849,3647.917
19,5,1,2,tat,1,Node_1_681_2525_3650,2525,2758.285,1839.594,3649.758
19,5,1,2,tat,1,Node_1_691_2060_3650,2060,1322.996,-43.143,3005.487
19,5,1,2,tat,1,Node_1_851_2421_3650,2421,3007.501,2159.174,3649.988
19,5,1,2,tat,1,Node_1_958_1785_3650,1785,1387.942,278.963,2937.594
19,5,1,2,tat,1,Node_1_990_1153_3650,1153,1724.368,497.958,3386.094
19,5,1,2,tat,1,Node_1_1007_1019_3650,1019,1242.971,142.812,2823.665
19,5,1,2,tat,1,Node_1_1009_390_3650,390,1448.211,105.913,2986.516
19,5,1,2,tat,1,Node_1_1021_3244_3650,3244,2239.809,962.941,3649.638
19,5,1,2,tat,1,Node_1_1097_1075_3650,1075,1564.841,8.420,3138.343
19,5,2,2,tat,1,Node_1_53_1466_3650,1466,1830.417,296.728,3615.999
19,5,2,2,tat,1,Node_1_64_1390_3650,1390,1507.994,-10.629,3263.475
19,5,2,2,tat,1,Node_1_103_2738_3650,2738,1280.691,134.103,3028.318
19,5,2,2,tat,1,Node_1_106_1112_3650,1112,913.739,-44.678,2666.533
19,5,2,2,tat,1,Node_1_133_347_3650,347,1339.526,-43.908,2927.632
19,5,2,2,tat,1,Node_1_221_348_3650,348,1152.756,-41.699,2821.980
19,5,2,2,tat,1,Node_1_225_784_3650,784,2078.222,736.774,3637.428
19,5,2,2,tat,1,Node_1_295_847_3650,847,1443.309,356.537,3108.403
19,5,2,2,tat,1,Node_1_356_573_3650,573,1266.176,-44.861,2950.668
19,5,2,2,tat,1,Node_1_474_1980_3650,1980,2239.383,1014.970,3585.219
19,5,2,2,tat,1,Node_1_575_1428_3650,1428,2656.211,1470.717,3649.493
19,5,2,2,tat,1,Node_1_681_2525_3650,2525,2769.482,1825.037,3649.800
19,5,2,2,tat,1,Node_1_691_2060_3650,2060,2420.078,968.739,3649.781
19,5,2,2,tat,1,Node_1_851_2421_3650,2421,2139.309,769.439,3589.748
19,5,2,2,tat,1,Node_1_958_1785_3650,1785,2735.390,1723.594,3649.351
19,5,2,2,tat,1,Node_1_990_1153_3650,1153,2221.284,901.140,3649.815
19,5,2,2,tat,1,Node_1_1007_1019_3650,1019,2134.629,963.272,3645.410
19,5,2,2,tat,1,Node_1_1009_390_3650,390,1152.223,35.227,2880.386
19,5,2,2,tat,1,Node_1_1021_3244_3650,3244,3032.569,2056.061,3649.947
19,5,2,2,tat,1,Node_1_1097_1075_3650,1075,1991.506,657.705,3579.897
19,5,3,2,tat,1,Node_1_53_1466_3650,1466,1032.468,-34.270,2717.579
19,5,3,2,tat,1,Node_1_64_1390_3650,1390,2002.453,761.604,3620.377
19,5,3,2,tat,1,Node_1_103_2738_3650,2738,3024.543,2082.405,3649.847
19,5,3,2,tat,1,Node_1_106_1112_3650,1112,841.157,-44.978,2511.623
19,5,3,2,tat,1,Node_1_133_347_3650,347,1951.180,681.904,3605.757
19,5,3,2,tat,1,Node_1_221_348_3650,348,2328.027,1285.868,3528.593
19,5,3,2,tat,1,Node_1_225_784_3650,784,1368.639,356.459,2993.448
