batch,rep,ali,sub,gene,run,nodeName,trueDate,nodeDate,lowCI,highCI
20,4,1,1,nef,1,Node_1_78_1682_3650,1682,1737.367,861.596,2628.882
20,4,1,1,nef,1,Node_1_144_11_3650,11,89.733,-44.982,361.440
20,4,1,1,nef,1,Node_1_185_1099_3650,1099,2144.689,1183.667,3181.468
20,4,1,1,nef,1,Node_1_207_254_3650,254,225.059,-44.926,681.308
20,4,1,1,nef,1,Node_1_224_2764_3650,2764,2242.685,1484.390,2944.604
20,4,1,1,nef,1,Node_1_307_2225_3650,2225,3155.784,2488.140,3649.902
20,4,1,1,nef,1,Node_1_338_1443_3650,1443,1760.750,1312.200,2317.236
20,4,1,1,nef,1,Node_1_377_2897_3650,2897,3208.405,2704.317,3649.934
20,4,1,1,nef,1,Node_1_410_2543_3650,2543,3312.151,2811.177,3649.994
20,4,1,1,nef,1,Node_1_471_1590_3650,1590,2200.586,1191.378,3270.993
20,4,1,1,nef,1,Node_1_607_2371_3650,2371,2463.936,1634.611,3361.729
20,4,1,1,nef,1,Node_1_676_167_3650,167,539.516,81.133,1079.605
20,4,1,1,nef,1,Node_1_820_502_3650,502,1557.548,728.779,2433.447
20,4,1,1,nef,1,Node_1_822_1068_3650,1068,1838.882,967.874,2838.651
20,4,1,1,nef,1,Node_1_855_1389_3650,1389,2235.939,1287.857,3252.360
20,4,1,1,nef,1,Node_1_866_1045_3650,1045,488.438,60.324,1009.232
20,4,1,1,nef,1,Node_1_883_1156_3650,1156,1165.283,492.032,1936.398
20,4,1,1,nef,1,Node_1_889_2190_3650,2190,3025.860,2242.772,3649.930
20,4,1,1,nef,1,Node_1_932_11_3650,11,90.917,-44.982,357.213
20,4,1,1,nef,1,Node_1_1086_1047_3650,1047,940.461,377.261,1521.381
20,4,2,1,nef,1,Node_1_78_1682_3650,1682,1988.739,1118.584,2945.109
20,4,2,1,nef,1,Node_1_144_11_3650,11,87.273,-44.966,347.783
20,4,2,1,nef,1,Node_1_185_1099_3650,1099,1539.445,697.940,2463.153
20,4,2,1,nef,1,Node_1_207_254_3650,254,388.790,-8.500,873.374
20,4,2,1,nef,1,Node_1_224_2764_3650,2764,2827.188,2168.488,3593.461
20,4,2,1,nef,1,Node_1_307_2225_3650,2225,2796.819,1900.016,3649.648
20,4,2,1,nef,1,Node_1_338_1443_3650,1443,1590.927,1190.102,2093.451
20,4,2,1,nef,1,Node_1_377_2897_3650,2897,2889.074,2261.939,3596.405
20,4,2,1,nef,1,Node_1_410_2543_3650,2543,3280.277,2758.789,3649.930
20,4,2,1,nef,1,Node_1_471_1590_3650,1590,1028.877,244.402,1859.175
20,4,2,1,nef,1,Node_1_607_2371_3650,2371,2439.876,1597.000,3397.700
20,4,2,1,nef,1,Node_1_676_167_3650,167,97.782,-44.984,365.742
20,4,2,1,nef,1,Node_1_820_502_3650,502,921.652,335.115,1600.709
20,4,2,1,nef,1,Node_1_822_1068_3650,1068,1587.048,763.778,2502.848
20,4,2,1,nef,1,Node_1_855_1389_3650,1389,1330.689,634.135,2124.830
20,4,2,1,nef,1,Node_1_866_1045_3650,1045,1439.739,649.336,2286.098
20,4,2,1,nef,1,Node_1_883_1156_3650,1156,2418.392,1490.023,3341.727
20,4,2,1,nef,1,Node_1_889_2190_3650,2190,2980.961,2205.769,3649.089
20,4,2,1,nef,1,Node_1_932_11_3650,11,85.289,-44.926,343.158
20,4,2,1,nef,1,Node_1_1086_1047_3650,1047,1063.448,478.517,1722.403
20,4,3,1,nef,1,Node_1_78_1682_3650,1682,1789.424,952.663,2718.456
20,4,3,1,nef,1,Node_1_144_11_3650,11,75.858,-44.998,314.086
20,4,3,1,nef,1,Node_1_185_1099_3650,1099,1727.002,867.203,2689.509
20,4,3,1,nef,1,Node_1_207_254_3650,254,136.078,-44.906,450.382
20,4,3,1,nef,1,Node_1_224_2764_3650,2764,2333.726,1728.116,3061.782
20,4,3,1,nef,1,Node_1_307_2225_3650,2225,2487.169,1604.468,3565.964
20,4,3,1,nef,1,Node_1_338_1443_3650,1443,1241.751,816.516,1667.622
20,4,3,1,nef,1,Node_1_377_2897_3650,2897,2832.365,2191.361,3510.866
20,4,3,1,nef,1,Node_1_410_2543_3650,2543,2702.778,2013.939,3483.585
