batch,rep,ali,sub,gene,run,nodeName,trueDate,nodeDate,lowCI,highCI
3,4,1,2,C1V2,1,Node_1_38_3141_3650,3141,3145.090,2688.600,3647.938
3,4,1,2,C1V2,1,Node_1_52_890_3650,890,933.981,515.877,1358.519
3,4,1,2,C1V2,1,Node_1_249_585_3650,585,521.095,218.330,859.444
3,4,1,2,C1V2,1,Node_1_253_195_3650,195,72.546,-44.979,241.278
3,4,1,2,C1V2,1,Node_1_310_1790_3650,1790,1550.647,1113.359,2014.494
3,4,1,2,C1V2,1,Node_1_399_1612_3650,1612,1403.492,934.094,1835.557
3,4,1,2,C1V2,1,Node_1_505_3190_3650,3190,3034.581,2454.474,3646.872
3,4,1,2,C1V2,1,Node_1_537_2954_3650,2954,3430.224,3070.169,3649.980
3,4,1,2,C1V2,1,Node_1_577_839_3650,839,707.861,351.396,1072.625
3,4,1,2,C1V2,1,Node_1_706_69_3650,69,161.571,-31.497,353.199
3,4,1,2,C1V2,1,Node_1_722_1472_3650,1472,1570.419,1125.535,2071.822
3,4,1,2,C1V2,1,Node_1_783_1643_3650,1643,2034.132,1385.238,2712.123
3,4,1,2,C1V2,1,Node_1_801_2175_3650,2175,2911.768,2257.446,3590.473
3,4,1,2,C1V2,1,Node_1_936_1345_3650,1345,1445.818,946.989,1971.454
3,4,1,2,C1V2,1,Node_1_982_286_3650,286,119.492,-44.866,320.259
3,4,1,2,C1V2,1,Node_1_983_328_3650,328,486.527,178.354,821.593
3,4,1,2,C1V2,1,Node_1_988_12_3650,12,-5.168,-45.000,74.816
3,4,1,2,C1V2,1,Node_1_1010_2812_3650,2812,2559.360,1895.940,3292.097
3,4,1,2,C1V2,1,Node_1_1021_3058_3650,3058,3355.711,2911.839,3649.996
3,4,1,2,C1V2,1,Node_1_1098_1440_3650,1440,2118.403,1503.915,2785.914
3,4,2,2,C1V2,1,Node_1_38_3141_3650,3141,3421.311,3090.300,3649.932
3,4,2,2,C1V2,1,Node_1_52_890_3650,890,676.336,384.305,995.985
3,4,2,2,C1V2,1,Node_1_249_585_3650,585,695.894,378.010,1027.879
3,4,2,2,C1V2,1,Node_1_253_195_3650,195,296.457,94.470,516.084
3,4,2,2,C1V2,1,Node_1_310_1790_3650,1790,2019.668,1571.147,2471.601
3,4,2,2,C1V2,1,Node_1_399_1612_3650,1612,1340.128,882.517,1768.746
3,4,2,2,C1V2,1,Node_1_505_3190_3650,3190,3207.235,2694.298,3649.975
3,4,2,2,C1V2,1,Node_1_537_2954_3650,2954,2674.023,1992.165,3386.291
3,4,2,2,C1V2,1,Node_1_577_839_3650,839,640.857,329.333,962.447
3,4,2,2,C1V2,1,Node_1_706_69_3650,69,308.275,82.272,551.410
3,4,2,2,C1V2,1,Node_1_722_1472_3650,1472,1687.240,1199.055,2199.919
3,4,2,2,C1V2,1,Node_1_783_1643_3650,1643,1948.576,1391.369,2530.380
3,4,2,2,C1V2,1,Node_1_801_2175_3650,2175,2681.125,1987.401,3420.508
3,4,2,2,C1V2,1,Node_1_936_1345_3650,1345,1359.765,900.168,1844.176
3,4,2,2,C1V2,1,Node_1_982_286_3650,286,225.074,28.989,436.939
3,4,2,2,C1V2,1,Node_1_983_328_3650,328,439.774,181.866,735.042
3,4,2,2,C1V2,1,Node_1_988_12_3650,12,0.422,-44.990,77.986
3,4,2,2,C1V2,1,Node_1_1010_2812_3650,2812,3204.151,2680.731,3649.846
3,4,2,2,C1V2,1,Node_1_1021_3058_3650,3058,3206.830,2692.310,3649.961
3,4,2,2,C1V2,1,Node_1_1098_1440_3650,1440,1119.724,747.386,1525.993
3,4,3,2,C1V2,1,Node_1_38_3141_3650,3141,3348.213,2973.371,3649.666
3,4,3,2,C1V2,1,Node_1_52_890_3650,890,1468.375,942.159,2026.616
3,4,3,2,C1V2,1,Node_1_249_585_3650,585,515.254,218.532,836.929
3,4,3,2,C1V2,1,Node_1_253_195_3650,195,230.837,8.370,493.342
3,4,3,2,C1V2,1,Node_1_310_1790_3650,1790,1816.169,1333.635,2306.144
3,4,3,2,C1V2,1,Node_1_399_1612_3650,1612,1773.402,1322.837,2181.834
3,4,3,2,C1V2,1,Node_1_505_3190_3650,3190,3282.791,2789.270,3649.825
3,4,3,2,C1V2,1,Node_1_537_2954_3650,2954,3342.740,2880.025,3649.996
3,4,3,2,C1V2,1,Node_1_577_839_3650,839,598.456,222.234,980.640
3,4,3,2,C1V2,1,Node_1_706_69_3650,69,211.968,27.800,411.920
3,4,3,2,C1V2,1,Node_1_722_1472_3650,1472,1685.308,1132.634,2267.898
3,4,3,2,C1V2,1,Node_1_783_1643_3650,1643,1195.231,738.612,1681.860
3,4,3,2,C1V2,1,Node_1_801_2175_3650,2175,2352.476,1637.721,3089.086
3,4,3,2,C1V2,1,Node_1_936_1345_3650,1345,1488.521,944.134,2059.407
3,4,3,2,C1V2,1,Node_1_982_286_3650,286,486.381,184.961,808.634
3,4,3,2,C1V2,1,Node_1_983_328_3650,328,393.112,119.855,671.674
3,4,3,2,C1V2,1,Node_1_988_12_3650,12,-0.592,-44.999,85.459
3,4,3,2,C1V2,1,Node_1_1010_2812_3650,2812,3010.013,2419.596,3638.094
3,4,3,2,C1V2,1,Node_1_1021_3058_3650,3058,3065.631,2480.874,3649.934
3,4,3,2,C1V2,1,Node_1_1098_1440_3650,1440,1070.865,594.456,1573.255
3,4,4,2,C1V2,1,Node_1_38_3141_3650,3141,2838.369,2342.007,3402.164
3,4,4,2,C1V2,1,Node_1_52_890_3650,890,1084.212,690.990,1510.300
3,4,4,2,C1V2,1,Node_1_249_585_3650,585,521.353,259.407,818.115
3,4,4,2,C1V2,1,Node_1_253_195_3650,195,168.607,44.747,309.806
3,4,4,2,C1V2,1,Node_1_310_1790_3650,1790,1223.687,852.445,1589.395
3,4,4,2,C1V2,1,Node_1_399_1612_3650,1612,1945.742,1498.872,2359.450
3,4,4,2,C1V2,1,Node_1_505_3190_3650,3190,3370.904,2956.842,3649.962
3,4,4,2,C1V2,1,Node_1_537_2954_3650,2954,3021.215,2446.073,3639.052
3,4,4,2,C1V2,1,Node_1_577_839_3650,839,1003.526,640.042,1400.291
