batch,rep,ali,sub,gene,run,nodeName,trueDate,nodeDate,lowCI,highCI
3,2,1,1,combine,1,Node_1_53_2832_3650,2832,2751.28279992972,2166.56489504276,3359.35514885925
3,2,1,1,combine,1,Node_1_98_3161_3650,3161,3029.46076668455,2432.96812257418,3595.96563121349
3,2,1,1,combine,1,Node_1_104_14_3650,14,1.08266585941101,-41.4057253808583,96.2920813973492
3,2,1,1,combine,1,Node_1_146_1145_3650,1145,1297.10097052219,914.310140692784,1692.97582578705
3,2,1,1,combine,1,Node_1_200_2253_3650,2253,2822.78635733243,2249.85651269448,3497.59277515032
3,2,1,1,combine,1,Node_1_400_437_3650,437,548.423384482681,349.049385235732,760.151752432965
3,2,1,1,combine,1,Node_1_408_1555_3650,1555,1609.98290014163,1257.21259340546,2024.54544769564
3,2,1,1,combine,1,Node_1_469_3091_3650,3091,3450.04544910505,2998.18035062487,3641.03805487066
3,2,1,1,combine,1,Node_1_525_406_3650,406,360.918778203256,165.57506801609,601.101176644726
3,2,1,1,combine,1,Node_1_576_3192_3650,3192,3266.29199858172,2704.76027511508,3627.32114375752
3,2,1,1,combine,1,Node_1_594_2971_3650,2971,2502.04268107888,1945.32158615076,3116.60015985768
3,2,1,1,combine,1,Node_1_688_2180_3650,2180,2585.89806273206,2220.51839955723,2990.13846851878
3,2,1,1,combine,1,Node_1_724_10_3650,10,-4.61465764051627,-41.7129002408219,74.6977097432596
3,2,1,1,combine,1,Node_1_802_1416_3650,1416,1409.2537531985,1252.47034309546,1575.35102000245
3,2,1,1,combine,1,Node_1_820_632_3650,632,1089.77637864141,774.945063194326,1468.24395402857
3,2,1,1,combine,1,Node_1_876_74_3650,74,49.6720233706474,-32.0077163850756,174.622484344228
3,2,1,1,combine,1,Node_1_896_1692_3650,1692,1697.06136534214,1331.05497005017,2107.34418607224
3,2,1,1,combine,1,Node_1_995_3017_3650,3017,2944.00156901628,2469.65870311887,3534.90118946495
3,2,1,1,combine,1,Node_1_1037_403_3650,403,450.337987435497,221.232731976909,726.081861731507
3,2,1,1,combine,1,Node_1_1098_13_3650,13,-12.6238044890843,-42.7941232019884,57.5865685766612
3,2,2,1,combine,1,Node_1_53_2832_3650,2832,3095.99827178809,2632.04300502404,3580.09306395427
3,2,2,1,combine,1,Node_1_98_3161_3650,3161,3009.61891966183,2406.67496133077,3585.08775211211
3,2,2,1,combine,1,Node_1_104_14_3650,14,2.4308317424202,-40.306157946321,83.5321903561671
3,2,2,1,combine,1,Node_1_146_1145_3650,1145,1406.53821613062,1045.92883112042,1823.47135257449
3,2,2,1,combine,1,Node_1_200_2253_3650,2253,2241.18486703372,1770.33681662574,2788.64300572535
3,2,2,1,combine,1,Node_1_400_437_3650,437,398.31106870451,247.529016119414,560.445050834079
3,2,2,1,combine,1,Node_1_408_1555_3650,1555,1483.40011743031,1142.91653041911,1878.02907012759
3,2,2,1,combine,1,Node_1_469_3091_3650,3091,3389.90126192873,2915.86939297118,3638.02892068653
3,2,2,1,combine,1,Node_1_525_406_3650,406,403.345310670709,207.371999451228,637.956838577375
3,2,2,1,combine,1,Node_1_576_3192_3650,3192,3237.32586343356,2686.68338831127,3627.53193908869
3,2,2,1,combine,1,Node_1_594_2971_3650,2971,2859.87854207116,2268.01710701843,3505.74489023108
3,2,2,1,combine,1,Node_1_688_2180_3650,2180,1883.19650062267,1554.65340120364,2242.93192603786
3,2,2,1,combine,1,Node_1_724_10_3650,10,-14.3186355442731,-42.4685579231314,44.389326356627
3,2,2,1,combine,1,Node_1_802_1416_3650,1416,1428.31333868148,1254.0079118233,1563.77717898724
3,2,2,1,combine,1,Node_1_820_632_3650,632,496.270790678645,306.616817896373,727.752602430057
3,2,2,1,combine,1,Node_1_876_74_3650,74,87.5529341715546,-2.63812964735189,219.64230487364
3,2,2,1,combine,1,Node_1_896_1692_3650,1692,1952.8865026729,1560.55135802156,2398.82789804513
3,2,2,1,combine,1,Node_1_995_3017_3650,3017,3181.86277293478,2691.99200840206,3610.94289527507
3,2,2,1,combine,1,Node_1_1037_403_3650,403,427.128041129758,238.662025730676,660.090512975129
3,2,3,1,combine,1,Node_1_53_2832_3650,2832,2713.42593984512,2207.67476677077,3276.96334387246
3,2,3,1,combine,1,Node_1_98_3161_3650,3161,3048.82564454905,2455.91060316915,3596.81634291669
3,2,3,1,combine,1,Node_1_104_14_3650,14,9.79576469613721,-39.39194129205,104.715097445098
3,2,3,1,combine,1,Node_1_146_1145_3650,1145,1695.62833991408,1270.55154137166,2180.62432516584
3,2,3,1,combine,1,Node_1_200_2253_3650,2253,2376.76473007686,1827.44347209887,3015.81277378328
3,2,3,1,combine,1,Node_1_400_437_3650,437,136.830984302008,-19.7585498296271,346.138560904149
3,2,3,1,combine,1,Node_1_408_1555_3650,1555,1647.60329265347,1264.45095128944,2084.4736379251
3,2,3,1,combine,1,Node_1_469_3091_3650,3091,3269.42187785472,2714.66737521287,3630.30692672253
3,2,3,1,combine,1,Node_1_525_406_3650,406,605.586268405709,369.580183766159,909.780649227038
3,2,3,1,combine,1,Node_1_576_3192_3650,3192,3487.16741333871,3091.14730431568,3642.57338565487
3,2,3,1,combine,1,Node_1_594_2971_3650,2971,3285.74247632392,2723.35136776472,3631.75128418196
3,2,3,1,combine,1,Node_1_688_2180_3650,2180,2483.70164447107,2090.67165999536,2913.75874103483
3,2,3,1,combine,1,Node_1_724_10_3650,10,11.3033962230475,-39.1696339648242,111.105442467354
3,2,3,1,combine,1,Node_1_802_1416_3650,1416,1454.19311559341,1358.57023178467,1555.8500448716
3,2,3,1,combine,1,Node_1_820_632_3650,632,760.347238782543,489.771922646519,1064.16436492706
3,2,3,1,combine,1,Node_1_876_74_3650,74,2.20530006736863,-41.4462513877547,98.6800927948289
3,2,3,1,combine,1,Node_1_896_1692_3650,1692,2074.39720263561,1703.5172902444,2529.6568258572
3,2,3,1,combine,1,Node_1_995_3017_3650,3017,2914.2752615779,2417.01976454817,3473.85786437347
3,2,3,1,combine,1,Node_1_1037_403_3650,403,397.584028557724,165.349870057938,678.207249691253
3,2,3,1,combine,1,Node_1_1098_13_3650,13,-16.6253184618636,-43.0650163564305,44.5211961129007
3,2,4,1,combine,1,Node_1_53_2832_3650,2832,3032.43573800656,2536.13416527326,3547.22844796333
3,2,4,1,combine,1,Node_1_98_3161_3650,3161,3192.16281191385,2594.52002440374,3625.75087521313
3,2,4,1,combine,1,Node_1_104_14_3650,14,3.00840956612683,-40.436531015599,88.9154108874704
3,2,4,1,combine,1,Node_1_146_1145_3650,1145,1247.45066893267,885.04208553679,1664.7363658436
3,2,4,1,combine,1,Node_1_200_2253_3650,2253,2880.23802376725,2296.62430717502,3515.45569609812
3,2,4,1,combine,1,Node_1_400_437_3650,437,336.796348430492,140.926225974131,545.077570159287
3,2,4,1,combine,1,Node_1_408_1555_3650,1555,1508.11054481708,1168.0420721286,1946.0150544459
3,2,4,1,combine,1,Node_1_469_3091_3650,3091,3280.04590455658,2723.79767321592,3632.34523485251
3,2,4,1,combine,1,Node_1_525_406_3650,406,444.185339321603,216.502340882996,711.684895631944
3,2,4,1,combine,1,Node_1_576_3192_3650,3192,3318.0417572381,2791.2236221498,3633.95549992815
3,2,4,1,combine,1,Node_1_594_2971_3650,2971,3351.22713463342,2801.50731234584,3636.23885369637
3,2,4,1,combine,1,Node_1_688_2180_3650,2180,2090.04699728445,1692.22592470666,2500.58300651562
3,2,4,1,combine,1,Node_1_724_10_3650,10,-4.74276606743751,-42.6195119856925,92.9156214207801
3,2,4,1,combine,1,Node_1_802_1416_3650,1416,1385.49821413689,1182.04331984852,1593.84484705753
